日期,总权益
2024-01-02,100000.0
2024-01-03,100525.43000000001
2024-01-04,100634.43000000001
2024-01-05,99602.43000000001
2024-01-08,98118.43000000001
2024-01-09,99183.43000000001
2024-01-10,97694.43000000001
2024-01-11,98459.652918
2024-01-12,99153.652918
2024-01-15,99502.652918
2024-01-16,99752.652918
2024-01-17,99362.68133000002
2024-01-18,98597.68133000002
2024-01-19,98072.68133000002
2024-01-22,97971.57070250002
2024-01-23,97971.57070250002
2024-01-24,97971.57070250002
2024-01-25,97971.57070250002
2024-01-26,96743.14270250002
2024-01-29,95665.21270250002
2024-01-30,93517.21270250002
2024-01-31,91362.05517850003
2024-02-01,91649.05517850003
2024-02-02,90481.05517850003
2024-02-05,90095.61216250002
2024-02-06,91509.61216250002
2024-02-07,94653.55416250002
2024-02-08,94462.55416250002
2024-02-19,94264.55416250002
2024-02-20,94735.25754250001
2024-02-21,94256.61754250001
2024-02-22,95054.61754250001
2024-02-23,95006.61754250001
2024-02-26,94419.0175425
2024-02-27,95003.01754250002
2024-02-28,94653.0175425
2024-02-29,96217.64435050002
2024-03-01,96582.47235050001
2024-03-04,98834.47235050001
2024-03-05,97577.47235050001
2024-03-06,99077.47235050001
2024-03-07,96841.47235050001
2024-03-08,97875.47235050003
2024-03-11,99933.69365050002
2024-03-12,99693.69365050002
2024-03-13,100311.69365050002
2024-03-14,99649.87641050002
2024-03-15,101641.87641050002
2024-03-18,101881.87641050002
2024-03-19,99510.87641050002
2024-03-20,99187.87641050002
2024-03-21,99864.87641050002
2024-03-22,101026.87641050002
2024-03-25,97196.80274750001
2024-03-26,96552.63133050002
2024-03-27,95637.63133050002
2024-03-28,96017.92042250003
2024-03-29,95692.92042250003
2024-04-01,95713.37774750002
2024-04-02,98411.10574750003
2024-04-03,102643.10574750003
2024-04-08,102837.10574750003
2024-04-09,103502.10574750003
2024-04-10,103378.10574750003
2024-04-11,104296.10574750003
2024-04-12,103367.10574750003
2024-04-15,106231.23423950003
2024-04-16,100707.03775750003
2024-04-17,103924.03775750003
2024-04-18,103289.30105200002
