代码,名称,买入日,卖出日,持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,卖出原因,卖出后现金
001207,联科科技,2024-01-03,2024-01-11,6,1700,11.373,10.519,19338.59,17868.22,-1470.37,-0.0750727619650567,破位防守,19361.65
002809,红墙股份,2024-01-03,2024-01-17,10,1900,10.521,10.409,19994.9,19762.48,-232.42,-0.010632069194943621,沉没止损,39124.13
601609,金田股份,2024-01-03,2024-01-17,10,3000,6.563,6.307,19694.3,18907.62,-786.68,-0.038966342124910396,沉没止损,58031.75
000737,北方铜业,2024-01-03,2024-01-17,10,3500,5.681,5.599,19889.69,19580.93,-308.76,-0.014531782994856687,沉没止损,77612.68
002270,华明装备,2024-01-03,2024-01-22,13,1500,13.056,13.583,19589.09,20358.89,769.8,0.04034295185530712,沉没止损,97971.57
002253,川大智胜,2024-01-26,2024-01-31,3,1200,15.291,11.756,18353.62,14095.67,-4257.95,-0.23112883015096933,绝对止损,17674.89
002270,华明装备,2024-01-26,2024-01-31,3,1400,13.557,13.074,18984.88,18289.17,-695.72,-0.035646371705959815,破位防守,35964.06
600062,华润双鹤,2024-01-29,2024-02-05,5,1100,17.395,15.409,19139.19,16936.56,-2202.64,-0.11414958102228721,绝对止损,52900.61
600415,小商品城,2024-01-26,2024-02-20,11,2800,6.964,7.166,19503.92,20048.74,544.82,0.028969399330834738,沉没止损,20300.3
600585,海螺水泥,2024-01-29,2024-02-20,10,900,20.451,21.317,18410.74,19170.96,760.22,0.042367983288689647,沉没止损,39471.26
000933,神火股份,2024-02-07,2024-02-29,10,1100,15.621,16.247,17188.3,17858.25,669.95,0.04009044131109175,沉没止损,20626.27
600062,华润双鹤,2024-02-07,2024-02-29,10,1000,17.204,17.784,17209.34,17770.47,561.13,0.03371358622301102,沉没止损,38396.73
600755,厦门国贸,2024-02-07,2024-02-29,10,3000,6.082,6.347,18251.42,19027.32,775.9,0.043593208969211594,沉没止损,57424.05
600995,南网储能,2024-02-26,2024-03-11,10,2000,9.419,9.631,18842.6,19246.77,404.17,0.02249755807533868,沉没止损,21255.24
000750,国海证券,2024-02-29,2024-03-14,10,5600,3.347,3.343,18746.41,18708.12,-38.29,-0.0010099561356327748,沉没止损,20645.81
002293,罗莱生活,2024-03-11,2024-03-25,10,2300,8.397,8.174,19317.55,18784.93,-532.62,-0.02657453589241574,沉没止损,20920.8
603009,北特科技,2024-03-01,2024-03-26,17,1300,13.747,15.08,17876.67,19588.91,1712.24,0.0969154984491657,回撤止盈,40509.71
600114,东睦股份,2024-03-14,2024-03-26,8,1200,15.421,13.673,18509.94,16393.92,-2116.02,-0.11336521239522264,绝对止损,56903.63
002270,华明装备,2024-02-21,2024-03-28,26,1200,14.88,15.878,17860.64,19039.29,1178.65,0.06710350343084878,回撤止盈,75942.92
600415,小商品城,2024-03-01,2024-04-01,21,2500,7.515,7.914,18792.5,19770.46,977.96,0.05311244178310048,破位防守,95713.38
000737,北方铜业,2024-04-02,2024-04-15,7,2100,8.868,9.661,18627.17,20272.13,1644.96,0.08941890230837758,回撤止盈,23139.23
000933,神火股份,2024-04-02,2024-04-16,8,1000,18.126,21.816,18131.18,21799.92,3668.74,0.20357847047750807,亢奋止盈,44939.15
002927,泰永长征,2024-04-02,2024-04-18,10,1500,12.355,12.066,18536.99,18084.68,-452.31,-0.02337903268888018,沉没止损,22448.72
001207,联科科技,2024-04-02,2024-04-19,11,1900,9.9,10.499,18814.54,19933.05,1118.51,0.06052671983967285,沉没止损,22155.35
600755,厦门国贸,2024-04-16,2024-04-30,10,3200,6.433,6.247,20590.23,19976.94,-613.29,-0.02881464485359502,沉没止损,22107.33
600592,龙溪股份,2024-04-16,2024-04-30,10,2000,9.99,10.19,19984.88,20363.88,379.0,0.019984104008632732,沉没止损,42471.2
600995,南网储能,2024-04-18,2024-05-07,10,2100,9.629,9.78,20226.42,20523.44,297.02,0.015700129397812086,沉没止损,23253.25
600350,山东高速,2024-04-02,2024-05-08,21,2600,7.204,7.595,18736.39,19731.55,995.17,0.05418925709082525,破位防守,22608.05
600562,国睿科技,2024-04-19,2024-05-09,11,1500,13.347,13.852,20024.96,20762.78,737.81,0.03788219357081628,沉没止损,22540.05
002338,奥普光电,2024-05-09,2024-05-16,5,700,28.898,27.106,20233.43,18959.49,-1273.94,-0.06201189853303108,破位防守,21266.11
605589,圣泉集团,2024-04-30,2024-05-17,10,1000,19.399,18.623,19403.72,18608.37,-795.35,-0.040004701341119504,沉没止损,20343.5
000707,双环科技,2024-05-07,2024-05-22,11,2700,7.545,7.954,20376.75,21459.86,1083.1,0.05420765374960568,沉没止损,21716.25
601677,明泰铝业,2024-05-08,2024-05-22,10,1600,13.016,12.615,20830.77,20168.41,-662.36,-0.03082825880187282,沉没止损,41884.67
603992,松霖科技,2024-05-17,2024-05-27,6,1100,18.256,17.126,20087.1,18823.83,-1263.28,-0.061937595719647354,破位防守,19711.44
