日期,总权益,现金,股票市值,股票仓位,持仓数量,市场环境,允许开仓,风控暂停,当日信号数,当日买入数,高开跳过数,资金不足跳过数,持仓上限跳过数,持仓上限,买入分数门槛
2024-01-02,100000.0,100000.0,0.0,0.0,0,弱,True,False,10,0,0,0,0,1,78
2024-01-03,99905.816,95393.816,4512.0,0.04516253588279585,1,弱,True,False,6,1,0,0,9,1,78
2024-01-04,99889.816,95393.816,4496.0,0.045009593370359195,1,弱,True,False,3,0,0,0,6,1,78
2024-01-05,99745.816,95393.816,4352.0,0.04363090277390683,1,弱,True,False,4,0,0,0,3,1,78
2024-01-08,99673.816,95393.816,4280.0,0.04294006361710883,1,弱,True,False,0,0,0,0,4,1,78
2024-01-09,99729.816,95393.816,4336.0,0.043477469165289544,1,弱,True,False,5,0,0,0,0,1,78
2024-01-10,99697.816,95393.816,4304.0,0.04317045420533585,1,弱,True,False,2,0,0,0,5,1,78
2024-01-11,99634.388288,95296.388288,4338.0,0.043539184357319634,1,弱,True,False,3,1,0,0,1,1,78
2024-01-12,99544.388288,95296.388288,4248.0,0.04267442969974123,1,弱,True,False,4,0,0,0,3,1,78
2024-01-15,99514.388288,95296.388288,4218.0,0.04238583055741528,1,弱,True,False,6,0,0,0,4,1,78
2024-01-16,99484.388288,95296.388288,4188.0,0.04209705735814596,1,弱,True,False,3,0,0,0,6,1,78
2024-01-17,99346.388288,95296.388288,4050.0,0.040766454320002664,1,弱,True,False,1,0,0,0,3,1,78
2024-01-18,99330.582332,94460.582332,4870.0,0.049028203456239046,1,弱,True,False,3,1,0,0,0,1,78
2024-01-19,99280.582332,94460.582332,4820.0,0.048549272040746515,1,弱,True,False,2,0,0,0,3,1,78
2024-01-22,99220.582332,94460.582332,4760.0,0.04797391718658392,1,弱,True,False,0,0,0,0,2,1,78
2024-01-23,99180.582332,94460.582332,4720.0,0.04758996054489913,1,弱,True,False,2,0,0,0,0,1,78
2024-01-24,99390.582332,94460.582332,4930.0,0.04960228508906449,1,弱,True,False,2,0,0,0,2,1,78
2024-01-25,99640.582332,94460.582332,5180.0,0.05198684992366229,1,弱,True,False,4,0,0,0,2,1,78
2024-01-26,99630.582332,94460.582332,5170.0,0.05189169709730248,1,弱,True,False,3,0,0,0,4,1,78
2024-01-29,99730.582332,94460.582332,5270.0,0.05284236667200372,1,弱,True,False,8,0,0,0,3,1,78
2024-01-30,99690.582332,94460.582332,5230.0,0.05246232771098183,1,弱,True,False,1,0,0,0,8,1,78
2024-01-31,99660.582332,94460.582332,5200.0,0.05217709829024682,1,弱,True,False,2,0,0,0,1,1,78
2024-02-01,99610.582332,94460.582332,5150.0,0.05170133412969274,1,弱,True,False,0,0,0,0,2,1,78
2024-02-02,99630.582332,94460.582332,5170.0,0.05189169709730248,1,弱,True,False,2,0,0,0,0,1,78
2024-02-05,99690.582332,94460.582332,5230.0,0.05246232771098183,1,弱,True,False,3,0,0,0,2,1,78
2024-02-06,99830.582332,94460.582332,5370.0,0.05379113168088456,1,弱,True,False,9,0,0,0,3,1,78
2024-02-07,99820.582332,94460.582332,5360.0,0.05369634072232533,1,弱,True,False,11,0,0,0,9,1,78
2024-02-08,99850.582332,94460.582332,5390.0,0.053980656638320065,1,弱,True,False,7,0,0,0,11,1,78
2024-02-19,99900.582332,94460.582332,5440.0,0.0544541370331679,1,弱,True,False,1,0,0,0,7,1,78
2024-02-20,99940.582332,94460.582332,5480.0,0.05483258024048312,1,弱,True,False,1,0,0,0,1,1,78
2024-02-21,99990.582332,94460.582332,5530.0,0.055305208460919554,1,弱,True,False,1,0,0,0,1,1,78
2024-02-22,100010.582332,94460.582332,5550.0,0.05549412742719515,1,弱,True,False,1,0,0,0,1,1,78
2024-02-23,99980.582332,94460.582332,5520.0,0.0552107206344332,1,弱,True,False,4,0,0,0,1,1,78
2024-02-26,100200.582332,94460.582332,5740.0,0.057285096218117254,1,弱,True,False,0,0,0,0,4,1,78
2024-02-27,100210.582332,94460.582332,5750.0,0.05737916960656027,1,中,True,False,30,0,0,0,0,2,60
2024-02-28,99918.649082,95394.649082,4524.0,0.04527683311938394,1,弱,True,False,1,1,0,0,29,1,78
2024-02-29,100262.277082,85684.277082,14578.0,0.14539865265654509,2,中,True,False,27,1,0,0,0,2,60
2024-03-01,100155.277082,85684.277082,14471.0,0.1444856469035793,2,中,True,False,10,0,0,0,27,2,60
2024-03-04,99967.277082,85684.277082,14283.0,0.14287675344287018,2,中,True,False,6,0,0,0,10,2,60
2024-03-05,100009.380516,80670.380516,19339.0,0.19337186072166548,2,中,True,False,14,1,0,0,5,2,60
2024-03-06,100079.380516,80670.380516,19409.0,0.19393605256076724,2,中,True,False,15,0,0,0,14,2,60
2024-03-07,100240.380516,80670.380516,19570.0,0.19523070342771004,2,中,True,False,16,0,0,0,15,2,60
2024-03-08,100395.380516,80670.380516,19725.0,0.19647318331401142,2,中,True,False,18,0,0,0,16,2,60
2024-03-11,100527.380516,80670.380516,19857.0,0.1975282743673953,2,中,True,False,21,0,0,0,18,2,60
2024-03-12,100422.380516,80670.380516,19752.0,0.19668922304478703,2,中,True,False,31,0,0,0,21,2,60
2024-03-13,99602.28051600001,10951.28051600001,88651.0,0.890049901877088,8,强,True,False,18,6,0,0,25,8,60
