代码,名称,买入日,卖出日,持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,买入分数,排序分,卖出原因,卖出后现金
000510,新金路,2024-01-03,2024-01-11,6,800,5.751,5.349,4606.18,4272.28,-333.9,-0.0699298267576345,90,90,破位防守,99666.1
002999,天禾股份,2024-01-11,2024-01-18,5,600,7.275,6.727,4369.71,4028.89,-340.82,-0.07533143080230724,79,79,绝对止损,99325.28
601766,中国中车,2024-01-18,2024-02-28,23,1000,4.86,5.738,4864.7,5730.63,865.93,0.18083420787291418,78,78,亢奋止盈,100191.21
002458,益生股份,2024-02-28,2024-03-05,4,600,7.986,7.375,4796.56,4417.92,-378.64,-0.07647440376461628,82,82,绝对止损,90102.2
000750,国海证券,2024-02-29,2024-03-14,10,2900,3.347,3.343,9710.37,9685.72,-24.65,-0.0010099561356327748,78,78,沉没止损,20637.0
002032,苏 泊 尔,2024-03-05,2024-03-20,11,200,47.134,48.054,9431.82,9600.93,169.12,0.01951072345105711,71,71,沉没止损,18800.12
002791,坚朗五金,2024-03-13,2024-03-25,8,300,39.609,36.367,11887.72,10899.68,-988.04,-0.0818484457848785,82,82,绝对止损,18071.6
600597,光明乳业,2024-03-13,2024-03-27,10,1400,8.928,8.653,12503.95,12102.67,-401.28,-0.030820513854446147,75,75,沉没止损,30174.27
600737,中粮糖业,2024-03-13,2024-03-27,10,1500,7.846,7.924,11773.49,11875.24,101.75,0.010000433360609528,75,75,沉没止损,42049.5
001338,永顺泰,2024-03-13,2024-03-27,10,1200,9.84,9.79,11812.57,11737.58,-74.99,-0.005006280717587259,72,72,沉没止损,53787.08
600562,国睿科技,2024-03-13,2024-03-27,10,900,13.146,12.924,11836.62,11620.87,-215.74,-0.016897607224575208,72,72,沉没止损,65407.96
001215,千味央厨,2024-03-13,2024-03-28,11,200,49.499,45.409,9904.76,9072.26,-832.5,-0.08262422523374298,72,72,绝对止损,74480.22
002475,立讯精密,2024-03-20,2024-04-08,11,400,29.058,28.004,11628.2,11190.95,-437.25,-0.036276412691857704,82,82,沉没止损,85671.17
000878,云南铜业,2024-03-15,2024-04-17,21,1000,11.433,12.635,11437.82,12623.36,1185.54,0.10512367027557505,80,80,回撤止盈,98294.53
000089,深圳机场,2024-04-29,2024-05-16,10,1800,6.693,6.657,12053.05,11971.0,-82.05,-0.005483045884279306,86,86,沉没止损,28660.72
002594,比亚迪,2024-04-29,2024-05-16,10,100,71.813,70.908,7186.33,7082.24,-104.09,-0.012608242424039861,80,80,沉没止损,35742.97
601138,工业富联,2024-04-29,2024-05-16,10,500,23.276,24.092,11643.23,12034.84,391.61,0.03502508542965735,80,80,沉没止损,47777.81
603317,天味食品,2024-04-29,2024-05-16,10,900,12.405,12.525,11169.28,11261.77,92.49,0.009684991890209825,78,78,沉没止损,59039.58
603319,美湖股份,2024-04-29,2024-05-17,11,900,12.465,11.976,11223.39,10768.01,-455.38,-0.0392205941814121,80,80,破位防守,23156.51
001213,中铁特货,2024-04-29,2024-05-21,13,3000,4.048,4.122,12149.24,12354.04,204.8,0.018196280705914974,78,78,沉没止损,23871.33
002768,国恩股份,2024-04-29,2024-05-24,16,800,14.539,14.82,11636.22,11845.31,209.1,0.019346558433787193,80,80,沉没止损,23735.74
600686,金龙汽车,2024-05-16,2024-05-24,6,1300,8.918,8.084,11598.14,10498.69,-1099.45,-0.0935208235214963,76,76,绝对止损,34234.42
000848,承德露露,2024-04-17,2024-05-28,26,600,7.565,8.074,4544.06,4836.87,292.81,0.06724564116799506,90,90,破位防守,39071.29
001360,南矿集团,2024-05-16,2024-05-28,8,700,15.591,14.241,10918.78,9959.04,-959.75,-0.08656594266479894,80,80,绝对止损,49030.33
002927,泰永长征,2024-05-16,2024-05-31,11,800,15.02,14.651,12020.98,11709.65,-311.33,-0.02458991290268037,80,80,沉没止损,60739.98
002966,苏州银行,2024-05-17,2024-05-31,10,1700,6.844,6.816,11639.22,11576.98,-62.24,-0.0039920159680638095,90,90,沉没止损,72316.97
002458,益生股份,2024-05-21,2024-06-04,10,1600,7.485,7.305,11980.9,11677.73,-303.17,-0.02399217628999025,90,90,破位防守,83994.7
002807,江阴银行,2024-05-16,2024-06-06,15,3800,3.186,3.204,12113.17,12162.52,49.35,0.005404285768086473,75,75,沉没止损,96157.22
000901,航天科技,2024-06-13,2024-06-27,10,500,9.108,8.852,4559.09,4418.92,-140.17,-0.028097819762016092,80,80,沉没止损,96017.04
601766,中国中车,2024-07-01,2024-07-15,10,600,6.884,6.916,4135.24,4142.61,7.37,0.004706743717804434,90,90,沉没止损,96024.41
002444,巨星科技,2024-07-15,2024-07-18,3,100,26.272,23.453,2632.24,2339.13,-293.12,-0.1073154986746568,82,82,绝对止损,95731.29
002587,奥拓电子,2024-07-18,2024-08-06,13,800,5.691,5.928,4558.09,4735.12,177.04,0.04159989879396159,80,80,沉没止损,95908.33
001360,南矿集团,2024-08-06,2024-08-12,4,300,13.557,12.455,4072.12,3729.64,-342.47,-0.08128753579315866,82,82,绝对止损,95565.85
000029,深深房Ａ,2024-08-12,2024-08-26,10,400,10.912,10.579,4369.71,4224.4,-145.31,-0.03051564456028264,82,82,破位防守,95420.55
001339,智微智能,2024-08-26,2024-09-10,11,200,22.936,21.657,4592.16,4324.15,-268.0,-0.05577224755382203,90,90,破位防守,95152.54
002885,京泉华,2024-09-23,2024-10-08,6,400,11.293,14.591,4522.02,5828.39,1306.37,0.29207069445846556,90,90,亢奋止盈,17462.31
002594,比亚迪,2024-09-26,2024-10-08,3,100,86.813,110.718,8686.33,11061.28,2374.95,0.2753592537915857,90,90,亢奋止盈,28523.58
603127,昭衍新药,2024-09-26,2024-10-08,3,800,14.228,19.74,11387.72,15779.46,4391.74,0.3873970369120914,90,90,亢奋止盈,44303.04
000629,钒钛股份,2024-09-26,2024-10-08,3,4900,2.405,3.244,11788.52,15880.2,4091.68,0.34876081170991363,82,82,亢奋止盈,60183.24
000901,航天科技,2024-09-26,2024-10-09,4,1200,9.8,11.846,11764.47,14203.4,2438.93,0.2088563159978611,90,90,亢奋止盈,74386.65
002589,瑞康医药,2024-09-26,2024-10-09,4,4800,2.465,3.184,11836.62,15268.74,3432.12,0.29157132888694165,90,90,亢奋止盈,89655.38
600415,小商品城,2024-09-26,2024-10-09,4,1400,8.377,9.491,11732.41,13275.73,1543.32,0.13301865169183186,90,90,亢奋止盈,102931.11
603399,永杉锂业,2024-09-26,2024-10-09,4,1800,6.553,7.974,11800.54,14341.06,2540.52,0.21683544226531642,86,86,亢奋止盈,117272.17
600576,祥源文旅,2024-10-09,2024-10-10,1,2400,5.922,5.419,14217.37,12994.43,-1222.93,-0.08488606543258671,80,80,绝对止损,18697.99
