代码,名称,买入日,卖出日,持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,买入分数,排序分,卖出原因,卖出后现金
000510,新金路,2024-01-03,2024-01-10,5,800,5.751,5.419,4606.18,4328.14,-278.04,-0.057783387927976854,90,90,破位防守,99721.96
601518,吉林高速,2024-01-10,2024-01-23,9,2000,2.475,2.166,4954.88,4324.15,-630.73,-0.12496464560757037,80,80,绝对止损,99091.23
000037,深南电A,2024-01-24,2024-02-02,7,500,9.088,8.363,4549.07,4174.53,-374.54,-0.0797632958999311,80,80,回撤止盈,98716.69
000750,国海证券,2024-02-29,2024-03-14,10,2900,3.347,3.343,9710.37,9685.72,-24.65,-0.0010099561356327748,78,78,沉没止损,25553.13
600560,金自天正,2024-02-21,2024-03-25,23,300,14.359,16.277,4312.6,4875.77,563.17,0.13362806835735347,80,80,回撤止盈,18991.08
002791,坚朗五金,2024-03-13,2024-03-25,8,300,39.609,36.367,11887.72,10899.68,-988.04,-0.0818484457848785,82,82,绝对止损,29890.76
600597,光明乳业,2024-03-13,2024-03-27,10,1300,8.928,8.653,11611.17,11237.83,-373.33,-0.030820513854446147,75,75,沉没止损,41128.6
600737,中粮糖业,2024-03-13,2024-03-27,10,1500,7.846,7.924,11773.49,11875.24,101.75,0.010000433360609528,75,75,沉没止损,53003.83
001338,永顺泰,2024-03-13,2024-03-27,10,1200,9.84,9.79,11812.57,11737.58,-74.99,-0.005006280717587259,72,72,沉没止损,64741.41
600562,国睿科技,2024-03-13,2024-03-27,10,900,13.146,12.924,11836.62,11620.87,-215.74,-0.016897607224575208,72,72,沉没止损,76362.29
001215,千味央厨,2024-03-13,2024-03-28,11,200,49.499,45.409,9904.76,9072.26,-832.5,-0.08262422523374298,72,72,绝对止损,85434.55
000878,云南铜业,2024-03-15,2024-04-26,28,1000,11.433,12.964,11437.82,12952.54,1514.72,0.13393021144389575,80,80,破位防守,98387.09
000795,英洛华,2024-04-26,2024-05-15,10,800,5.842,5.938,4678.33,4743.1,64.78,0.016509006001718743,83,83,沉没止损,21391.12
000089,深圳机场,2024-04-29,2024-05-16,10,1800,6.693,6.657,12053.05,11971.0,-82.05,-0.005483045884279306,86,86,沉没止损,21107.66
002594,比亚迪,2024-04-29,2024-05-16,10,100,71.813,70.908,7186.33,7082.24,-104.09,-0.012608242424039861,80,80,沉没止损,28189.91
601138,工业富联,2024-04-29,2024-05-16,10,500,23.276,24.092,11643.23,12034.84,391.61,0.03502508542965735,80,80,沉没止损,40224.75
603319,美湖股份,2024-04-29,2024-05-16,10,900,12.465,11.647,11223.39,10471.75,-751.64,-0.06564202784142315,80,80,破位防守,50696.5
603317,天味食品,2024-04-29,2024-05-16,10,900,12.405,12.525,11169.28,11261.77,92.49,0.009684991890209825,78,78,沉没止损,61958.27
001213,中铁特货,2024-04-29,2024-05-21,13,3000,4.048,4.122,12149.24,12354.04,204.8,0.018196280705914974,78,78,沉没止损,15490.95
002768,国恩股份,2024-04-29,2024-05-24,16,800,14.539,14.82,11636.22,11845.31,209.1,0.019346558433787193,80,80,沉没止损,15355.36
600686,金龙汽车,2024-05-16,2024-05-24,6,1300,8.918,8.084,11598.14,10498.69,-1099.45,-0.0935208235214963,76,76,绝对止损,25854.05
600103,青山纸业,2024-05-16,2024-05-24,6,5700,2.134,2.026,12170.28,11537.08,-633.2,-0.05075295418552565,71,71,破位防守,37391.13
601921,浙版传媒,2024-05-15,2024-05-27,8,1500,8.166,7.515,12254.45,11261.77,-992.68,-0.07976194849564669,90,90,绝对止损,48652.9
001360,南矿集团,2024-05-16,2024-05-28,8,700,15.591,14.241,10918.78,9959.04,-959.75,-0.08656594266479894,80,80,绝对止损,58611.94
002927,泰永长征,2024-05-16,2024-05-31,11,800,15.02,14.651,12020.98,11709.65,-311.33,-0.02458991290268037,80,80,沉没止损,70321.59
002458,益生股份,2024-05-21,2024-06-03,9,1600,7.485,7.156,11980.9,11438.33,-542.57,-0.043992336611916705,90,90,破位防守,81759.92
002807,江阴银行,2024-05-16,2024-06-06,15,3800,3.186,3.204,12113.17,12162.52,49.35,0.005404285768086473,75,75,沉没止损,93922.44
000901,航天科技,2024-06-13,2024-06-27,10,500,9.108,8.852,4559.09,4418.92,-140.17,-0.028097819762016092,80,80,沉没止损,93782.27
601766,中国中车,2024-07-01,2024-07-15,10,600,6.884,6.916,4135.24,4142.61,7.37,0.004706743717804434,90,90,沉没止损,93789.63
002444,巨星科技,2024-07-15,2024-07-18,3,100,26.272,23.453,2632.24,2339.13,-293.12,-0.1073154986746568,82,82,绝对止损,93496.52
002587,奥拓电子,2024-07-18,2024-07-30,8,800,5.691,5.818,4558.09,4647.34,89.26,0.02231101177925848,80,80,破位防守,93585.77
601158,重庆水务,2024-07-30,2024-08-13,10,900,4.77,4.711,4297.57,4232.38,-65.18,-0.012361830959928861,90,90,沉没止损,93520.59
601019,山东出版,2024-08-16,2024-08-30,10,400,11.573,11.357,4634.24,4535.62,-98.62,-0.01865187374169404,80,80,沉没止损,93421.97
002947,恒铭达,2024-08-30,2024-09-10,7,100,33.838,30.489,3388.75,3042.37,-346.39,-0.09896227680853877,86,86,绝对止损,93075.59
002885,京泉华,2024-09-23,2024-10-08,6,400,11.293,14.591,4522.02,5828.39,1306.37,0.29207069445846556,90,90,亢奋止盈,18345.26
002594,比亚迪,2024-09-26,2024-10-08,3,100,86.813,110.718,8686.33,11061.28,2374.95,0.2753592537915857,90,90,亢奋止盈,29406.53
603127,昭衍新药,2024-09-26,2024-10-08,3,800,14.228,19.74,11387.72,15779.46,4391.74,0.3873970369120914,90,90,亢奋止盈,45185.99
000629,钒钛股份,2024-09-26,2024-10-08,3,4800,2.405,3.244,11548.04,15556.02,4007.98,0.34876081170991363,82,82,亢奋止盈,60742.0
000901,航天科技,2024-09-26,2024-10-09,4,1100,9.8,11.846,10784.52,13019.37,2234.85,0.2088563159978611,90,90,亢奋止盈,73761.37
002589,瑞康医药,2024-09-26,2024-10-09,4,4700,2.465,3.184,11590.12,14950.53,3360.41,0.29157132888694165,90,90,亢奋止盈,88711.91
600415,小商品城,2024-09-26,2024-10-09,4,1300,8.377,9.491,10894.74,12327.1,1432.37,0.13301865169183186,90,90,亢奋止盈,101039.01
603399,永杉锂业,2024-09-26,2024-10-09,4,1700,6.553,7.974,11145.24,13544.06,2398.82,0.21683544226531642,86,86,亢奋止盈,114583.07
600576,祥源文旅,2024-10-09,2024-10-10,1,2400,5.922,5.419,14217.37,12994.43,-1222.93,-0.08488606543258671,80,80,绝对止损,19073.0
600828,茂业商业,2024-10-09,2024-10-10,1,4600,3.096,2.864,14247.43,13164.01,-1083.42,-0.07490520576969029,80,80,绝对止损,32237.01
002888,惠威科技,2024-10-09,2024-10-10,1,800,17.204,15.549,13768.47,12427.85,-1340.62,-0.09622571978930906,70,70,绝对止损,44664.87
000017,深中华A,2024-10-09,2024-10-10,1,2000,6.814,6.088,13632.2,12164.51,-1467.69,-0.10652224961841031,65,65,绝对止损,56829.38
000566,海南海药,2024-10-09,2024-10-11,2,3100,4.469,4.022,13858.65,12456.78,-1401.87,-0.10001969155858685,66,66,绝对止损,69286.16
002801,微光股份,2024-10-09,2024-10-14,3,600,21.693,19.451,13020.98,11659.78,-1361.2,-0.10336278943268187,70,70,绝对止损,80945.93
600114,东睦股份,2024-10-09,2024-10-23,10,800,16.262,18.663,13014.97,14917.61,1902.65,0.14758775732576723,70,70,亢奋止盈,95863.55
001872,招商港口,2024-10-09,2024-10-28,13,600,21.232,19.681,12744.43,11797.43,-947.0,-0.07308742590326674,80,80,绝对止损,18284.66
002229,鸿博股份,2024-10-23,2024-10-31,6,1000,12.816,14.072,12820.58,14059.76,1239.18,0.09802287528149338,76,76,回撤止盈,19146.09
002570,贝因美,2024-10-23,2024-10-31,6,3500,3.758,5.768,13156.25,20174.4,7018.15,0.5351803060545576,76,76,亢奋止盈,39320.48
002416,爱施德,2024-10-23,2024-11-01,7,1300,9.8,14.431,12744.43,18746.02,6001.6,0.47262530154415117,86,86,亢奋止盈,58066.51
000099,中信海直,2024-10-23,2024-11-01,7,600,19.339,25.359,11608.16,15202.9,3594.74,0.3113245012565542,76,76,亢奋止盈,73269.41
000534,万泽股份,2024-10-28,2024-11-04,5,1100,11.994,10.998,13198.33,12086.71,-1111.63,-0.08304026866901128,80,80,绝对止损,85356.11
603201,常润股份,2024-10-23,2024-11-06,10,1000,12.926,17.056,12930.8,17042.29,4111.49,0.3195175540392084,86,86,亢奋止盈,24451.87
603569,长久物流,2024-10-23,2024-11-06,10,1900,6.874,6.786,13065.07,12882.71,-182.36,-0.012703456061637796,86,86,沉没止损,37334.59
001319,铭科精技,2024-11-04,2024-11-06,2,700,22.595,29.032,15821.57,20307.03,4485.46,0.28487238383543323,80,80,亢奋止盈,57641.62
002645,华宏科技,2024-10-23,2024-11-15,17,2000,6.523,6.537,13051.04,13062.26,11.22,0.00212784875717081,76,76,沉没止损,23349.39
600798,宁波海运,2024-11-04,2024-11-18,10,5100,3.076,3.074,15693.31,15663.75,-29.57,-0.0007476902871779323,86,86,沉没止损,39013.14
000514,渝 开 发,2024-11-04,2024-11-18,10,2800,5.491,4.91,15379.69,13736.57,-1643.11,-0.10577385375234931,80,80,绝对止损,52749.71
601609,金田股份,2024-11-04,2024-11-20,12,2600,5.912,5.649,15375.68,14674.22,-701.46,-0.04450759497953257,86,86,破位防守,67423.94
000425,徐工机械,2024-11-04,2024-11-20,12,2000,7.836,7.435,15676.28,14857.76,-818.52,-0.05111771342226038,80,80,破位防守,82281.7
600576,祥源文旅,2024-11-06,2024-11-20,10,2700,6.122,6.008,16534.99,16208.38,-326.61,-0.0186631646690254,90,90,沉没止损,98490.08
000830,鲁西化工,2024-11-06,2024-11-20,10,1400,11.503,11.597,16109.14,16222.35,113.2,0.008154422861593876,86,86,沉没止损,114712.43
000762,西藏矿业,2024-11-06,2024-11-21,11,600,24.509,24.78,14710.35,14855.77,145.42,0.011074335384831283,86,86,沉没止损,129568.2
001332,锡装股份,2024-11-29,2024-12-13,10,200,25.972,25.0,5199.37,4992.48,-206.89,-0.03742283950617284,90,90,沉没止损,129361.31
601158,重庆水务,2024-12-13,2024-12-25,8,1300,4.81,4.681,6257.48,6076.76,-180.72,-0.02681719893546229,90,90,破位防守,129180.59
001308,康冠科技,2024-12-25,2025-01-07,8,200,25.651,23.433,5135.24,4679.26,-455.98,-0.08647392714570862,86,86,绝对止损,128724.62
002734,利民股份,2025-01-16,2025-02-07,10,800,7.946,7.864,6361.69,6283.25,-78.44,-0.010272015867382515,80,80,沉没止损,128646.18
002213,大为股份,2025-02-10,2025-02-12,2,300,18.307,16.158,5496.96,4839.86,-657.1,-0.117385371566664,80,80,绝对止损,116340.84
000878,云南铜业,2025-02-12,2025-02-21,7,1200,12.685,12.295,15227.38,14742.05,-485.33,-0.030741045555019525,82,82,破位防守,26116.45
600362,江西铜业,2025-02-12,2025-02-21,7,700,20.872,19.94,14615.16,13946.05,-669.11,-0.04463564469716347,82,82,破位防守,40062.5
002335,科华数据,2025-02-12,2025-02-24,8,600,24.208,32.684,14529.99,19595.89,5065.9,0.35013499491084055,80,80,亢奋止盈,59658.39
002879,长缆科技,2025-02-11,2025-02-25,10,700,16.633,16.776,11648.24,11732.59,84.35,0.008608085034749621,80,80,沉没止损,71390.99
000719,中原传媒,2025-02-12,2025-02-25,9,1500,10.291,9.98,15440.81,14957.52,-483.3,-0.03017723073813421,75,75,破位防守,86348.5
002648,卫星化学,2025-02-12,2025-02-26,10,700,19.99,20.17,13997.93,14106.65,108.72,0.008988539212302271,75,75,沉没止损,100455.15
002858,力盛体育,2025-02-12,2025-02-27,11,1200,12.765,12.076,15323.58,14478.71,-844.86,-0.05402695394141082,76,76,破位防守,114933.86
600711,盛屯矿业,2025-03-06,2025-03-17,7,3300,4.92,5.738,16240.41,18922.58,2682.18,0.16640446195185993,80,80,亢奋止盈,20103.46
000766,通化金马,2025-03-06,2025-03-20,10,900,17.164,17.585,15452.83,15813.37,360.54,0.02449858018930036,90,90,沉没止损,18928.94
002350,北京科锐,2025-03-06,2025-03-20,10,2400,6.824,6.926,16381.69,16609.38,227.69,0.015021352302736676,90,90,沉没止损,35538.31
601677,明泰铝业,2025-03-06,2025-03-20,10,1300,12.635,12.824,16430.79,16658.25,227.47,0.014964519810497862,90,90,沉没止损,52196.57
002682,龙洲股份,2025-03-06,2025-03-20,10,3400,4.79,4.82,16289.5,16375.96,86.46,0.006426477588755549,82,82,沉没止损,68572.53
600562,国睿科技,2025-03-06,2025-03-20,10,800,20.511,20.738,16413.75,16577.46,163.7,0.011091641826264556,82,82,沉没止损,85149.98
000070,特发信息,2025-02-12,2025-03-24,28,2700,5.862,6.148,15831.59,16585.44,753.85,0.04878789429687639,75,75,破位防守,19980.29
002867,周大生,2025-03-06,2025-03-25,13,1400,11.814,11.856,16544.01,16585.44,41.42,0.003611098413859429,90,90,沉没止损,36565.72
600128,苏豪弘业,2025-03-17,2025-03-25,6,1700,9.99,9.162,16987.9,15562.0,-1425.9,-0.08291341089135675,90,90,绝对止损,52127.72
600081,东风科技,2025-03-20,2025-03-26,4,1300,12.675,11.717,16482.89,15218.86,-1264.03,-0.07564160217115169,80,80,绝对止损,67346.58
002263,大东南,2025-03-20,2025-04-01,8,6300,2.685,2.465,16922.77,15517.11,-1405.65,-0.08203741770190959,82,82,绝对止损,82863.7
600970,中材国际,2025-03-20,2025-04-01,8,1800,9.028,8.633,16255.44,15526.09,-729.35,-0.04378811743881825,82,82,破位防守,98389.79
000969,安泰科技,2025-03-20,2025-04-02,9,1200,13.216,13.124,15864.66,15735.57,-129.09,-0.007012510233513236,90,90,破位防守,114125.35
603121,华培动力,2025-03-20,2025-04-03,10,800,20.28,19.87,16229.38,15883.2,-346.19,-0.020231276577280022,80,80,沉没止损,130008.55
000997,新 大 陆,2025-05-09,2025-05-23,10,400,28.958,29.681,11588.12,11861.27,273.15,0.024957697062622124,90,90,沉没止损,33370.34
000651,格力电器,2025-05-12,2025-05-26,10,300,43.236,43.433,12975.89,13018.37,42.48,0.004548492817378022,75,75,沉没止损,46388.71
002099,海翔药业,2025-05-12,2025-05-26,10,3100,5.21,6.198,16157.24,19197.89,3040.65,0.18946338093044687,75,75,亢奋止盈,65586.6
002397,梦洁股份,2025-05-12,2025-05-26,10,4100,3.908,3.792,16026.98,15536.07,-490.91,-0.029530682225293047,75,75,沉没止损,81122.67
603589,口子窖,2025-05-12,2025-05-26,10,400,34.308,33.722,13728.39,13477.22,-251.17,-0.01708207416941827,71,71,沉没止损,94599.89
603712,七一二,2025-05-12,2025-05-26,10,800,20.04,19.461,16037.0,15556.02,-480.98,-0.028892215568862307,69,69,沉没止损,110155.91
000848,承德露露,2025-04-15,2025-06-10,36,700,8.256,9.281,5784.54,6488.73,704.2,0.12413522469623879,90,90,破位防守,19420.64
000716,黑芝麻,2025-06-05,2025-06-11,4,2500,6.663,6.317,16663.25,15780.45,-882.8,-0.05192021971095413,82,82,破位防守,35201.09
001317,三羊马,2025-05-12,2025-06-12,22,400,40.491,42.315,16201.33,16912.62,711.29,0.045056632589806724,75,75,破位防守,20233.09
603199,九华旅游,2025-06-05,2025-06-12,5,400,37.785,36.846,15119.17,14726.09,-393.07,-0.024857736132084737,80,80,破位防守,34959.19
600218,全柴动力,2025-06-05,2025-06-18,9,1900,8.828,8.583,16777.48,16294.17,-483.31,-0.027733409458042195,86,86,破位防守,51253.35
603137,恒尚节能,2025-06-05,2025-06-18,9,1200,13.607,13.473,16333.59,16154.52,-179.08,-0.009859515137618695,86,86,破位防守,67407.87
002690,美亚光电,2025-06-11,2025-06-20,7,900,17.264,16.347,15543.01,14700.16,-842.85,-0.05312763909210021,90,90,破位防守,82108.03
002769,普路通,2025-06-11,2025-06-20,7,2000,8.166,9.281,16337.6,18548.52,2210.92,0.13654898791374329,90,90,亢奋止盈,100656.55
002228,合兴包装,2025-06-05,2025-06-23,12,5200,3.186,3.004,16574.07,15607.89,-966.19,-0.0572377258062492,78,78,破位防守,116264.43
001231,农心科技,2025-06-09,2025-06-23,10,800,19.689,18.872,15756.44,15085.2,-671.24,-0.041500713585551505,90,90,破位防守,131349.63
601528,瑞丰银行,2025-06-27,2025-07-02,3,2800,5.782,5.599,16193.31,15663.75,-529.57,-0.031610954866696274,90,90,破位防守,20501.94
001207,联科科技,2025-06-27,2025-07-09,8,900,17.395,16.886,15660.25,15184.95,-475.3,-0.02923645795965668,80,80,破位防守,35686.88
002446,盛路通信,2025-06-27,2025-07-11,10,2200,7.335,7.116,16141.21,15641.8,-499.41,-0.029844682220259006,90,90,沉没止损,51328.68
600271,航天信息,2025-06-27,2025-07-11,10,1700,9.279,9.092,15778.48,15443.3,-335.19,-0.020126054586291818,82,82,沉没止损,66771.98
000901,航天科技,2025-06-27,2025-07-11,10,1300,12.094,12.076,15727.38,15685.69,-41.69,-0.0015164368859629743,80,80,沉没止损,82457.67
002591,恒大高新,2025-06-27,2025-07-11,10,2700,6.002,6.108,16210.35,16477.71,267.36,0.017624184019273525,80,80,沉没止损,98935.38
600128,苏豪弘业,2025-06-27,2025-07-11,10,1500,10.661,11.098,15996.92,16633.32,636.4,0.040940675040895436,80,80,沉没止损,115568.69
000776,广发证券,2025-06-27,2025-07-24,19,900,16.443,18.772,14803.54,16881.69,2078.16,0.14167642776603995,86,86,亢奋止盈,19459.93
002469,三维化学,2025-07-22,2025-08-05,10,2000,8.236,8.054,16477.88,16094.67,-383.21,-0.0221673441438291,90,90,破位防守,19407.38
