代码,名称,买入日,卖出日,持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,买入分数,排序分,卖出原因,卖出后现金
000510,新金路,2024-01-03,2024-01-10,5,800,5.751,5.419,4606.18,4328.14,-278.04,-0.057783387927976854,90,90,破位防守,99721.96
601518,吉林高速,2024-01-10,2024-01-23,9,2000,2.475,2.166,4954.88,4324.15,-630.73,-0.12496464560757037,80,80,绝对止损,99091.23
000037,深南电A,2024-01-24,2024-02-01,6,500,9.088,9.431,4549.07,4708.19,159.12,0.03773709471905119,80,80,回撤止盈,99250.36
600585,海螺水泥,2024-02-01,2024-03-04,16,200,20.511,21.068,4107.19,4206.45,99.26,0.027148438833130083,82,82,沉没止损,89639.25
600167,联美控股,2024-03-04,2024-03-07,3,1900,5.22,5.13,9923.8,9736.59,-187.2,-0.01737408101263883,78,78,破位防守,89452.04
000750,国海证券,2024-02-29,2024-03-14,10,2900,3.347,3.343,9710.37,9685.72,-24.65,-0.0010099561356327748,78,78,沉没止损,20815.5
000425,徐工机械,2024-03-07,2024-03-15,6,1600,5.932,5.689,9495.94,9092.21,-403.73,-0.04100582618546692,75,75,破位防守,29907.71
002791,坚朗五金,2024-03-13,2024-03-25,8,300,39.609,36.367,11887.72,10899.68,-988.04,-0.0818484457848785,82,82,绝对止损,40807.39
600597,光明乳业,2024-03-13,2024-03-27,10,1300,8.928,8.653,11611.17,11237.83,-373.33,-0.030820513854446147,75,75,沉没止损,52045.23
600737,中粮糖业,2024-03-13,2024-03-27,10,1500,7.846,7.924,11773.49,11875.24,101.75,0.010000433360609528,75,75,沉没止损,63920.46
001338,永顺泰,2024-03-13,2024-03-27,10,1200,9.84,9.79,11812.57,11737.58,-74.99,-0.005006280717587259,72,72,沉没止损,75658.05
600562,国睿科技,2024-03-13,2024-03-27,10,900,13.146,12.924,11836.62,11620.87,-215.74,-0.016897607224575208,72,72,沉没止损,87278.92
001215,千味央厨,2024-03-13,2024-03-28,11,200,49.499,45.409,9904.76,9072.26,-832.5,-0.08262422523374298,72,72,绝对止损,96351.18
002348,高乐股份,2024-04-10,2024-04-16,4,1300,3.607,2.974,4694.36,3859.32,-835.04,-0.1755267243291196,82,82,绝对止损,95516.14
000089,深圳机场,2024-04-29,2024-05-16,10,1700,6.693,6.657,11383.71,11305.66,-78.05,-0.005483045884279306,86,86,沉没止损,26653.87
002594,比亚迪,2024-04-29,2024-05-16,10,100,71.813,70.908,7186.33,7082.24,-104.09,-0.012608242424039861,80,80,沉没止损,33736.11
601138,工业富联,2024-04-29,2024-05-16,10,500,23.276,24.092,11643.23,12034.84,391.61,0.03502508542965735,80,80,沉没止损,45770.95
603319,美湖股份,2024-04-29,2024-05-16,10,900,12.465,11.647,11223.39,10471.75,-751.64,-0.06564202784142315,80,80,破位防守,56242.7
603317,天味食品,2024-04-29,2024-05-16,10,900,12.405,12.525,11169.28,11261.77,92.49,0.009684991890209825,78,78,沉没止损,67504.47
600422,昆药集团,2024-04-16,2024-05-20,21,200,20.882,21.327,4181.34,4258.32,76.98,0.02133832143773888,90,90,沉没止损,71762.79
001213,中铁特货,2024-04-29,2024-05-21,13,2900,4.048,4.122,11744.43,11942.07,197.64,0.018196280705914974,78,78,沉没止损,83704.86
002768,国恩股份,2024-04-29,2024-05-24,16,800,14.539,14.82,11636.22,11845.31,209.1,0.019346558433787193,80,80,沉没止损,95550.17
000796,凯撒旅业,2024-05-27,2024-06-11,10,1300,3.487,3.413,4538.05,4429.89,-108.16,-0.02116456741689032,90,90,沉没止损,95442.02
600757,长江传媒,2024-06-11,2024-06-26,11,600,7.214,7.076,4333.64,4238.37,-95.27,-0.01920880461299625,90,90,沉没止损,95346.75
002350,北京科锐,2024-06-26,2024-07-05,7,800,5.631,5.2,4509.99,4152.58,-357.41,-0.07665452014121223,80,80,绝对止损,94989.34
000737,北方铜业,2024-07-16,2024-07-19,3,400,10.14,8.982,4061.1,3586.0,-475.09,-0.11422214858819904,80,80,绝对止损,94514.25
600679,上海凤凰,2024-07-19,2024-08-06,12,500,8.908,9.301,4458.89,4643.35,184.46,0.04418384827645047,86,86,沉没止损,94698.71
001360,南矿集团,2024-08-06,2024-08-12,4,300,13.557,12.455,4072.12,3729.64,-342.47,-0.08128753579315866,82,82,绝对止损,94356.24
000029,深深房Ａ,2024-08-12,2024-08-23,9,400,10.912,10.449,4369.71,4172.53,-197.18,-0.04240554703265637,82,82,破位防守,94159.06
001339,智微智能,2024-08-26,2024-09-02,5,200,22.936,22.824,4592.16,4557.57,-34.59,-0.004862271961101769,90,90,破位防守,94124.47
002738,中矿资源,2024-09-12,2024-09-20,4,100,29.499,27.864,2954.89,2780.02,-174.87,-0.05541634123058224,90,90,破位防守,93949.61
002205,国统股份,2024-09-20,2024-10-10,9,600,6.944,8.144,4171.32,4878.76,707.45,0.17278862189041827,90,90,回撤止盈,17943.0
000901,航天科技,2024-09-26,2024-10-10,5,1100,9.8,10.748,10784.52,11812.39,1027.88,0.0968308781210585,90,90,回撤止盈,29755.4
002885,京泉华,2024-09-26,2024-10-10,5,1000,11.383,12.944,11387.72,12932.59,1544.87,0.13716756627589902,90,90,回撤止盈,42687.99
603127,昭衍新药,2024-09-26,2024-10-10,5,800,14.228,18.313,11387.72,14638.31,3250.59,0.287094824435636,90,90,回撤止盈,57326.3
603399,永杉锂业,2024-09-26,2024-10-10,5,1700,6.553,7.186,11145.24,12204.41,1059.18,0.09652255122781951,86,86,回撤止盈,69530.71
002589,瑞康医药,2024-09-26,2024-10-11,6,4700,2.465,2.904,11590.12,13637.82,2047.7,0.1782045664768027,90,90,回撤止盈,19458.42
002594,比亚迪,2024-09-26,2024-10-14,7,100,86.813,98.582,8686.33,9848.31,1161.99,0.1355686595414895,90,90,回撤止盈,18997.16
600114,东睦股份,2024-10-10,2024-10-14,2,700,17.385,15.828,12174.29,11069.26,-1105.03,-0.08952814831432251,80,80,绝对止损,30066.42
000829,天音控股,2024-10-10,2024-10-14,2,1200,10.561,9.77,12678.3,11713.64,-964.65,-0.07486544936692073,76,76,绝对止损,41780.06
600415,小商品城,2024-09-26,2024-10-17,10,1400,8.377,10.12,11732.41,14155.52,2423.12,0.20807666962725296,90,90,回撤止盈,16508.92
002032,苏 泊 尔,2024-10-11,2024-10-18,5,200,51.523,48.183,10309.57,9626.87,-682.7,-0.06481397376386856,76,76,破位防守,13424.43
002209,达 意 隆,2024-10-10,2024-10-24,10,1500,8.757,8.932,13141.22,13386.45,245.23,0.01993952598236012,76,76,沉没止损,13727.77
002888,惠威科技,2024-10-14,2024-10-29,11,700,18.677,18.742,13079.1,13108.15,29.05,0.003488730693120322,68,68,沉没止损,13364.04
000550,江铃汽车,2024-10-14,2024-10-29,11,500,26.222,24.281,13116.17,12129.6,-986.57,-0.07402085397413068,61,61,绝对止损,25493.64
003042,中农联合,2024-10-17,2024-10-31,10,900,14.118,13.952,12711.36,12545.56,-165.8,-0.011767805765332387,68,68,沉没止损,12895.03
002253,川大智胜,2024-10-10,2024-11-04,17,1100,11.433,19.541,12581.1,21478.8,8897.7,0.7091881093203601,76,76,回撤止盈,34373.84
002348,高乐股份,2024-10-14,2024-11-04,15,4800,2.756,2.944,13231.4,14119.61,888.21,0.06844492832516788,68,68,回撤止盈,48493.45
002738,中矿资源,2024-10-24,2024-11-04,7,400,33.667,34.042,13471.88,13604.9,133.02,0.01112596236099235,86,86,破位防守,62098.35
600328,中盐化工,2024-10-29,2024-11-05,5,1600,8.818,8.154,14113.16,13034.33,-1078.83,-0.07529713300671387,83,83,绝对止损,18393.47
002285,世联行,2024-10-18,2024-11-11,16,5200,2.515,3.643,13083.1,18927.57,5844.46,0.4483781441101861,76,76,回撤止盈,23143.75
002307,北新路桥,2024-10-10,2024-11-13,24,3900,3.367,4.122,13135.21,16061.75,2926.54,0.2242598137059215,76,76,回撤止盈,26439.03
000037,深南电A,2024-10-29,2024-11-18,14,1200,9.188,9.551,11031.01,11450.3,419.29,0.03945435192863999,80,80,沉没止损,23070.77
600798,宁波海运,2024-11-04,2024-11-18,10,4600,3.076,3.074,14155.24,14127.59,-27.65,-0.0007476902871779323,86,86,沉没止损,37198.36
000514,渝 开 发,2024-11-04,2024-11-18,10,2600,5.491,4.91,14281.5,12755.03,-1526.46,-0.10577385375234931,80,80,绝对止损,49953.39
601609,金田股份,2024-11-04,2024-11-20,12,2400,5.912,5.649,14193.32,13545.05,-648.27,-0.04450759497953257,86,86,破位防守,63498.45
000425,徐工机械,2024-11-04,2024-11-20,12,1800,7.836,7.435,14109.15,13371.49,-737.66,-0.05111771342226038,80,80,破位防守,76869.93
002054,德美化工,2024-11-05,2024-11-20,11,2600,5.451,5.439,14177.29,14129.59,-47.7,-0.0021611189385935463,86,86,破位防守,90999.52
002706,良信股份,2024-11-13,2024-11-20,5,2100,7.054,6.756,14818.57,14176.47,-642.1,-0.04219118581019782,90,90,破位防守,105175.99
000063,中兴通讯,2024-11-11,2024-11-27,12,400,31.904,29.211,12766.47,11673.74,-1092.73,-0.08438587648822965,90,90,绝对止损,116849.74
001332,锡装股份,2024-11-29,2024-12-13,10,200,25.972,25.0,5199.37,4992.48,-206.89,-0.03742283950617284,90,90,沉没止损,116642.85
601158,重庆水务,2024-12-13,2024-12-25,8,1200,4.81,4.681,5776.52,5608.94,-167.58,-0.02681719893546229,90,90,破位防守,116475.26
600033,福建高速,2025-01-06,2025-01-20,10,1500,3.758,3.742,5641.25,5605.94,-35.31,-0.003992015968063787,78,78,沉没止损,116439.96
000878,云南铜业,2025-02-12,2025-02-21,7,1100,12.685,12.295,13958.85,13513.13,-445.72,-0.030741045555019525,82,82,破位防守,26857.39
600362,江西铜业,2025-02-12,2025-02-21,7,700,20.872,19.94,14615.16,13946.05,-669.11,-0.04463564469716347,82,82,破位防守,40803.44
002879,长缆科技,2025-02-11,2025-02-25,10,700,16.633,16.776,11648.24,11732.59,84.35,0.008608085034749621,80,80,沉没止损,52536.03
000719,中原传媒,2025-02-12,2025-02-25,9,1400,10.291,9.98,14411.76,13960.01,-451.74,-0.03017723073813421,75,75,破位防守,66496.05
002858,力盛体育,2025-02-12,2025-02-27,11,1100,12.765,12.076,14047.03,13271.74,-775.29,-0.05402695394141082,76,76,破位防守,79767.79
002335,科华数据,2025-02-12,2025-03-03,13,600,24.208,30.559,14529.99,18321.09,3791.1,0.2623246883716011,80,80,回撤止盈,98088.87
000766,通化金马,2025-03-06,2025-03-20,10,800,17.164,17.585,13736.41,14055.77,319.37,0.02449858018930036,90,90,沉没止损,24827.42
002350,北京科锐,2025-03-06,2025-03-20,10,2200,6.824,6.926,15016.96,15224.85,207.88,0.015021352302736676,90,90,沉没止损,40052.27
601677,明泰铝业,2025-03-06,2025-03-20,10,1200,12.635,12.824,15167.26,15376.47,209.2,0.014964519810497862,90,90,沉没止损,55428.73
002682,龙洲股份,2025-03-06,2025-03-20,10,3100,4.79,4.82,14852.64,14930.58,77.95,0.006426477588755549,82,82,沉没止损,70359.32
600562,国睿科技,2025-03-06,2025-03-20,10,700,20.511,20.738,14362.66,14504.65,141.99,0.011091641826264556,82,82,沉没止损,84863.97
000070,特发信息,2025-02-12,2025-03-24,28,2400,5.862,6.148,14073.08,14742.05,668.97,0.04878789429687639,75,75,破位防守,24982.12
002867,周大生,2025-03-06,2025-03-25,13,1200,11.814,11.856,14181.3,14215.37,34.08,0.003611098413859429,90,90,沉没止损,39197.49
600081,东风科技,2025-03-20,2025-03-26,4,1200,12.675,11.717,15215.36,14047.79,-1167.57,-0.07564160217115169,80,80,绝对止损,53245.29
600595,中孚实业,2025-01-20,2025-03-31,44,1900,3.056,3.972,5811.59,7538.1,1726.51,0.2997087791629855,80,80,破位防守,60783.39
002263,大东南,2025-03-20,2025-04-01,8,5700,2.685,2.465,15311.55,14038.82,-1272.74,-0.08203741770190959,82,82,绝对止损,74822.21
600970,中材国际,2025-03-20,2025-04-01,8,1700,9.028,8.633,15352.63,14663.25,-689.38,-0.04378811743881825,82,82,破位防守,89485.46
000969,安泰科技,2025-03-20,2025-04-02,9,1100,13.216,13.124,14543.02,14423.85,-119.17,-0.007012510233513236,90,90,破位防守,103909.31
603121,华培动力,2025-03-20,2025-04-03,10,700,20.28,19.87,14201.34,13897.17,-304.16,-0.020231276577280022,80,80,沉没止损,117806.48
000997,新 大 陆,2025-05-09,2025-05-23,10,400,28.958,29.681,11588.12,11861.27,273.15,0.024957697062622124,90,90,沉没止损,30307.51
000651,格力电器,2025-05-12,2025-05-26,10,300,43.236,43.433,12975.89,13018.37,42.48,0.004548492817378022,75,75,沉没止损,43325.88
002397,梦洁股份,2025-05-12,2025-05-26,10,3700,3.908,3.792,14463.86,14019.86,-444.0,-0.029530682225293047,75,75,沉没止损,57345.75
603589,口子窖,2025-05-12,2025-05-26,10,400,34.308,33.722,13728.39,13477.22,-251.17,-0.01708207416941827,71,71,沉没止损,70822.97
603712,七一二,2025-05-12,2025-05-26,10,700,20.04,19.461,14033.0,13610.89,-422.11,-0.028892215568862307,69,69,沉没止损,84433.86
002099,海翔药业,2025-05-12,2025-06-06,18,2800,5.21,5.858,14594.12,16389.93,1795.81,0.12433978197451262,75,75,回撤止盈,26074.64
001317,三羊马,2025-05-12,2025-06-10,20,300,40.491,43.543,12152.25,13051.29,899.04,0.07537313395974699,75,75,回撤止盈,25338.42
000716,黑芝麻,2025-06-05,2025-06-11,4,2200,6.663,6.317,14664.26,13886.2,-778.06,-0.05192021971095413,82,82,破位防守,39224.62
603199,九华旅游,2025-06-05,2025-06-12,5,400,37.785,36.846,15119.17,14726.09,-393.07,-0.024857736132084737,80,80,破位防守,25429.8
600218,全柴动力,2025-06-05,2025-06-18,9,1700,8.828,8.583,15011.95,14578.46,-433.49,-0.027733409458042195,86,86,破位防守,40008.27
603137,恒尚节能,2025-06-05,2025-06-18,9,1100,13.607,13.473,14972.88,14807.89,-164.99,-0.009859515137618695,86,86,破位防守,54816.16
002690,美亚光电,2025-06-11,2025-06-20,7,800,17.264,16.347,13816.57,13066.25,-750.31,-0.05312763909210021,90,90,破位防守,67882.41
002228,合兴包装,2025-06-05,2025-06-23,12,4700,3.186,3.004,14980.89,14106.65,-874.25,-0.0572377258062492,78,78,破位防守,81989.06
001231,农心科技,2025-06-09,2025-06-23,10,700,19.689,18.872,13787.51,13198.92,-588.59,-0.041500713585551505,90,90,破位防守,95187.98
002588,史丹利,2025-04-14,2025-06-24,47,800,7.275,8.323,5824.62,6650.33,825.71,0.14417446099536477,86,86,回撤止盈,101838.31
002769,普路通,2025-06-11,2025-07-02,15,1800,8.166,9.082,14704.34,16334.07,1629.73,0.11210707419516792,90,90,回撤止盈,118172.37
002966,苏州银行,2025-07-02,2025-07-16,10,1600,8.898,8.643,14241.42,13816.37,-425.04,-0.028667889446332702,90,90,沉没止损,19558.41
000778,新兴铸管,2025-07-02,2025-07-16,10,4000,3.617,3.603,14473.88,14398.91,-74.97,-0.003992015968063997,86,86,沉没止损,33957.33
002876,三利谱,2025-07-02,2025-07-16,10,500,25.14,24.94,12575.09,12458.77,-116.32,-0.007961756837063374,82,82,沉没止损,46416.1
600509,天富能源,2025-07-02,2025-07-16,10,2200,6.473,6.397,14245.42,14061.76,-183.66,-0.011701056092150018,82,82,沉没止损,60477.86
002386,天原股份,2025-07-02,2025-07-16,10,2900,5.05,4.99,14650.23,14458.76,-191.47,-0.011896841238158628,80,80,沉没止损,74936.63
000566,海南海药,2025-07-25,2025-07-28,1,2100,7.315,6.677,15365.66,14008.89,-1356.77,-0.08722008038717072,80,80,绝对止损,17364.69
601609,金田股份,2025-07-02,2025-07-30,20,2100,6.884,8.004,14460.85,16794.91,2334.06,0.16273421134441435,90,90,回撤止盈,34159.6
603127,昭衍新药,2025-07-02,2025-08-01,22,600,22.114,31.746,13273.48,19033.3,5759.82,0.43556927829886216,82,82,回撤止盈,53192.91
002206,海 利 得,2025-07-02,2025-08-01,22,2800,5.18,5.339,14509.95,14937.56,427.61,0.03068524459784484,80,80,破位防守,68130.47
603072,天和磁材,2025-07-25,2025-08-04,6,200,54.609,50.778,10926.8,10145.57,-781.23,-0.07014887655880894,86,86,破位防守,78276.04
002739,儒意电影,2025-07-25,2025-08-07,9,1300,11.914,11.467,15492.91,14894.67,-598.24,-0.037499433429188815,90,90,破位防守,19465.65
603633,徕木股份,2025-07-25,2025-08-15,15,1700,9.148,9.321,15557.04,15833.32,276.28,0.018917258582506348,90,90,沉没止损,20248.94
001319,铭科精技,2025-08-06,2025-08-20,10,500,27.535,28.124,13772.48,14049.79,277.31,0.02137936644905228,90,90,沉没止损,19013.23
600784,鲁银投资,2025-08-06,2025-08-20,10,2300,6.543,6.647,15054.04,15274.72,220.68,0.01583662689934058,80,80,沉没止损,34287.95
000089,深圳机场,2025-08-06,2025-08-20,10,2200,7.044,6.896,15501.93,15159.01,-342.92,-0.02099357472821069,76,76,沉没止损,49446.96
002559,亚威股份,2025-08-07,2025-08-22,11,1500,10.03,10.16,15050.03,15226.84,176.81,0.012923204539970925,90,90,沉没止损,17093.86
002972,科安达,2025-08-06,2025-08-28,16,1200,12.715,12.675,15263.46,15196.92,-66.54,-0.0032071397001111894,90,90,沉没止损,16774.82
002801,微光股份,2025-08-06,2025-08-29,17,400,35.27,36.227,14113.16,14478.71,365.55,0.02713323353293395,82,82,沉没止损,15941.98
002282,博深股份,2025-08-22,2025-08-29,5,2000,7.755,7.265,15515.96,14518.61,-997.35,-0.06318628892086633,90,90,破位防守,30460.59
