代码,名称,买入日,卖出日,持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,买入分数,排序分,卖出原因,卖出后现金
600390,五矿资本,2024-03-01,2024-03-19,12,2000,4.99,4.83,9984.92,9650.81,-334.11,-0.031992240418761135,75,75,破位防守,21068.08
002500,山西证券,2024-03-01,2024-03-19,12,1900,5.14,5.02,9771.49,9528.12,-243.38,-0.02340737628057716,72,72,破位防守,30596.19
002791,坚朗五金,2024-03-13,2024-03-25,8,300,39.609,36.367,11887.72,10899.68,-988.04,-0.0818484457848785,82,82,绝对止损,18181.36
600597,光明乳业,2024-03-13,2024-03-27,10,1300,8.928,8.653,11611.17,11237.83,-373.33,-0.030820513854446147,75,75,沉没止损,29419.19
600737,中粮糖业,2024-03-13,2024-03-27,10,1500,7.846,7.924,11773.49,11875.24,101.75,0.010000433360609528,75,75,沉没止损,41294.43
001338,永顺泰,2024-03-13,2024-03-27,10,1200,9.84,9.79,11812.57,11737.58,-74.99,-0.005006280717587259,72,72,沉没止损,53032.01
600562,国睿科技,2024-03-13,2024-03-27,10,900,13.146,12.924,11836.62,11620.87,-215.74,-0.016897607224575208,72,72,沉没止损,64652.89
000997,新 大 陆,2024-03-19,2024-03-27,6,600,19.268,17.096,11566.08,10247.32,-1318.76,-0.11276043856125512,90,90,绝对止损,74900.2
001215,千味央厨,2024-03-13,2024-03-28,11,200,49.499,45.409,9904.76,9072.26,-832.5,-0.08262422523374298,72,72,绝对止损,83972.46
000807,云铝股份,2024-03-19,2024-04-08,12,1000,11.743,13.962,11748.44,13950.04,2201.6,0.18892079322583494,90,90,亢奋止盈,97922.5
001213,中铁特货,2024-04-30,2024-05-17,10,2900,4.108,4.162,11918.78,12057.78,139.0,0.013012998393457058,90,90,沉没止损,21628.01
002594,比亚迪,2024-04-30,2024-05-17,10,100,72.605,70.978,7265.49,7089.23,-176.26,-0.022411153403928956,90,90,沉没止损,28717.23
603638,艾迪精密,2024-04-30,2024-05-17,10,700,16.693,16.407,11690.32,11474.24,-216.08,-0.017144582383851584,90,90,沉没止损,40191.48
000089,深圳机场,2024-04-30,2024-05-17,10,1800,6.663,6.617,11998.94,11899.18,-99.76,-0.006987528701994564,86,86,沉没止损,52090.65
600887,伊利股份,2024-04-30,2024-05-20,11,400,25.29,24.491,10121.19,9786.47,-334.72,-0.031615058314432926,90,90,破位防守,61877.12
605589,圣泉集团,2024-04-30,2024-05-20,11,600,19.399,18.862,11644.23,11306.66,-337.57,-0.027657494927500526,82,82,沉没止损,73183.78
601528,瑞丰银行,2024-04-30,2024-06-04,22,2600,4.589,4.691,11936.82,12184.46,247.65,0.022104263089541484,82,82,沉没止损,85368.25
000830,鲁西化工,2024-04-30,2024-06-19,32,1100,10.701,11.387,11776.5,12514.64,738.14,0.06408718144235886,90,90,破位防守,97882.88
002145,钛能化学,2024-09-27,2024-10-08,2,3300,3.687,4.701,12173.29,15499.16,3325.87,0.27478195782348336,90,90,亢奋止盈,22935.59
002326,永太科技,2024-09-27,2024-10-08,2,1400,8.407,10.768,11774.49,15063.25,3288.76,0.28092087576931923,82,82,亢奋止盈,37998.84
