日期,总权益,现金,股票市值,股票仓位,持仓数量,市场环境,允许开仓,风控暂停,当日信号数,当日买入数,高开跳过数,资金不足跳过数,持仓上限跳过数,持仓上限,买入分数门槛
2024-01-02,100000.0,100000.0,0.0,0.0,0,弱,True,False,10,0,0,0,0,1,78
2024-01-03,99905.816,95393.816,4512.0,0.04516253588279585,1,弱,True,False,6,1,0,0,9,1,78
2024-01-04,99889.816,95393.816,4496.0,0.045009593370359195,1,弱,True,False,3,0,0,0,6,1,78
2024-01-05,99745.816,95393.816,4352.0,0.04363090277390683,1,弱,True,False,4,0,0,0,3,1,78
2024-01-08,99571.44832800001,94915.44832800001,4656.0,0.046760392443651023,1,弱,True,False,0,1,0,0,3,1,78
2024-01-09,99747.44832800001,94915.44832800001,4832.0,0.04844234194453688,1,弱,True,False,5,0,0,0,0,1,78
2024-01-10,99779.44832800001,94915.44832800001,4864.0,0.048747513455985596,1,弱,True,False,2,0,0,0,5,1,78
2024-01-11,99875.44832800001,94915.44832800001,4960.0,0.04966185467033811,1,弱,True,False,3,0,0,0,2,1,78
2024-01-12,99971.44832800001,94915.44832800001,5056.0,0.05057443984818128,1,弱,True,False,4,0,0,0,3,1,78
2024-01-15,100139.44832800001,94915.44832800001,5224.0,0.05216725363703962,1,弱,True,False,6,0,0,0,4,1,78
2024-01-16,100091.44832800001,94915.44832800001,5176.0,0.051712709591714874,1,弱,True,False,3,0,0,0,6,1,78
2024-01-17,100003.44832800001,94915.44832800001,5088.0,0.050878245551212745,1,弱,True,False,1,0,0,0,3,1,78
2024-01-18,99931.44832800001,94915.44832800001,5016.0,0.05019440910669315,1,弱,True,False,4,0,0,0,1,1,78
2024-01-19,99987.44832800001,94915.44832800001,5072.0,0.05072636700720425,1,弱,True,False,2,0,0,0,4,1,78
2024-01-22,99731.44832800001,94915.44832800001,4816.0,0.04828968275042977,1,弱,True,False,0,0,0,0,2,1,78
2024-01-23,99698.45312800001,99698.45312800001,0.0,0.0,0,弱,True,False,2,0,0,0,0,1,78
2024-01-24,99894.383128,95149.383128,4745.0,0.04750016819183896,1,弱,True,False,2,1,0,0,1,1,78
2024-01-25,100089.383128,95149.383128,4940.0,0.04935588416687958,1,弱,True,False,4,0,0,0,2,1,78
2024-01-26,99789.383128,95149.383128,4640.0,0.04649793249095713,1,弱,True,False,3,0,0,0,4,1,78
2024-01-29,100254.383128,95149.383128,5105.0,0.05092046692344793,1,弱,True,False,8,0,0,0,3,1,78
2024-01-30,100764.383128,95149.383128,5615.0,0.055724054727426066,1,弱,True,False,1,0,0,0,8,1,78
2024-01-31,100239.383128,95149.383128,5090.0,0.05077844497008086,1,弱,True,False,2,0,0,0,1,1,78
2024-02-01,99729.383128,95149.383128,4580.0,0.045924278846904046,1,弱,True,False,0,0,0,0,2,1,78
2024-02-02,99323.912318,99323.912318,0.0,0.0,0,弱,False,True,0,0,0,0,0,1,78
2024-02-05,99323.912318,99323.912318,0.0,0.0,0,弱,False,True,0,0,0,0,0,1,78
2024-02-06,99323.912318,99323.912318,0.0,0.0,0,弱,False,True,0,0,0,0,0,1,78
2024-02-07,99323.912318,99323.912318,0.0,0.0,0,弱,False,True,0,0,0,0,0,1,78
2024-02-08,99323.912318,99323.912318,0.0,0.0,0,弱,False,True,0,0,0,0,0,1,78
2024-02-19,99323.912318,99323.912318,0.0,0.0,0,弱,False,True,0,0,0,0,0,1,78
2024-02-20,99323.912318,99323.912318,0.0,0.0,0,弱,True,False,1,0,0,0,0,1,78
2024-02-21,99361.314318,95011.314318,4350.0,0.04377961412706441,1,弱,True,False,1,1,0,0,0,1,78
2024-02-22,99643.314318,95011.314318,4632.0,0.04648580822209017,1,弱,True,False,0,0,0,0,1,1,78
2024-02-23,99772.314318,95011.314318,4761.0,0.047718648530347504,1,弱,True,False,3,0,0,0,0,1,78
2024-02-26,99763.314318,95011.314318,4752.0,0.04763273987522897,1,弱,True,False,0,0,0,0,3,1,78
2024-02-27,99889.314318,95011.314318,4878.000000000001,0.04883405230384075,1,中,True,False,30,0,0,0,0,2,60
2024-02-28,99403.314318,95011.314318,4392.0,0.044183637438381614,1,弱,True,False,1,0,0,0,30,1,78
2024-02-29,99791.942318,85300.942318,14491.0,0.14521212498121885,2,中,True,False,28,1,0,0,0,2,60
2024-03-01,99915.942318,85300.942318,14615.0,0.14627295365423468,2,中,True,False,10,0,0,0,28,2,60
2024-03-04,99796.942318,85300.942318,14496.0,0.1452549513371755,2,中,True,False,6,0,0,0,10,2,60
2024-03-05,99540.942318,85300.942318,14240.0,0.14305671282986215,2,中,True,False,15,0,0,0,6,2,60
2024-03-06,99984.942318,85300.942318,14684.0,0.14686211403010913,2,中,True,False,15,0,0,0,15,2,60
2024-03-07,100386.942318,85300.942318,15086.0,0.150278508854383,2,中,True,False,16,0,0,0,15,2,60
2024-03-08,100301.942318,85300.942318,15001.0,0.14955841984036983,2,中,True,False,17,0,0,0,16,2,60
2024-03-11,100276.942318,85300.942318,14976.0,0.1493463966273308,2,中,True,False,20,0,0,0,17,2,60
2024-03-12,100097.942318,85300.942318,14797.0,0.14782521655631622,2,中,True,False,31,0,0,0,20,2,60
2024-03-13,99274.842318,15581.842317999992,83693.0,0.8430433939337039,8,强,True,False,18,6,0,0,25,8,60
