代码,名称,买入日,卖出日,持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,买入分数,排序分,卖出原因,卖出后现金
000510,新金路,2024-01-03,2024-01-08,3,800,5.751,5.399,4606.18,4312.18,-294.0,-0.061253799022164664,90,90,绝对止损,99706.0
002345,潮宏基,2024-01-08,2024-01-23,11,800,5.982,5.988,4790.55,4783.0,-7.55,0.0010130492783277218,86,86,沉没止损,99698.45
000037,深南电A,2024-01-24,2024-02-02,7,500,9.088,8.363,4549.07,4174.53,-374.54,-0.0797632958999311,80,80,回撤止盈,99323.91
000750,国海证券,2024-02-29,2024-03-14,10,2900,3.347,3.343,9710.37,9685.72,-24.65,-0.0010099561356327748,78,78,沉没止损,25267.56
600560,金自天正,2024-02-21,2024-03-25,23,300,14.359,16.277,4312.6,4875.77,563.17,0.13362806835735347,80,80,回撤止盈,18705.52
002791,坚朗五金,2024-03-13,2024-03-25,8,300,39.609,36.367,11887.72,10899.68,-988.04,-0.0818484457848785,82,82,绝对止损,29605.2
001215,千味央厨,2024-03-13,2024-03-26,9,200,49.499,45.609,9904.76,9112.16,-792.6,-0.07859180424575936,72,72,绝对止损,38717.36
600597,光明乳业,2024-03-13,2024-03-27,10,1400,8.928,8.653,12503.95,12102.67,-401.28,-0.030820513854446147,75,75,沉没止损,50820.02
600737,中粮糖业,2024-03-13,2024-03-27,10,1500,7.846,7.924,11773.49,11875.24,101.75,0.010000433360609528,75,75,沉没止损,62695.26
001338,永顺泰,2024-03-13,2024-03-27,10,1200,9.84,9.79,11812.57,11737.58,-74.99,-0.005006280717587259,72,72,沉没止损,74432.84
600562,国睿科技,2024-03-13,2024-03-27,10,900,13.146,12.924,11836.62,11620.87,-215.74,-0.016897607224575208,72,72,沉没止损,86053.72
000878,云南铜业,2024-03-15,2024-04-29,29,1000,11.433,13.263,11437.82,13251.79,1813.97,0.1601179761423691,80,80,破位防守,99305.51
000089,深圳机场,2024-04-29,2024-05-16,10,1800,6.693,6.657,12053.05,11971.0,-82.05,-0.005483045884279306,86,86,沉没止损,22439.26
002594,比亚迪,2024-04-29,2024-05-16,10,100,71.813,70.908,7186.33,7082.24,-104.09,-0.012608242424039861,80,80,沉没止损,29521.51
601138,工业富联,2024-04-29,2024-05-16,10,500,23.276,24.092,11643.23,12034.84,391.61,0.03502508542965735,80,80,沉没止损,41556.34
603317,天味食品,2024-04-29,2024-05-16,10,900,12.405,12.525,11169.28,11261.77,92.49,0.009684991890209825,78,78,沉没止损,52818.12
603319,美湖股份,2024-04-29,2024-05-17,11,900,12.465,11.976,11223.39,10768.01,-455.38,-0.0392205941814121,80,80,破位防守,14165.52
001213,中铁特货,2024-04-29,2024-05-21,13,3000,4.048,4.122,12149.24,12354.04,204.8,0.018196280705914974,78,78,沉没止损,14195.97
002768,国恩股份,2024-04-29,2024-05-24,16,800,14.539,14.82,11636.22,11845.31,209.1,0.019346558433787193,80,80,沉没止损,14060.38
001360,南矿集团,2024-05-16,2024-05-24,6,800,15.591,14.541,12477.9,11621.87,-856.02,-0.06736270389811634,80,80,绝对止损,25682.25
600686,金龙汽车,2024-05-16,2024-05-24,6,1400,8.918,8.084,12489.92,11306.66,-1183.26,-0.0935208235214963,76,76,绝对止损,36988.91
002927,泰永长征,2024-05-16,2024-05-31,11,800,15.02,14.651,12020.98,11709.65,-311.33,-0.02458991290268037,80,80,沉没止损,48698.57
002966,苏州银行,2024-05-17,2024-05-31,10,1800,6.844,6.816,12323.59,12258.28,-65.31,-0.0039920159680638095,90,90,沉没止损,60956.84
002458,益生股份,2024-05-21,2024-06-04,10,1600,7.485,7.305,11980.9,11677.73,-303.17,-0.02399217628999025,90,90,破位防守,72634.58
002807,江阴银行,2024-05-16,2024-06-06,15,3900,3.186,3.204,12431.8,12482.72,50.91,0.005404285768086473,75,75,沉没止损,85117.29
000830,鲁西化工,2024-04-30,2024-06-19,32,1100,10.701,11.387,11776.5,12514.64,738.14,0.06408718144235886,90,90,破位防守,97631.93
601211,国泰海通,2024-06-19,2024-07-03,10,300,13.397,12.974,4024.02,3885.25,-138.77,-0.03155543811404859,82,82,沉没止损,97493.16
002587,奥拓电子,2024-07-03,2024-07-09,4,800,5.631,5.309,4509.99,4240.36,-269.63,-0.05715970194841637,82,82,绝对止损,97223.53
002452,长高电气,2024-07-10,2024-07-16,4,500,8.697,7.695,4353.68,3840.37,-513.31,-0.11529705565826867,80,80,绝对止损,96710.22
600018,上港集团,2024-07-25,2024-08-08,10,800,5.782,5.619,4630.23,4487.74,-142.49,-0.02815858750436732,90,90,沉没止损,96567.73
000705,浙江震元,2024-08-09,2024-08-20,7,600,7.535,7.106,4526.02,4256.32,-269.7,-0.05697116405486891,82,82,绝对止损,96298.03
002888,惠威科技,2024-08-20,2024-09-18,19,300,15.07,14.481,4526.02,4337.12,-188.9,-0.03909070157557216,86,86,沉没止损,96109.13
