日期,总权益
2024-01-02,100000.0
2024-01-03,99905.816
2024-01-04,99889.816
2024-01-05,99745.816
2024-01-08,99673.816
2024-01-09,99729.816
2024-01-10,99627.080344
2024-01-11,99607.080344
2024-01-12,99627.080344
2024-01-15,99647.080344
2024-01-16,99627.080344
2024-01-17,99627.080344
2024-01-18,99507.080344
2024-01-19,99447.080344
2024-01-22,99127.080344
2024-01-23,99091.234684
2024-01-24,99287.16468399999
2024-01-25,99482.16468399999
2024-01-26,99182.16468399999
2024-01-29,99647.16468399999
2024-01-30,100157.16468399999
2024-01-31,99632.16468399999
2024-02-01,99229.168909
2024-02-02,99225.168909
2024-02-05,99277.168909
2024-02-06,99361.168909
2024-02-07,99375.168909
2024-02-08,99447.168909
2024-02-19,99431.168909
2024-02-20,99489.168909
2024-02-21,99539.168909
2024-02-22,99527.168909
2024-02-23,99513.168909
2024-02-26,99431.168909
2024-02-27,99417.168909
2024-02-28,99383.168909
2024-02-29,99662.796909
2024-03-01,99603.796909
2024-03-04,99198.448131
2024-03-05,98969.448131
2024-03-06,99254.448131
2024-03-07,99002.09889699999
2024-03-08,99239.09889699999
2024-03-11,99147.09889699999
2024-03-12,98846.09889699999
2024-03-13,97783.12089699999
2024-03-14,97855.84311199999
2024-03-15,98079.05223199999
2024-03-18,98399.05223199999
2024-03-19,98072.05223199999
2024-03-20,98351.05223199999
2024-03-21,98635.05223199999
2024-03-22,97432.05223199999
2024-03-25,97303.05223199999
2024-03-26,97802.05223199999
2024-03-27,96672.781156
2024-03-28,96491.15522799999
2024-03-29,96647.15522799999
2024-04-01,95459.017228
2024-04-02,97896.017228
2024-04-03,98996.017228
2024-04-08,103013.017228
2024-04-09,103162.991853
2024-04-10,103333.806333
2024-04-11,101892.378612
2024-04-12,102192.378612
2024-04-15,101370.378612
2024-04-16,100194.378612
2024-04-17,100481.836036
2024-04-18,100295.836036
2024-04-19,100343.836036
2024-04-22,100355.836036
2024-04-23,100247.836036
2024-04-24,100391.836036
2024-04-25,100349.836036
2024-04-26,100313.836036
2024-04-29,100559.53003599998
2024-04-30,100390.53003599998
2024-05-06,101333.22946999999
2024-05-07,102395.22946999999
2024-05-08,101106.22946999999
2024-05-09,101398.22946999999
2024-05-10,100911.22946999999
2024-05-13,100080.22946999999
2024-05-14,100204.22946999999
2024-05-15,99965.22946999999
2024-05-16,99815.64183499999
2024-05-17,100645.64183499999
2024-05-20,101290.84159499999
2024-05-21,100472.84159499999
2024-05-22,99601.84159499999
2024-05-23,97241.84159499999
2024-05-24,97900.59839999999
2024-05-27,96901.956264
2024-05-28,97430.956264
2024-05-29,97262.093016
2024-05-30,95631.093016
2024-05-31,95511.40209999999
2024-06-03,95458.49626999999
