代码,名称,买入日,卖出日,持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,卖出原因,卖出后现金
000510,新金路,2024-01-03,2024-01-10,5,800,5.751,5.419,4606.18,4328.14,-278.04,-0.057783387927976854,破位防守,99721.96
601518,吉林高速,2024-01-10,2024-01-23,9,2000,2.475,2.166,4954.88,4324.15,-630.73,-0.12496464560757037,绝对止损,99091.23
000037,深南电A,2024-01-24,2024-02-01,6,500,9.088,9.431,4549.07,4708.19,159.12,0.03773709471905119,回撤止盈,99250.36
600585,海螺水泥,2024-02-01,2024-03-04,16,200,20.511,21.068,4107.19,4206.45,99.26,0.027148438833130083,沉没止损,89639.25
600167,联美控股,2024-03-04,2024-03-07,3,1900,5.22,5.13,9923.8,9736.59,-187.2,-0.01737408101263883,破位防守,89452.04
000750,国海证券,2024-02-29,2024-03-14,10,2900,3.347,3.343,9710.37,9685.72,-24.65,-0.0010099561356327748,沉没止损,34527.84
000425,徐工机械,2024-03-07,2024-03-15,6,1600,5.932,5.689,9495.94,9092.21,-403.73,-0.04100582618546692,破位防守,43620.05
600597,光明乳业,2024-03-13,2024-03-27,10,2200,8.928,8.653,19646.2,19021.33,-624.87,-0.030820513854446147,沉没止损,62641.39
600737,中粮糖业,2024-03-13,2024-03-27,10,2500,7.846,7.924,19619.15,19795.39,176.24,0.010000433360609528,沉没止损,82436.78
002791,坚朗五金,2024-03-13,2024-03-28,11,400,39.609,35.11,15848.62,14031.83,-1816.79,-0.11359572784610392,绝对止损,96468.62
000506,招金黄金,2024-04-01,2024-04-09,4,4500,4.228,5.489,19032.98,24681.97,5648.99,0.2981146711316703,亢奋止盈,44172.99
603296,华勤技术,2024-04-01,2024-04-10,5,400,40.341,36.128,16141.21,14438.81,-1702.39,-0.1044339537517116,绝对止损,58611.81
000993,闽东电力,2024-04-01,2024-04-11,6,1900,9.79,10.389,18605.13,19724.57,1119.45,0.06125313344651546,亢奋止盈,78336.38
600724,宁波富达,2024-04-01,2024-04-17,10,4800,3.948,3.623,18954.82,17375.46,-1579.37,-0.08235812638682032,绝对止损,95711.84
000543,皖能电力,2024-03-28,2024-05-06,22,600,7.064,7.425,4243.46,4447.84,204.38,0.05110629804221356,破位防守,28844.37
000089,深圳机场,2024-04-29,2024-05-16,10,2900,6.693,6.657,19415.74,19289.66,-126.08,-0.005483045884279306,沉没止损,28028.89
002594,比亚迪,2024-04-29,2024-05-16,10,200,71.813,70.908,14367.67,14169.49,-198.18,-0.012608242424039861,沉没止损,42198.38
601138,工业富联,2024-04-29,2024-05-16,10,800,23.276,24.092,18626.17,19258.74,632.57,0.03502508542965735,沉没止损,61457.12
000411,英特集团,2024-05-06,2024-05-20,10,2000,10.05,9.86,20105.15,19705.62,-399.53,-0.01888744942816254,沉没止损,23293.26
002768,国恩股份,2024-04-29,2024-05-24,16,1300,14.539,14.82,18905.73,19251.76,346.03,0.019346558433787193,沉没止损,22790.6
600686,金龙汽车,2024-05-16,2024-05-27,7,2200,8.918,8.104,19624.16,17814.36,-1809.8,-0.09128260333266056,绝对止损,40604.96
001360,南矿集团,2024-05-16,2024-05-29,9,1200,15.591,13.932,18714.34,16705.14,-2009.21,-0.10640928939037088,绝对止损,57310.09
002927,泰永长征,2024-05-16,2024-05-31,11,1300,15.02,14.651,19530.97,19031.31,-499.66,-0.02458991290268037,沉没止损,76341.4
002110,三钢闽光,2024-05-20,2024-06-03,10,5400,3.657,3.543,19754.42,19117.09,-637.33,-0.03127990594154153,沉没止损,95458.5
000901,航天科技,2024-06-13,2024-06-27,10,500,9.108,8.852,4559.09,4418.92,-140.17,-0.028097819762016092,沉没止损,95318.32
601766,中国中车,2024-07-01,2024-07-15,10,600,6.884,6.916,4135.24,4142.61,7.37,0.004706743717804434,沉没止损,95325.69
002444,巨星科技,2024-07-15,2024-07-18,3,100,26.272,23.453,2632.24,2339.13,-293.12,-0.1073154986746568,绝对止损,95032.57
002587,奥拓电子,2024-07-18,2024-07-30,8,800,5.691,5.818,4558.09,4647.34,89.26,0.02231101177925848,破位防守,95121.83
601158,重庆水务,2024-07-30,2024-08-13,10,900,4.77,4.711,4297.57,4232.38,-65.18,-0.012361830959928861,沉没止损,95056.64
601019,山东出版,2024-08-16,2024-08-30,10,400,11.573,11.357,4634.24,4535.62,-98.62,-0.01865187374169404,沉没止损,94958.03
002947,恒铭达,2024-08-30,2024-09-10,7,100,33.838,30.489,3388.75,3042.37,-346.39,-0.09896227680853877,绝对止损,94611.64
002885,京泉华,2024-09-23,2024-10-08,6,400,11.293,14.591,4522.02,5828.39,1306.37,0.29207069445846556,亢奋止盈,22754.01
002594,比亚迪,2024-09-26,2024-10-08,3,200,86.813,110.718,17367.66,22127.02,4759.36,0.2753592537915857,亢奋止盈,44881.03
000901,航天科技,2024-09-26,2024-10-09,4,1900,9.8,11.846,18624.16,22491.01,3866.85,0.2088563159978611,亢奋止盈,67372.04
002589,瑞康医药,2024-09-26,2024-10-09,4,7600,2.465,3.184,18738.39,24177.37,5438.97,0.29157132888694165,亢奋止盈,91549.41
600415,小商品城,2024-09-26,2024-10-09,4,2200,8.377,9.491,18433.78,20864.5,2430.71,0.13301865169183186,亢奋止盈,112413.91
600576,祥源文旅,2024-10-09,2024-10-14,3,3700,5.922,5.399,21916.21,19961.98,-1954.23,-0.08825665082694172,绝对止损,22853.96
002801,微光股份,2024-10-09,2024-10-14,3,1000,21.693,19.451,21698.72,19436.29,-2262.43,-0.10336278943268187,绝对止损,42290.25
002888,惠威科技,2024-10-09,2024-10-24,11,1300,17.204,17.315,22371.23,22493.01,121.77,0.0064495354079260585,沉没止损,24924.35
600828,茂业商业,2024-10-09,2024-10-28,13,7200,3.096,3.034,22298.07,21827.84,-470.23,-0.020108650013888004,沉没止损,26546.82
001872,招商港口,2024-10-09,2024-10-30,15,1000,21.232,19.571,21237.69,19555.99,-1681.69,-0.07825783072834996,破位防守,26330.36
000550,江铃汽车,2024-10-14,2024-10-30,12,700,26.222,23.553,18360.64,16473.72,-1886.92,-0.10180403427001561,绝对止损,42804.07
002348,高乐股份,2024-10-14,2024-11-04,15,7800,2.756,2.944,21498.27,22946.76,1448.48,0.06844492832516788,回撤止盈,65750.83
002738,中矿资源,2024-10-24,2024-11-04,7,600,33.667,34.042,20205.37,20409.75,204.38,0.01112596236099235,破位防守,86160.58
000099,中信海直,2024-10-28,2024-11-13,12,900,21.964,29.102,19772.46,26171.87,6399.41,0.3249814240132873,回撤止盈,26520.7
000630,铜陵有色,2024-11-08,2024-11-15,5,6300,3.547,3.204,22352.19,20167.42,-2184.77,-0.09684021786934609,绝对止损,24815.01
002758,浙农股份,2024-11-08,2024-11-19,7,2500,8.637,8.084,21598.5,20194.34,-1404.16,-0.06407602428553548,破位防守,45009.35
002706,良信股份,2024-11-13,2024-11-20,5,3100,7.054,6.756,21873.11,20929.32,-943.8,-0.04219118581019782,破位防守,65938.67
001317,三羊马,2024-11-08,2024-11-21,9,700,28.236,27.894,19770.45,19511.11,-259.34,-0.0121212507561174,破位防守,85449.77
002458,益生股份,2024-11-08,2024-11-25,11,3100,7.124,7.255,22090.6,22475.06,384.45,0.018421665810432458,沉没止损,107924.83
001332,锡装股份,2024-11-29,2024-12-13,10,200,25.972,25.0,5199.37,4992.48,-206.89,-0.03742283950617284,沉没止损,107717.94
601158,重庆水务,2024-12-13,2024-12-25,8,1100,4.81,4.681,5295.56,5141.11,-154.45,-0.02681719893546229,破位防守,107563.49
001308,康冠科技,2024-12-25,2025-01-08,9,200,25.651,23.014,5135.24,4595.47,-539.77,-0.10281468313373263,绝对止损,107023.72
000716,黑芝麻,2025-01-17,2025-02-05,7,600,7.725,6.627,4640.25,3969.04,-671.21,-0.14221880493228847,绝对止损,106352.52
600531,豫光金铅,2025-02-06,2025-02-20,10,800,6.493,6.397,5199.37,5110.19,-89.18,-0.014751361474581628,沉没止损,35728.29
000878,云南铜业,2025-02-12,2025-02-21,7,1600,12.685,12.295,20301.59,19657.74,-643.85,-0.030741045555019525,破位防守,34077.19
600362,江西铜业,2025-02-12,2025-02-21,7,1000,20.872,19.94,20876.88,19925.07,-951.81,-0.04463564469716347,破位防守,54002.26
002879,长缆科技,2025-02-11,2025-02-25,10,600,16.633,16.776,9984.92,10055.8,70.88,0.008608085034749621,沉没止损,64058.05
002335,科华数据,2025-02-12,2025-02-25,9,800,24.208,33.722,19371.66,26957.7,7586.05,0.3930095107797649,亢奋止盈,91015.75
002911,佛燃能源,2025-02-20,2025-02-26,4,1900,11.212,10.349,21308.85,19648.76,-1660.09,-0.07697919620990373,破位防守,110664.52
000534,万泽股份,2025-03-04,2025-03-19,11,300,15.892,16.198,4772.52,4851.83,79.32,0.019243983659415133,沉没止损,25545.52
000766,通化金马,2025-03-06,2025-03-20,10,1200,17.164,17.585,20602.26,21085.89,483.62,0.02449858018930036,沉没止损,24531.79
002350,北京科锐,2025-03-06,2025-03-20,10,3200,6.824,6.926,21841.04,22146.96,305.92,0.015021352302736676,沉没止损,46678.75
601677,明泰铝业,2025-03-06,2025-03-20,10,1700,12.635,12.824,21485.24,21784.96,299.72,0.014964519810497862,沉没止损,68463.71
000601,韶能股份,2025-03-19,2025-03-21,2,5000,4.419,5.269,22099.62,26327.44,4227.82,0.19249935503143376,亢奋止盈,26642.12
