日期,总权益,现金,股票市值,股票仓位,持仓数量,市场环境,允许开仓,风控暂停,当日信号数,当日买入数,高开跳过数,资金不足跳过数,持仓上限跳过数,持仓上限,买入分数门槛
2024-01-02,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-03,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-04,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-05,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-08,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-09,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-10,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-11,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-12,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-15,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-16,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-17,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-18,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-19,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-22,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-23,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-24,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-25,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-26,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-29,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-30,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-01-31,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-02-01,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-02-02,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-02-05,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-02-06,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-02-07,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-02-08,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-02-19,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-02-20,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-02-21,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-02-22,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-02-23,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-02-26,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-02-27,100000.0,100000.0,0.0,0.0,0,中,True,False,30,0,0,0,0,2,60
2024-02-28,100000.0,100000.0,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-02-29,100000.0,100000.0,0.0,0.0,0,中,True,False,29,0,0,0,0,2,60
2024-03-01,99889.58600000001,80243.58600000001,19646.0,0.19667715911846906,2,中,True,False,11,2,0,0,27,2,60
2024-03-04,99559.58600000001,80243.58600000001,19316.0,0.19401446687413906,2,中,True,False,7,0,0,0,11,2,60
2024-03-05,99287.58600000001,80243.58600000001,19044.0,0.19180645604577393,2,中,True,False,17,0,0,0,7,2,60
2024-03-06,99326.58600000001,80243.58600000001,19083.0,0.1921237884890154,2,中,True,False,15,0,0,0,17,2,60
2024-03-07,99207.58600000001,80243.58600000001,18964.0,0.19115473689683365,2,中,True,False,16,0,0,0,15,2,60
2024-03-08,99228.58600000001,80243.58600000001,18985.0,0.19132591489311354,2,中,True,False,19,0,0,0,16,2,60
2024-03-11,99424.58600000001,80243.58600000001,19181.0,0.19292008920208126,2,中,True,False,22,0,0,0,19,2,60
2024-03-12,99402.58600000001,80243.58600000001,19159.0,0.1927414644926843,2,中,True,False,31,0,0,0,22,2,60
2024-03-13,98196.70200000002,21168.702000000012,77028.0,0.7844255298920323,5,强,True,False,19,3,0,0,28,5,60
2024-03-14,98084.702,21168.702000000012,76916.0,0.7841793718249763,5,中,True,False,36,0,0,0,19,2,60
2024-03-15,98421.70200000002,21168.702000000012,77253.0,0.7849183506296201,5,强,True,False,40,0,0,0,36,5,60
2024-03-18,98778.891503,1866.8915030000098,96912.0,0.9811002991166052,5,强,True,False,70,2,0,0,38,5,60
2024-03-19,97740.891503,1866.8915030000098,95874.0,0.9808995858919222,5,强,True,False,33,0,0,0,70,5,60
2024-03-20,98249.891503,1866.8915030000098,96383.0,0.9809985387826815,5,强,True,False,34,0,0,0,33,5,60
2024-03-21,98873.891503,1866.8915030000098,97007.0,0.9811184583248312,5,强,True,False,36,0,0,0,34,5,60
2024-03-22,96408.891503,1866.8915030000098,94542.0,0.9806356916473631,5,弱,False,False,0,0,0,0,0,0,60
2024-03-25,95157.891503,1866.8915030000098,93291.0,0.9803811173880292,5,弱,False,False,0,0,0,0,0,0,60
2024-03-26,95517.398507,18823.39850700001,76694.0,0.8029322531683007,4,弱,False,True,0,0,0,0,0,0,60
2024-03-27,93639.127431,57640.127431,35999.0,0.38444399245952643,2,弱,False,True,0,0,0,0,0,0,60
2024-03-28,93754.170021,75181.170021,18573.0,0.19810318832580817,1,弱,False,True,0,0,0,0,0,0,60
2024-03-29,94369.170021,75181.170021,19188.0,0.20332911686867744,1,弱,False,True,0,0,0,0,0,0,60
2024-04-01,94438.911832,94438.911832,0.0,0.0,0,强,False,True,0,0,0,0,0,5,60
2024-04-02,94438.911832,94438.911832,0.0,0.0,0,强,False,True,0,0,0,0,0,5,60
2024-04-03,94438.911832,94438.911832,0.0,0.0,0,强,True,False,86,0,0,0,0,5,60
2024-04-08,94438.911832,94438.911832,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-04-09,94438.911832,94438.911832,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-04-10,94438.911832,94438.911832,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-04-11,94438.911832,94438.911832,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-04-12,94438.911832,94438.911832,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-04-15,94438.911832,94438.911832,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-04-16,94438.911832,94438.911832,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-04-17,94438.911832,94438.911832,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-04-18,94438.911832,94438.911832,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-04-19,94438.911832,94438.911832,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-04-22,94438.911832,94438.911832,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-04-23,94438.911832,94438.911832,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-04-24,94438.911832,94438.911832,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-04-25,94438.911832,94438.911832,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-04-26,94438.911832,94438.911832,0.0,0.0,0,弱,False,False,0,0,0,0,0,0,60
2024-04-29,94438.911832,94438.911832,0.0,0.0,0,强,True,False,87,0,0,0,0,5,60
2024-04-30,94489.727832,7147.727832000011,87342.0,0.9243544457582896,5,强,True,False,66,5,0,0,82,5,60
2024-05-06,96099.727832,7147.727832000011,88952.0,0.9256217682062997,5,强,True,False,100,0,0,0,66,5,60
2024-05-07,95719.727832,7147.727832000011,88572.0,0.925326492313631,5,强,True,False,80,0,0,0,100,5,60
2024-05-08,95144.727832,7147.727832000011,87997.0,0.9248752085914738,5,强,True,False,48,0,0,0,80,5,60
2024-05-09,96118.727832,7147.727832000011,88971.0,0.9256364707147073,5,强,True,False,27,0,0,0,48,5,60
2024-05-10,95656.727832,7147.727832000011,88509.0,0.9252773119675031,5,强,True,False,57,0,0,0,27,5,60
2024-05-13,95666.727832,7147.727832000011,88519.0,0.9252851226964499,5,强,True,False,58,0,0,0,57,5,60
2024-05-14,95640.727832,7147.727832000011,88493.0,0.9252648114038245,5,强,True,False,42,0,0,0,58,5,60
2024-05-15,95036.727832,7147.727832000011,87889.0,0.9247898365710222,5,强,True,False,27,0,0,0,42,5,60
2024-05-16,94535.727832,7147.727832000011,87388.0,0.9243912540166584,5,强,True,False,28,0,0,0,27,5,60
2024-05-17,94860.76334500001,74970.76334500001,19890.0,0.2096757320796784,1,强,False,True,0,0,0,0,0,5,60
2024-05-20,94945.76334500001,74970.76334500001,19975.0,0.2103832682604043,1,强,False,True,0,0,0,0,0,5,60
2024-05-21,95013.76334500001,74970.76334500001,20043.0,0.21094838573252597,1,强,False,True,0,0,0,0,0,5,60
