代码,名称,买入日,卖出日,持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,买入分数,排序分,卖出原因,卖出后现金
600390,五矿资本,2024-03-01,2024-03-18,11,2000,4.99,4.77,9984.92,9531.11,-453.81,-0.04399233661191675,75,75,破位防守,30699.81
002500,山西证券,2024-03-01,2024-03-18,11,1900,5.14,4.96,9771.49,9414.4,-357.09,-0.035056592468085304,72,72,破位防守,40114.21
002915,中欣氟材,2024-03-18,2024-03-26,6,1300,14.529,13.054,18892.7,16956.51,-1936.19,-0.10153210819739836,80,80,绝对止损,18823.4
600597,光明乳业,2024-03-13,2024-03-27,10,2200,8.928,8.653,19646.2,19021.33,-624.87,-0.030820513854446147,75,75,沉没止损,37844.73
600737,中粮糖业,2024-03-13,2024-03-27,10,2500,7.846,7.924,19619.15,19795.39,176.24,0.010000433360609528,75,75,沉没止损,57640.13
002791,坚朗五金,2024-03-13,2024-03-28,11,500,39.609,35.11,19809.53,17541.04,-2268.49,-0.11359572784610392,82,82,绝对止损,75181.17
000758,中色股份,2024-03-18,2024-04-01,10,4100,4.719,4.701,19354.62,19257.74,-96.88,-0.003992015968064053,90,90,破位防守,94438.91
001213,中铁特货,2024-04-30,2024-05-17,10,4500,4.108,4.162,18491.9,18713.11,221.21,0.013012998393457058,90,90,沉没止损,25860.83
002594,比亚迪,2024-04-30,2024-05-17,10,200,72.605,70.978,14525.98,14183.45,-342.53,-0.022411153403928956,90,90,沉没止损,40044.29
600887,伊利股份,2024-04-30,2024-05-17,10,700,25.29,24.152,17708.34,16892.67,-815.67,-0.045031964596955076,90,90,破位防守,56936.96
603638,艾迪精密,2024-04-30,2024-05-17,10,1100,16.693,16.407,18367.65,18033.81,-333.84,-0.017144582383851584,90,90,沉没止损,74970.76
000830,鲁西化工,2024-04-30,2024-06-18,31,1700,10.701,11.317,18197.31,19224.82,1027.51,0.05755903922492106,90,90,破位防守,94195.59
002145,钛能化学,2024-09-27,2024-10-08,2,5100,3.687,4.701,18810.54,23954.98,5144.44,0.27478195782348336,90,90,亢奋止盈,28481.64
603077,和邦生物,2024-09-27,2024-10-09,3,10100,1.854,2.156,18727.37,21756.04,3028.67,0.1629066191940444,90,90,亢奋止盈,50237.67
600576,祥源文旅,2024-10-09,2024-10-14,3,3600,5.922,5.399,21323.88,19422.33,-1901.55,-0.08825665082694172,80,80,绝对止损,27098.43
600415,小商品城,2024-09-27,2024-10-17,9,2200,8.517,10.12,18742.4,22246.69,3504.29,0.18817893624515694,90,90,回撤止盈,28122.47
000719,中原传媒,2024-09-27,2024-10-18,10,1800,10.361,10.12,18654.22,18201.39,-452.84,-0.023257160726902038,90,90,沉没止损,26553.4
603392,万泰生物,2024-09-27,2024-10-18,10,200,73.647,69.96,14734.4,13979.96,-754.44,-0.0500658546851877,90,90,破位防守,40533.37
001872,招商港口,2024-10-09,2024-10-30,15,1000,21.232,19.571,21237.69,19555.99,-1681.69,-0.07825783072834996,80,80,破位防守,20515.39
003042,中农联合,2024-10-17,2024-10-31,10,1400,14.118,13.952,19770.45,19518.09,-252.36,-0.011767805765332387,68,68,沉没止损,40033.48
002348,高乐股份,2024-10-14,2024-11-04,15,7700,2.756,2.944,21222.65,22652.57,1429.91,0.06844492832516788,68,68,回撤止盈,62686.05
002285,世联行,2024-10-18,2024-11-08,15,7900,2.515,4.092,19873.66,32300.98,12427.32,0.6269453125621266,76,76,亢奋止盈,94987.02
002307,北新路桥,2024-10-18,2024-11-13,18,5600,3.517,4.122,19700.31,23064.43,3364.12,0.1719410182484036,76,76,回撤止盈,23775.77
000630,铜陵有色,2024-11-08,2024-11-15,5,6800,3.547,3.204,24126.17,21768.01,-2358.17,-0.09684021786934609,90,90,绝对止损,22965.07
002758,浙农股份,2024-11-08,2024-11-19,7,2700,8.637,8.084,23326.38,21809.89,-1516.49,-0.06407602428553548,90,90,破位防守,44774.96
002706,良信股份,2024-11-13,2024-11-20,5,3200,7.054,6.756,22578.7,21604.46,-974.24,-0.04219118581019782,90,90,破位防守,66379.42
001317,三羊马,2024-11-08,2024-11-21,9,800,28.236,27.894,22594.74,22298.54,-296.19,-0.0121212507561174,90,90,破位防守,88677.96
002458,益生股份,2024-11-08,2024-11-25,11,3400,7.124,7.255,24228.4,24650.06,421.66,0.018421665810432458,90,90,沉没止损,113328.03
000878,云南铜业,2025-02-12,2025-02-21,7,1700,12.685,12.295,21570.44,20886.44,-684.0,-0.030741045555019525,82,82,破位防守,25987.44
600362,江西铜业,2025-02-12,2025-02-21,7,1000,20.872,19.94,20876.88,19925.07,-951.81,-0.04463564469716347,82,82,破位防守,45912.51
