代码,名称,买入日,卖出日,持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,买入分数,排序分,卖出原因,卖出后现金
002915,中欣氟材,2024-03-18,2024-03-26,6,1300,14.529,13.054,18892.7,16956.51,-1936.19,-0.10153210819739836,80,80,绝对止损,19154.34
603638,艾迪精密,2024-03-18,2024-03-26,6,1200,16.242,15.609,19495.9,18716.1,-779.81,-0.03901512213081544,75,75,破位防守,37870.44
000796,凯撒旅业,2024-03-18,2024-03-28,8,5800,3.427,3.114,19880.67,18045.78,-1834.89,-0.091361137374374,72,72,破位防守,55916.22
000758,中色股份,2024-03-18,2024-04-01,10,4200,4.719,4.701,19826.56,19727.56,-99.0,-0.003992015968064053,90,90,破位防守,75643.78
600595,中孚实业,2024-03-18,2024-04-01,10,5800,3.397,3.393,19706.32,19665.72,-40.6,-0.0010539393190022199,78,78,沉没止损,95309.5
001213,中铁特货,2024-04-30,2024-05-17,10,4600,4.108,4.162,18902.72,19129.06,226.34,0.013012998393457058,90,90,沉没止损,26736.56
002594,比亚迪,2024-04-30,2024-05-17,10,200,72.605,70.978,14525.98,14183.45,-342.53,-0.022411153403928956,90,90,沉没止损,40920.02
600887,伊利股份,2024-04-30,2024-05-17,10,700,25.29,24.152,17708.34,16892.67,-815.67,-0.045031964596955076,90,90,破位防守,57812.69
603638,艾迪精密,2024-04-30,2024-05-17,10,1100,16.693,16.407,18367.65,18033.81,-333.84,-0.017144582383851584,90,90,沉没止损,75846.49
000830,鲁西化工,2024-04-30,2024-06-18,31,1700,10.701,11.317,18197.31,19224.82,1027.51,0.05755903922492106,90,90,破位防守,95071.32
002145,钛能化学,2024-09-27,2024-10-08,2,5100,3.687,4.701,18810.54,23954.98,5144.44,0.27478195782348336,90,90,亢奋止盈,29172.0
603077,和邦生物,2024-09-27,2024-10-09,3,10200,1.854,2.156,18912.74,21971.45,3058.71,0.1629066191940444,90,90,亢奋止盈,51143.44
600576,祥源文旅,2024-10-09,2024-10-14,3,3600,5.922,5.399,21323.88,19422.33,-1901.55,-0.08825665082694172,80,80,绝对止损,28004.2
600415,小商品城,2024-09-27,2024-10-17,9,2200,8.517,10.12,18742.4,22246.69,3504.29,0.18817893624515694,90,90,回撤止盈,29028.23
000719,中原传媒,2024-09-27,2024-10-18,10,1800,10.361,10.12,18654.22,18201.39,-452.84,-0.023257160726902038,90,90,沉没止损,27459.17
603392,万泰生物,2024-09-27,2024-10-18,10,200,73.647,69.96,14734.4,13979.96,-754.44,-0.0500658546851877,90,90,破位防守,41439.13
001872,招商港口,2024-10-09,2024-10-30,15,1000,21.232,19.571,21237.69,19555.99,-1681.69,-0.07825783072834996,80,80,破位防守,20817.91
003042,中农联合,2024-10-17,2024-10-31,10,1400,14.118,13.952,19770.45,19518.09,-252.36,-0.011767805765332387,68,68,沉没止损,40336.0
002348,高乐股份,2024-10-14,2024-11-04,15,7700,2.756,2.944,21222.65,22652.57,1429.91,0.06844492832516788,68,68,回撤止盈,62988.57
002285,世联行,2024-10-18,2024-11-08,15,8000,2.515,4.092,20125.19,32709.85,12584.66,0.6269453125621266,76,76,亢奋止盈,95698.42
002307,北新路桥,2024-10-18,2024-11-13,18,5700,3.517,4.122,20052.03,23476.3,3424.27,0.1719410182484036,76,76,回撤止盈,23680.29
000630,铜陵有色,2024-11-08,2024-11-15,5,6900,3.547,3.204,24480.97,22088.12,-2392.85,-0.09684021786934609,90,90,绝对止损,22484.13
002758,浙农股份,2024-11-08,2024-11-19,7,2800,8.637,8.084,24190.32,22617.66,-1572.65,-0.06407602428553548,90,90,破位防守,45101.79
002706,良信股份,2024-11-13,2024-11-20,5,3300,7.054,6.756,23284.28,22279.6,-1004.69,-0.04219118581019782,90,90,破位防守,67381.39
001317,三羊马,2024-11-08,2024-11-21,9,800,28.236,27.894,22594.74,22298.54,-296.19,-0.0121212507561174,90,90,破位防守,89679.93
002458,益生股份,2024-11-08,2024-11-25,11,3400,7.124,7.255,24228.4,24650.06,421.66,0.018421665810432458,90,90,沉没止损,114329.99
603908,牧高笛,2025-02-21,2025-02-28,5,900,23.096,23.223,20791.69,20885.44,93.75,0.005514350907728988,86,86,破位防守,25709.54
600679,上海凤凰,2025-02-21,2025-03-07,10,1500,14.529,14.172,21798.95,21241.46,-557.49,-0.024599077706655665,90,90,沉没止损,46951.0
002645,华宏科技,2025-02-21,2025-03-07,10,3700,6.072,6.218,22472.46,22987.64,515.18,0.023948802065835415,82,82,沉没止损,69938.64
600027,华电国际,2025-02-21,2025-03-07,10,4500,5.06,4.96,22776.14,22303.53,-472.61,-0.019770360269560045,82,82,沉没止损,92242.17
603201,常润股份,2025-03-11,2025-03-25,10,1400,16.022,14.521,22436.38,20314.01,-2122.37,-0.09368879501784413,90,90,绝对止损,21747.28
601158,重庆水务,2025-03-11,2025-03-25,10,5000,4.579,4.601,22901.42,22986.65,85.22,0.004725778202893918,82,82,沉没止损,44733.93
000510,新金路,2025-03-11,2025-03-26,11,5900,3.878,3.982,22884.39,23476.3,591.91,0.026891952529050463,82,82,沉没止损,68210.23
000655,金岭矿业,2025-03-11,2025-04-01,15,3600,6.273,6.587,22586.72,23694.7,1107.98,0.050104264314820714,82,82,沉没止损,91904.92
605166,聚合顺,2025-02-21,2025-04-07,30,1800,12.034,11.567,21666.65,20804.66,-861.99,-0.03882326936468446,90,90,沉没止损,112709.58
603663,三祥新材,2025-05-13,2025-05-21,6,1200,18.216,16.387,21865.1,19649.76,-2215.34,-0.1004152311438727,80,80,绝对止损,25016.26
603181,皇马科技,2025-05-13,2025-05-27,10,1800,12.214,11.966,21991.38,21522.68,-468.7,-0.020333410291803588,90,90,沉没止损,25025.63
000655,金岭矿业,2025-05-13,2025-05-27,10,3400,6.553,6.517,22286.04,22140.98,-145.06,-0.005514963955880365,75,75,沉没止损,47166.61
002287,奇正藏药,2025-05-13,2025-05-27,10,900,23.767,23.333,21396.04,20984.17,-411.88,-0.01826869027543566,75,75,破位防守,68150.78
001328,登康口腔,2025-05-13,2025-05-29,12,400,49.499,46.487,19804.52,18580.44,-1224.08,-0.060849151898631784,76,76,破位防守,86731.22
603101,汇嘉时代,2025-05-21,2025-05-30,7,2700,7.966,8.034,21513.31,21675.26,161.95,0.008536386346803312,90,90,破位防守,108406.48
601528,瑞丰银行,2025-06-27,2025-07-02,3,3700,5.782,5.599,21397.05,20699.95,-697.1,-0.031610954866696274,90,90,破位防守,23141.49
002446,盛路通信,2025-06-27,2025-07-11,10,2900,7.335,7.116,21275.77,20620.17,-655.6,-0.029844682220259006,90,90,沉没止损,22401.69
600271,航天信息,2025-06-27,2025-07-11,10,2300,9.279,9.092,21345.93,20895.41,-450.52,-0.020126054586291818,82,82,沉没止损,43297.11
000901,航天科技,2025-06-27,2025-07-11,10,1700,12.094,12.076,20565.18,20513.46,-51.71,-0.0015164368859629743,80,80,沉没止损,63810.57
002966,苏州银行,2025-07-02,2025-07-16,10,2400,8.898,8.643,21359.96,20726.88,-633.09,-0.028667889446332702,90,90,沉没止损,84537.44
000776,广发证券,2025-06-27,2025-07-24,19,1300,16.443,18.772,21381.01,24385.79,3004.78,0.14167642776603995,86,86,亢奋止盈,24759.22
002469,三维化学,2025-07-22,2025-08-05,10,2600,8.236,8.054,21420.1,20924.33,-495.77,-0.0221673441438291,90,90,破位防守,24155.21
002972,科安达,2025-07-22,2025-08-05,10,1600,12.435,12.315,19900.71,19689.66,-211.05,-0.009610110962603429,90,90,沉没止损,43844.87
002648,卫星化学,2025-07-22,2025-08-15,18,1200,17.896,18.214,21480.23,21839.81,359.58,0.01775731850967712,90,90,沉没止损,22029.66
001319,铭科精技,2025-08-06,2025-08-20,10,800,27.535,28.124,22033.47,22482.04,448.56,0.02137936644905228,90,90,沉没止损,23013.42
002972,科安达,2025-08-06,2025-08-28,16,1700,12.715,12.675,21621.55,21530.66,-90.89,-0.0032071397001111894,90,90,沉没止损,21943.33
002406,远东传动,2025-07-22,2025-09-01,29,2900,7.365,7.924,21362.97,22962.71,1599.74,0.07595964533518001,90,90,破位防守,24492.21
000686,东北证券,2025-08-18,2025-09-01,10,2500,8.597,8.493,21498.27,21216.53,-281.75,-0.012117955231727835,90,90,沉没止损,45708.73
002559,亚威股份,2025-08-20,2025-09-03,10,2200,10.27,10.539,22600.75,23168.15,567.4,0.026131152329487414,90,90,沉没止损,68876.88
000032,深桑达Ａ,2025-08-28,2025-09-03,4,800,25.511,23.114,20413.84,18476.7,-1937.14,-0.09396917084918942,90,90,绝对止损,87353.58
