代码,名称,买入日,卖出日,持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,买入分数,排序分,卖出原因,卖出后现金
000510,新金路,2024-01-03,2024-01-10,5,800,5.751,5.419,4606.18,4328.14,-278.04,-0.057783387927976854,90,90,破位防守,99721.96
601518,吉林高速,2024-01-10,2024-01-23,9,2000,2.475,2.166,4954.88,4324.15,-630.73,-0.12496464560757037,80,80,绝对止损,99091.23
000037,深南电A,2024-01-24,2024-02-01,6,500,9.088,9.431,4549.07,4708.19,159.12,0.03773709471905119,80,80,回撤止盈,99250.36
600585,海螺水泥,2024-02-01,2024-03-04,16,200,20.511,21.068,4107.19,4206.45,99.26,0.027148438833130083,82,82,沉没止损,89639.25
600167,联美控股,2024-03-04,2024-03-07,3,1900,5.22,5.13,9923.8,9736.59,-187.2,-0.01737408101263883,78,78,破位防守,89452.04
000750,国海证券,2024-02-29,2024-03-14,10,2900,3.347,3.343,9710.37,9685.72,-24.65,-0.0010099561356327748,78,78,沉没止损,20815.5
000425,徐工机械,2024-03-07,2024-03-15,6,1600,5.932,5.689,9495.94,9092.21,-403.73,-0.04100582618546692,75,75,破位防守,29907.71
600597,光明乳业,2024-03-13,2024-03-27,10,1300,8.928,8.653,11611.17,11237.83,-373.33,-0.030820513854446147,75,75,沉没止损,41145.55
600737,中粮糖业,2024-03-13,2024-03-27,10,1500,7.846,7.924,11773.49,11875.24,101.75,0.010000433360609528,75,75,沉没止损,53020.78
001338,永顺泰,2024-03-13,2024-03-27,10,1200,9.84,9.79,11812.57,11737.58,-74.99,-0.005006280717587259,72,72,沉没止损,64758.36
600562,国睿科技,2024-03-13,2024-03-27,10,900,13.146,12.924,11836.62,11620.87,-215.74,-0.016897607224575208,72,72,沉没止损,76379.24
002791,坚朗五金,2024-03-13,2024-03-28,11,300,39.609,35.11,11887.72,10522.63,-1365.09,-0.11359572784610392,82,82,绝对止损,86901.86
001215,千味央厨,2024-03-13,2024-04-01,13,200,49.499,46.307,9904.76,9251.81,-652.95,-0.06447833078781696,72,72,破位防守,96153.67
002348,高乐股份,2024-04-10,2024-04-16,4,1300,3.607,2.974,4694.36,3859.32,-835.04,-0.1755267243291196,82,82,绝对止损,95318.63
000089,深圳机场,2024-04-29,2024-05-16,10,1700,6.693,6.657,11383.71,11305.66,-78.05,-0.005483045884279306,86,86,沉没止损,26456.36
002594,比亚迪,2024-04-29,2024-05-16,10,100,71.813,70.908,7186.33,7082.24,-104.09,-0.012608242424039861,80,80,沉没止损,33538.6
601138,工业富联,2024-04-29,2024-05-16,10,500,23.276,24.092,11643.23,12034.84,391.61,0.03502508542965735,80,80,沉没止损,45573.44
603319,美湖股份,2024-04-29,2024-05-16,10,900,12.465,11.647,11223.39,10471.75,-751.64,-0.06564202784142315,80,80,破位防守,56045.2
603317,天味食品,2024-04-29,2024-05-16,10,900,12.405,12.525,11169.28,11261.77,92.49,0.009684991890209825,78,78,沉没止损,67306.97
600422,昆药集团,2024-04-16,2024-05-20,21,200,20.882,21.327,4181.34,4258.32,76.98,0.02133832143773888,90,90,沉没止损,71565.29
001213,中铁特货,2024-04-29,2024-05-21,13,2900,4.048,4.122,11744.43,11942.07,197.64,0.018196280705914974,78,78,沉没止损,83507.36
002768,国恩股份,2024-04-29,2024-05-24,16,800,14.539,14.82,11636.22,11845.31,209.1,0.019346558433787193,80,80,沉没止损,95352.67
000796,凯撒旅业,2024-05-27,2024-06-11,10,1300,3.487,3.413,4538.05,4429.89,-108.16,-0.02116456741689032,90,90,沉没止损,95244.51
600757,长江传媒,2024-06-11,2024-06-26,11,600,7.214,7.076,4333.64,4238.37,-95.27,-0.01920880461299625,90,90,沉没止损,95149.24
002350,北京科锐,2024-06-26,2024-07-08,8,800,5.631,5.0,4509.99,3992.98,-517.01,-0.1120996441281139,80,80,绝对止损,94632.23
002587,奥拓电子,2024-07-18,2024-07-30,8,800,5.691,5.818,4558.09,4647.34,89.26,0.02231101177925848,80,80,破位防守,94721.49
601158,重庆水务,2024-07-30,2024-08-13,10,900,4.77,4.711,4297.57,4232.38,-65.18,-0.012361830959928861,90,90,沉没止损,94656.31
601019,山东出版,2024-08-16,2024-08-30,10,400,11.573,11.357,4634.24,4535.62,-98.62,-0.01865187374169404,80,80,沉没止损,94557.69
002947,恒铭达,2024-08-30,2024-09-10,7,100,33.838,30.489,3388.75,3042.37,-346.39,-0.09896227680853877,86,86,绝对止损,94211.3
002885,京泉华,2024-09-23,2024-10-08,6,400,11.293,14.591,4522.02,5828.39,1306.37,0.29207069445846556,90,90,亢奋止盈,17663.34
002594,比亚迪,2024-09-26,2024-10-08,3,100,86.813,110.718,8686.33,11061.28,2374.95,0.2753592537915857,90,90,亢奋止盈,28724.62
603127,昭衍新药,2024-09-26,2024-10-08,3,800,14.228,19.74,11387.72,15779.46,4391.74,0.3873970369120914,90,90,亢奋止盈,44504.07
000629,钒钛股份,2024-09-26,2024-10-08,3,4800,2.405,3.244,11548.04,15556.02,4007.98,0.34876081170991363,82,82,亢奋止盈,60060.09
000901,航天科技,2024-09-26,2024-10-09,4,1200,9.8,11.846,11764.47,14203.4,2438.93,0.2088563159978611,90,90,亢奋止盈,74263.49
002589,瑞康医药,2024-09-26,2024-10-09,4,4700,2.465,3.184,11590.12,14950.53,3360.41,0.29157132888694165,90,90,亢奋止盈,89214.03
600415,小商品城,2024-09-26,2024-10-09,4,1400,8.377,9.491,11732.41,13275.73,1543.32,0.13301865169183186,90,90,亢奋止盈,102489.76
603399,永杉锂业,2024-09-26,2024-10-10,5,1700,6.553,7.186,11145.24,12204.41,1059.18,0.09652255122781951,86,86,回撤止盈,19374.98
600576,祥源文旅,2024-10-09,2024-10-14,3,2400,5.922,5.399,14217.37,12946.55,-1270.82,-0.08825665082694172,80,80,绝对止损,19643.24
002801,微光股份,2024-10-09,2024-10-14,3,600,21.693,19.451,13020.98,11659.78,-1361.2,-0.10336278943268187,70,70,绝对止损,31303.01
000566,海南海药,2024-10-09,2024-10-14,3,3200,4.469,3.892,14305.54,12443.81,-1861.73,-0.12905131441153567,66,66,绝对止损,43746.83
002888,惠威科技,2024-10-09,2024-10-24,11,800,17.204,17.315,13768.47,13840.31,71.84,0.0064495354079260585,70,70,沉没止损,15199.56
000829,天音控股,2024-10-10,2024-10-25,11,1200,10.561,12.954,12678.3,15532.08,2853.78,0.2265828873562176,76,76,回撤止盈,17259.76
600828,茂业商业,2024-10-09,2024-10-28,13,4600,3.096,3.034,14247.43,13944.05,-303.37,-0.020108650013888004,80,80,沉没止损,17154.78
001872,招商港口,2024-10-09,2024-10-30,15,600,21.232,19.571,12744.43,11731.6,-1012.83,-0.07825783072834996,80,80,破位防守,15703.07
600114,东睦股份,2024-10-09,2024-10-31,16,800,16.262,16.976,13014.97,13568.99,554.03,0.04387528086156701,70,70,回撤止盈,29272.07
002416,爱施德,2024-10-23,2024-11-01,7,1400,9.8,14.431,13724.38,20188.36,6463.98,0.47262530154415117,86,86,亢奋止盈,49460.43
002738,中矿资源,2024-10-24,2024-11-04,7,400,33.667,34.042,13471.88,13604.9,133.02,0.01112596236099235,86,86,破位防守,63065.33
603201,常润股份,2024-10-23,2024-11-06,10,1100,12.926,17.056,14223.38,18747.02,4523.64,0.3195175540392084,86,86,亢奋止盈,22226.46
603569,长久物流,2024-10-23,2024-11-06,10,2100,6.874,6.786,14439.81,14239.31,-200.5,-0.012703456061637796,86,86,沉没止损,36465.77
000099,中信海直,2024-10-28,2024-11-13,12,600,21.964,29.102,13183.3,17447.28,4263.97,0.3249814240132873,80,80,回撤止盈,23279.93
600576,祥源文旅,2024-11-06,2024-11-13,5,2600,6.122,6.507,15922.77,16904.64,981.86,0.0628432170029824,90,90,回撤止盈,40184.56
000726,鲁  泰Ａ,2024-10-25,2024-11-15,15,2400,5.852,5.938,14049.03,14239.31,190.28,0.014768408388702114,86,86,沉没止损,22833.84
600798,宁波海运,2024-11-04,2024-11-18,10,4900,3.076,3.074,15078.09,15049.29,-28.8,-0.0007476902871779323,86,86,沉没止损,37883.13
000514,渝 开 发,2024-11-04,2024-11-18,10,2700,5.491,4.91,14830.59,13245.8,-1584.79,-0.10577385375234931,80,80,绝对止损,51128.93
601609,金田股份,2024-11-04,2024-11-20,12,2500,5.912,5.649,14784.5,14109.64,-674.86,-0.04450759497953257,86,86,破位防守,65238.57
000425,徐工机械,2024-11-04,2024-11-20,12,1900,7.836,7.435,14892.72,14114.63,-778.09,-0.05111771342226038,80,80,破位防守,79353.2
002706,良信股份,2024-11-13,2024-11-20,5,2200,7.054,6.756,15523.98,14851.78,-672.2,-0.04219118581019782,90,90,破位防守,94204.98
600420,国药现代,2024-11-13,2024-11-20,5,1300,12.355,11.826,16066.06,15361.5,-704.56,-0.042766049409696506,90,90,破位防守,109566.48
000762,西藏矿业,2024-11-06,2024-11-21,11,600,24.509,24.78,14710.35,14855.77,145.42,0.011074335384831283,86,86,沉没止损,124422.25
001332,锡装股份,2024-11-29,2024-12-13,10,200,25.972,25.0,5199.37,4992.48,-206.89,-0.03742283950617284,90,90,沉没止损,124215.36
601158,重庆水务,2024-12-13,2024-12-25,8,1200,4.81,4.681,5776.52,5608.94,-167.58,-0.02681719893546229,90,90,破位防守,124047.78
001308,康冠科技,2024-12-25,2025-01-08,9,200,25.651,23.014,5135.24,4595.47,-539.77,-0.10281468313373263,86,86,绝对止损,123508.01
000716,黑芝麻,2025-01-17,2025-02-05,7,700,7.725,6.627,5412.79,4631.38,-781.41,-0.14221880493228847,90,90,绝对止损,122726.6
600531,豫光金铅,2025-02-06,2025-02-20,10,900,6.493,6.397,5848.66,5749.58,-99.08,-0.014751361474581628,82,82,沉没止损,22902.54
000878,云南铜业,2025-02-12,2025-02-21,7,1200,12.685,12.295,15227.38,14742.05,-485.33,-0.030741045555019525,82,82,破位防守,23063.5
600362,江西铜业,2025-02-12,2025-02-21,7,700,20.872,19.94,14615.16,13946.05,-669.11,-0.04463564469716347,82,82,破位防守,37009.55
002879,长缆科技,2025-02-11,2025-02-25,10,700,16.633,16.776,11648.24,11732.59,84.35,0.008608085034749621,80,80,沉没止损,48742.14
002335,科华数据,2025-02-12,2025-02-25,9,600,24.208,33.722,14529.99,20218.28,5688.28,0.3930095107797649,80,80,亢奋止盈,68960.42
000719,中原传媒,2025-02-12,2025-02-25,9,1400,10.291,9.98,14411.76,13960.01,-451.74,-0.03017723073813421,75,75,破位防守,82920.44
002911,佛燃能源,2025-02-20,2025-02-26,4,1300,11.212,10.349,14581.09,13442.31,-1138.78,-0.07697919620990373,90,90,破位防守,96362.75
002858,力盛体育,2025-02-12,2025-02-27,11,1100,12.765,12.076,14047.03,13271.74,-775.29,-0.05402695394141082,76,76,破位防守,109634.48
000070,特发信息,2025-02-12,2025-03-24,28,2600,5.862,6.148,15245.42,15970.98,725.56,0.04878789429687639,75,75,破位防守,19600.94
002972,科安达,2025-03-10,2025-03-24,10,1400,10.962,11.058,15351.63,15468.24,116.6,0.008753972858670375,90,90,沉没止损,35069.18
000762,西藏矿业,2025-03-10,2025-03-24,10,700,21.934,21.237,15358.65,14853.77,-504.87,-0.03174737778896309,82,82,沉没止损,49922.95
002446,盛路通信,2025-03-10,2025-03-24,10,2200,6.894,6.687,15171.27,14698.16,-473.11,-0.030050364387504063,82,82,沉没止损,64621.12
002651,利君股份,2025-03-10,2025-03-24,10,2200,7.074,7.106,15568.06,15619.86,51.79,0.004472641120026284,82,82,沉没止损,80240.98
603201,常润股份,2025-03-10,2025-03-26,12,900,15.792,14.581,14217.37,13111.14,-1106.23,-0.0766702635338461,86,86,破位防守,93352.12
002643,万润股份,2025-03-10,2025-03-26,12,1300,11.453,11.028,14893.72,14324.1,-569.62,-0.0371051422963346,82,82,破位防守,107676.22
600072,中船科技,2025-03-10,2025-03-28,14,1200,12.866,13.024,15443.82,15615.87,172.05,0.012297834238066066,82,82,沉没止损,123292.08
002287,奇正藏药,2025-03-28,2025-04-08,6,200,21.723,19.531,4349.67,3899.22,-450.45,-0.10092821736600595,80,80,绝对止损,122841.63
000733,振华科技,2025-04-08,2025-04-22,10,100,55.511,53.233,5556.08,5315.67,-240.41,-0.041027691908601394,86,86,破位防守,122601.22
002487,大金重工,2025-04-22,2025-05-09,10,200,27.395,27.914,5483.94,5575.02,91.08,0.018959155573271824,80,80,沉没止损,122692.31
000997,新 大 陆,2025-05-09,2025-05-23,10,400,28.958,29.681,11588.12,11861.27,273.15,0.024957697062622124,90,90,沉没止损,27921.82
000651,格力电器,2025-05-12,2025-05-26,10,300,43.236,43.433,12975.89,13018.37,42.48,0.004548492817378022,75,75,沉没止损,40940.19
002099,海翔药业,2025-05-12,2025-05-26,10,2900,5.21,6.198,15115.16,17959.0,2843.84,0.18946338093044687,75,75,亢奋止盈,58899.19
002397,梦洁股份,2025-05-12,2025-05-26,10,3900,3.908,3.792,15245.42,14777.96,-467.46,-0.029530682225293047,75,75,沉没止损,73677.15
603589,口子窖,2025-05-12,2025-05-26,10,400,34.308,33.722,13728.39,13477.22,-251.17,-0.01708207416941827,71,71,沉没止损,87154.38
603712,七一二,2025-05-12,2025-05-26,10,700,20.04,19.461,14033.0,13610.89,-422.11,-0.028892215568862307,69,69,沉没止损,100765.26
600059,古越龙山,2025-05-09,2025-05-27,12,1300,9.068,10.639,11793.53,13818.37,2024.84,0.17319835467187167,90,90,亢奋止盈,114583.63
001317,三羊马,2025-05-12,2025-06-10,20,300,40.491,43.543,12152.25,13051.29,899.04,0.07537313395974699,75,75,回撤止盈,18779.72
000716,黑芝麻,2025-06-05,2025-06-11,4,2300,6.663,6.317,15330.59,14517.62,-812.97,-0.05192021971095413,82,82,破位防守,33297.34
603199,九华旅游,2025-06-05,2025-06-12,5,400,37.785,36.846,15119.17,14726.09,-393.07,-0.024857736132084737,80,80,破位防守,16959.45
600218,全柴动力,2025-06-05,2025-06-18,9,1800,8.828,8.583,15894.72,15436.32,-458.4,-0.027733409458042195,86,86,破位防守,32395.76
603137,恒尚节能,2025-06-05,2025-06-18,9,1100,13.607,13.473,14972.88,14807.89,-164.99,-0.009859515137618695,86,86,破位防守,47203.65
002690,美亚光电,2025-06-11,2025-06-20,7,900,17.264,16.347,15543.01,14700.16,-842.85,-0.05312763909210021,90,90,破位防守,61903.81
002769,普路通,2025-06-11,2025-06-20,7,1900,8.166,9.281,15520.97,17620.84,2099.87,0.13654898791374329,90,90,亢奋止盈,79524.65
002228,合兴包装,2025-06-05,2025-06-23,12,5000,3.186,3.004,15936.8,15007.39,-929.41,-0.0572377258062492,78,78,破位防守,94532.04
001231,农心科技,2025-06-09,2025-06-23,10,800,19.689,18.872,15756.44,15085.2,-671.24,-0.041500713585551505,90,90,破位防守,109617.24
002659,凯文教育,2025-06-09,2025-06-23,10,3200,4.95,4.701,15844.62,15029.34,-815.28,-0.050364857329874814,82,82,破位防守,124646.57
603127,昭衍新药,2025-07-02,2025-07-10,6,700,22.114,25.868,15484.9,18093.66,2608.76,0.16975654490746664,82,82,亢奋止盈,20085.49
601609,金田股份,2025-07-02,2025-07-15,9,2200,6.884,8.752,15149.23,19240.78,4091.56,0.2714687074177698,90,90,亢奋止盈,26307.3
002966,苏州银行,2025-07-02,2025-07-16,10,1700,8.898,8.643,15131.19,14680.21,-450.98,-0.028667889446332702,90,90,沉没止损,24846.3
000778,新兴铸管,2025-07-02,2025-07-16,10,4300,3.617,3.603,15559.05,15479.21,-79.84,-0.003992015968063997,86,86,沉没止损,40325.51
002876,三利谱,2025-07-02,2025-07-16,10,600,25.14,24.94,15089.11,14951.53,-137.58,-0.007961756837063374,82,82,沉没止损,55277.04
600509,天富能源,2025-07-02,2025-07-16,10,2400,6.473,6.397,15540.01,15340.56,-199.45,-0.011701056092150018,82,82,沉没止损,70617.6
002386,天原股份,2025-07-02,2025-07-16,10,3000,5.05,4.99,15155.24,14957.52,-197.73,-0.011896841238158628,80,80,沉没止损,85575.11
000063,中兴通讯,2025-07-10,2025-07-24,10,400,32.535,33.413,13018.98,13353.53,334.56,0.026989445808106496,90,90,沉没止损,98928.64
000566,海南海药,2025-07-25,2025-07-31,4,2200,7.315,6.517,16097.12,14325.1,-1772.02,-0.10905039236595297,80,80,绝对止损,19861.39
002206,海 利 得,2025-07-02,2025-08-01,22,3000,5.18,5.339,15546.02,16004.89,458.87,0.03068524459784484,80,80,破位防守,35866.28
603072,天和磁材,2025-07-25,2025-08-04,6,300,54.609,50.778,16387.7,15220.86,-1166.84,-0.07014887655880894,86,86,破位防守,51087.14
001215,千味央厨,2025-07-25,2025-08-05,7,500,29.399,28.633,14704.34,14304.15,-400.19,-0.026057632519555163,80,80,破位防守,65391.29
002739,儒意电影,2025-07-25,2025-08-07,9,1300,11.914,11.467,15492.91,14894.67,-598.24,-0.037499433429188815,90,90,破位防守,18777.23
002176,江特电机,2025-07-15,2025-08-13,16,2200,7.335,9.481,16141.21,20842.56,4701.35,0.2926333126097531,90,90,亢奋止盈,39619.79
603633,徕木股份,2025-07-25,2025-08-15,15,1800,9.148,9.321,16471.87,16764.99,293.12,0.018917258582506348,90,90,沉没止损,56384.77
002559,亚威股份,2025-08-05,2025-08-19,10,1600,9.9,10.1,15844.62,16146.54,301.92,0.02020250995983734,90,90,沉没止损,23787.05
002651,利君股份,2025-08-05,2025-08-19,10,1200,13.307,13.134,15972.87,15747.54,-225.34,-0.01299208811293071,90,90,沉没止损,39534.58
600333,长春燃气,2025-08-05,2025-08-28,17,3100,5.08,5.17,15753.43,16012.87,259.44,0.017617624711129858,80,80,沉没止损,21896.3
