日期,总权益,现金,股票市值,股票仓位,持仓数量,市场环境,允许开仓,风控暂停,当日信号数,当日买入数,高开跳过数,资金不足跳过数,持仓上限跳过数,持仓上限,买入分数门槛
2024-01-02,100000.0,100000.0,0.0,0.0,0,弱,True,False,10,0,0,0,0,1,78
2024-01-03,99939.26,97119.26,2820.0,0.02821713909028344,1,弱,True,False,6,1,0,0,9,1,78
2024-01-04,99929.26,97119.26,2810.0,0.028119892011609013,1,弱,True,False,3,0,0,0,6,1,78
2024-01-05,99839.26,97119.26,2720.0,0.027243791670731536,1,弱,True,False,4,0,0,0,3,1,78
2024-01-08,99794.26,97119.26,2675.0,0.026805148913374377,1,弱,True,False,0,0,0,0,4,1,78
2024-01-09,99829.26,97119.26,2710.0,0.02714634967743926,1,弱,True,False,5,0,0,0,0,1,78
2024-01-10,99809.26,97119.26,2690.0,0.02695140711392911,1,弱,True,False,2,0,0,0,5,1,78
2024-01-11,99764.75467999998,96872.75467999998,2892.0,0.028988193368251366,1,弱,True,False,3,1,0,0,1,1,78
2024-01-12,99704.75467999998,96872.75467999998,2832.0,0.028403861070509986,1,弱,True,False,4,0,0,0,3,1,78
2024-01-15,99684.75467999998,96872.75467999998,2812.0,0.02820892732320862,1,弱,True,False,6,0,0,0,4,1,78
2024-01-16,99664.75467999998,96872.75467999998,2792.0,0.028013915340126542,1,弱,True,False,3,0,0,0,6,1,78
2024-01-17,99572.75467999998,96872.75467999998,2700.0,0.02711585120525261,1,弱,True,False,1,0,0,0,3,1,78
2024-01-18,99558.197376,96636.197376,2922.0,0.029349667601599145,1,弱,True,False,3,1,0,0,0,1,78
2024-01-19,99528.197376,96636.197376,2892.0,0.02905709212309486,1,弱,True,False,2,0,0,0,3,1,78
2024-01-22,99492.197376,96636.197376,2856.0,0.028705768646425923,1,弱,True,False,0,0,0,0,2,1,78
2024-01-23,99468.197376,96636.197376,2832.0,0.028471411714588023,1,弱,True,False,2,0,0,0,0,1,78
2024-01-24,99594.197376,96636.197376,2958.0,0.029700525511868955,1,弱,True,False,2,0,0,0,2,1,78
2024-01-25,99744.197376,96636.197376,3108.0,0.03115970734902954,1,弱,True,False,4,0,0,0,2,1,78
2024-01-26,99738.197376,96636.197376,3102.0,0.031101424345036682,1,弱,True,False,3,0,0,0,4,1,78
2024-01-29,99798.197376,96636.197376,3161.9999999999995,0.03168393902032958,1,弱,True,False,8,0,0,0,3,1,78
2024-01-30,99774.197376,96636.197376,3138.0000000000005,0.03145101722216234,1,弱,True,False,1,0,0,0,8,1,78
2024-01-31,99756.197376,96636.197376,3120.0,0.03127625232385442,1,弱,True,False,2,0,0,0,1,1,78
2024-02-01,99726.197376,96636.197376,3090.0,0.030984837297562857,1,弱,True,False,0,0,0,0,2,1,78
2024-02-02,99738.197376,96636.197376,3102.0,0.031101424345036682,1,弱,True,False,2,0,0,0,0,1,78
2024-02-05,99774.197376,96636.197376,3138.0000000000005,0.03145101722216234,1,弱,True,False,3,0,0,0,2,1,78
2024-02-06,99858.197376,96636.197376,3222.0,0.03226575368537925,1,弱,True,False,9,0,0,0,3,1,78
2024-02-07,99852.197376,96636.197376,3216.0,0.03220760368337155,1,弱,True,False,11,0,0,0,9,1,78
2024-02-08,99870.197376,96636.197376,3234.0,0.032382032728185725,1,弱,True,False,7,0,0,0,11,1,78
2024-02-19,99900.197376,96636.197376,3264.0000000000005,0.03267260812023324,1,弱,True,False,1,0,0,0,7,1,78
2024-02-20,99924.197376,96636.197376,3288.0000000000005,0.03290494281007574,1,弱,True,False,1,0,0,0,1,1,78
2024-02-21,99954.197376,96636.197376,3318.0,0.033195204274599925,1,弱,True,False,1,0,0,0,1,1,78
2024-02-22,99966.197376,96636.197376,3330.0,0.033311260079994506,1,弱,True,False,1,0,0,0,1,1,78
2024-02-23,99948.197376,96636.197376,3311.9999999999995,0.03313716592146655,1,弱,True,False,4,0,0,0,1,1,78
2024-02-26,100080.197376,96636.197376,3444.0,0.03441240215645196,1,弱,True,False,0,0,0,0,4,1,78
2024-02-27,100086.197376,96636.197376,3450.0,0.03447028751666099,1,中,True,False,30,0,0,0,0,2,60
2024-02-28,99933.793826,97671.793826,2262.0,0.022634985758055854,1,弱,True,False,1,1,0,0,29,1,78
2024-02-29,100238.42182599999,87961.42182599999,12277.0,0.12247798574992702,2,中,True,False,27,1,0,0,0,2,60
2024-03-01,100170.42182599999,87961.42182599999,12209.0,0.12188228598265782,2,中,True,False,10,0,0,0,27,2,60
2024-03-04,100018.42182599999,87961.42182599999,12057.0,0.12054779289534599,2,中,True,False,6,0,0,0,10,2,60
2024-03-05,100008.42182599999,87961.42182599999,12047.0,0.12045985508060528,2,中,True,False,15,0,0,0,6,2,60
2024-03-06,99984.42182599999,87961.42182599999,12023.0,0.1202487325567905,2,中,True,False,15,0,0,0,15,2,60
2024-03-07,99876.42182599999,87961.42182599999,11915.0,0.11929742558016099,2,中,True,False,16,0,0,0,15,2,60
2024-03-08,99887.42182599999,87961.42182599999,11926.0,0.11939441204894274,2,中,True,False,18,0,0,0,16,2,60
2024-03-11,100027.42182599999,87961.42182599999,12066.0,0.12062692189536871,2,中,True,False,21,0,0,0,18,2,60
2024-03-12,100061.42182599999,87961.42182599999,12100.0,0.12092572521147138,2,中,True,False,31,0,0,0,21,2,60
2024-03-13,99318.031615,8206.031615000004,91112.0,0.9173762157630131,8,强,True,False,18,7,0,0,24,8,60
2024-03-14,98826.031615,8206.031615000004,90620.0,0.916964877766533,8,中,True,False,36,0,0,0,18,2,60
2024-03-15,99726.031615,8206.031615000004,91520.0,0.91771424690115,8,强,True,False,38,0,0,0,36,8,60
2024-03-18,100930.031615,8206.031615000004,92724.0,0.9186958382585066,8,强,True,False,67,0,0,0,38,8,60
2024-03-19,100438.031615,8206.031615000004,92232.0,0.9182975663396568,8,强,True,False,33,0,0,0,67,8,60
2024-03-20,101464.031615,8206.031615000004,93258.0,0.9191237378962295,8,强,True,False,34,0,0,0,33,8,60
2024-03-21,102961.855946,6174.855946000003,96787.0,0.940027732704833,8,强,True,False,36,1,0,0,33,8,60
2024-03-22,101415.750394,20581.750394000002,80834.0,0.7970556810550635,7,弱,True,False,4,0,0,0,36,1,78
2024-03-25,99710.750394,20581.750394000002,79129.0,0.7935854427664754,7,弱,True,False,3,0,0,0,4,1,78
2024-03-26,100189.750394,20581.750394000002,79608.0,0.7945722959378431,7,弱,True,False,0,0,0,0,3,1,78
2024-03-27,97953.750394,20581.750394000002,77372.0,0.7898829773110893,7,弱,True,False,2,0,0,0,0,1,78
2024-03-28,98974.92443300001,42056.924433,56918.0,0.5750749528334322,5,弱,True,False,0,0,0,0,2,1,78
2024-03-29,100079.69652900001,54117.696529,45962.0,0.45925399051026927,4,弱,False,True,0,0,0,0,0,1,78
2024-04-01,101187.69652900001,54117.696529,47070.0,0.46517513111398795,4,强,False,True,0,0,0,0,0,8,60
2024-04-02,101030.118369,75893.118369,25137.0,0.24880699345704238,2,强,False,True,0,0,0,0,0,8,60
2024-04-03,101282.118369,75893.118369,25389.0,0.2506760364894871,2,强,False,True,0,0,0,0,0,8,60
2024-04-08,101475.02541100001,87900.02541100001,13575.000000000002,0.13377675881348886,1,弱,False,True,0,0,0,0,0,1,78
2024-04-09,101316.401366,101316.401366,0.0,0.0,0,弱,False,True,0,0,0,0,0,1,78
2024-04-10,101316.401366,101316.401366,0.0,0.0,0,弱,True,False,5,0,0,0,0,1,78
2024-04-11,101395.691366,98450.691366,2945.0,0.029044626653510028,1,弱,True,False,8,1,0,0,4,1,78
2024-04-12,101465.691366,98450.691366,3015.0,0.02971447746928074,1,弱,True,False,6,0,0,0,8,1,78
2024-04-15,101365.691366,98450.691366,2915.0,0.028757264521334355,1,弱,True,False,4,0,0,0,6,1,78
2024-04-16,101075.691366,98450.691366,2625.0,0.02597063610967297,1,弱,True,False,4,0,0,0,4,1,78
2024-04-17,101185.691366,98450.691366,2735.0,0.027029513393422376,1,弱,True,False,7,0,0,0,4,1,78
2024-04-18,101105.691366,98450.691366,2655.0,0.02625964932467519,1,弱,True,False,5,0,0,0,7,1,78
2024-04-19,101010.691366,98450.691366,2560.0,0.025343851877264657,1,弱,True,False,3,0,0,0,5,1,78
2024-04-22,101153.57143099999,98639.57143099999,2514.0000000000005,0.0248532994380221,1,弱,True,False,1,1,0,0,2,1,78
2024-04-23,101138.57143099999,98639.57143099999,2499.0,0.024708674095766707,1,弱,True,False,2,0,0,0,1,1,78
2024-04-24,101111.57143099999,98639.57143099999,2472.0,0.024448240344943396,1,弱,True,False,3,0,0,0,2,1,78
2024-04-25,101072.57143099999,98639.57143099999,2433.0,0.024071812614968,1,弱,True,False,2,0,0,0,3,1,78
2024-04-26,101273.57143099999,98639.57143099999,2634.0,0.02600875986480446,1,弱,True,False,7,0,0,0,2,1,78
2024-04-29,101358.055431,18687.055430999997,82671.0,0.815633248373423,8,强,True,False,80,7,0,0,0,8,60
2024-04-30,100743.055431,18687.055430999997,82056.0,0.8145077558839878,8,强,True,False,65,0,0,0,80,8,60
2024-05-06,102227.055431,18687.055430999997,83540.0,0.8172004920594317,8,强,True,False,96,0,0,0,65,8,60
2024-05-07,102985.055431,18687.055430999997,84298.0,0.8185459496740249,8,强,True,False,75,0,0,0,96,8,60
2024-05-08,101816.055431,18687.055430999997,83129.0,0.8164625868494377,8,强,True,False,48,0,0,0,75,8,60
2024-05-09,102422.055431,18687.055430999997,83735.0,0.8175485216307814,8,强,True,False,26,0,0,0,48,8,60
2024-05-10,102028.055431,18687.055430999997,83341.0,0.8168439518712795,8,强,True,False,57,0,0,0,26,8,60
2024-05-13,101008.055431,18687.055430999997,82321.0,0.8149944046416636,8,强,True,False,56,0,0,0,57,8,60
2024-05-14,101610.055431,18687.055430999997,82923.0,0.8160904907320934,8,强,True,False,39,0,0,0,56,8,60
2024-05-15,101104.055431,18687.055430999997,82417.0,0.8151700705640511,8,强,True,False,25,0,0,0,39,8,60
2024-05-16,101455.055431,18687.055430999997,82768.0,0.8158095192830569,8,强,True,False,25,0,0,0,25,8,60
2024-05-17,102645.479431,18328.479430999996,84317.0,0.8214390002112006,8,强,True,False,38,1,0,0,24,8,60
2024-05-20,102885.479431,18328.479430999996,84557.0,0.8218555277929966,8,强,True,False,83,0,0,0,38,8,60
2024-05-21,102267.479431,18328.479430999996,83939.0,0.8207790048901494,8,强,True,False,44,0,0,0,83,8,60
2024-05-22,101958.479431,18328.479430999996,83630.0,0.8202358495998979,8,强,True,False,45,0,0,0,44,8,60
2024-05-23,101623.836111,74841.836111,26782.0,0.2635405336475096,3,弱,True,False,0,0,0,0,45,1,78
2024-05-24,101648.14799099999,86687.14799099999,14961.0,0.14718418678247497,2,弱,True,False,2,0,0,0,0,1,78
2024-05-27,102047.14799099999,86687.14799099999,15360.0,0.15051866027019853,2,弱,True,False,5,0,0,0,2,1,78
2024-05-28,101717.14799099999,86687.14799099999,15030.0,0.14776269583698773,2,弱,True,False,8,0,0,0,5,1,78
2024-05-29,101466.31532499999,89010.31532499999,12456.0,0.12275995201070442,1,弱,True,False,6,0,0,0,8,1,78
2024-05-30,101304.31532499999,89010.31532499999,12294.0,0.1213571204796058,1,弱,True,False,1,0,0,0,6,1,78
2024-05-31,101448.31532499999,89010.31532499999,12438.0,0.12260430308924897,1,弱,True,False,2,0,0,0,1,1,78
2024-06-03,101124.31532499999,89010.31532499999,12114.0,0.1197931472867552,1,弱,True,False,2,0,0,0,2,1,78
2024-06-04,101232.31532499999,89010.31532499999,12222.0,0.12073219861426697,1,弱,True,False,4,0,0,0,2,1,78
2024-06-05,100998.31532499999,89010.31532499999,11988.0,0.11869504913447428,1,弱,True,False,1,0,0,0,4,1,78
2024-06-06,100944.31532499999,89010.31532499999,11934.0,0.11822359646085401,1,弱,True,False,2,0,0,0,1,1,78
2024-06-07,101250.31532499999,89010.31532499999,12240.0,0.12088851240325756,1,弱,True,False,2,0,0,0,2,1,78
2024-06-11,101150.10251099999,98270.10251099999,2880.0,0.0284725366411448,1,弱,True,False,0,1,0,0,1,1,78
2024-06-12,101238.10251099999,98270.10251099999,2968.0,0.029317025175155897,1,弱,True,False,2,0,0,0,0,1,78
2024-06-13,101258.10251099999,98270.10251099999,2988.0,0.029508749679319775,1,弱,True,False,1,0,0,0,2,1,78
2024-06-14,101330.10251099999,98270.10251099999,3060.0,0.030198331237924276,1,弱,True,False,3,0,0,0,1,1,78
2024-06-17,101314.10251099999,98270.10251099999,3044.0,0.03004517559309676,1,弱,True,False,2,0,0,0,3,1,78
2024-06-18,101258.10251099999,98270.10251099999,2988.0,0.029508749679319775,1,弱,True,False,3,0,0,0,2,1,78
2024-06-19,101190.10251099999,98270.10251099999,2920.0,0.02885657715074039,1,弱,True,False,1,0,0,0,3,1,78
2024-06-20,101154.10251099999,98270.10251099999,2884.0,0.028510954359823218,1,弱,True,False,4,0,0,0,1,1,78
2024-06-21,101162.10251099999,98270.10251099999,2892.0,0.02858778068284548,1,弱,True,False,1,0,0,0,4,1,78
2024-06-24,101054.10251099999,98270.10251099999,2784.0,0.027549598985325257,1,弱,True,False,1,0,0,0,1,1,78
2024-06-25,101110.10251099999,98270.10251099999,2840.0,0.028088192272290795,1,弱,True,False,1,0,0,0,1,1,78
2024-06-26,101206.10251099999,98270.10251099999,2936.0,0.029010108354690263,1,弱,True,False,0,0,0,0,1,1,78
2024-06-27,101142.10251099999,98270.10251099999,2872.0,0.028395692087651112,1,弱,True,False,0,0,0,0,0,1,78
2024-06-28,101202.10251099999,98270.10251099999,2932.0,0.028971730104928515,1,弱,True,False,1,0,0,0,0,1,78
2024-07-01,101302.10251099999,98270.10251099999,3032.0,0.029930277110198845,1,弱,True,False,4,0,0,0,1,1,78
2024-07-02,101290.10251099999,98270.10251099999,3020.0,0.029815351402887873,1,弱,True,False,1,0,0,0,4,1,78
2024-07-03,101266.10251099999,98270.10251099999,2996.0,0.02958541827631374,1,弱,True,False,0,0,0,0,1,1,78
2024-07-04,101258.10251099999,98270.10251099999,2988.0,0.029508749679319775,1,弱,True,False,1,0,0,0,0,1,78
2024-07-05,101338.10251099999,98270.10251099999,3068.0,0.030274890924338913,1,弱,True,False,0,0,0,0,1,1,78
2024-07-08,101314.10251099999,98270.10251099999,3044.0,0.03004517559309676,1,弱,True,False,0,0,0,0,0,1,78
2024-07-09,101394.10251099999,98270.10251099999,3124.0,0.030810470457698316,1,弱,True,False,3,0,0,0,0,1,78
2024-07-10,101274.10251099999,98270.10251099999,3004.0,0.02966207476065974,1,弱,True,False,1,0,0,0,3,1,78
2024-07-11,101226.10251099999,98270.10251099999,2956.0,0.029201954107427763,1,弱,True,False,6,0,0,0,1,1,78
2024-07-12,101182.27746299999,98475.27746299999,2707.0,0.02675369706903353,1,弱,True,False,2,1,0,0,5,1,78
2024-07-15,101167.27746299999,98475.27746299999,2692.0,0.02660939453455736,1,弱,True,False,3,0,0,0,2,1,78
2024-07-16,101230.27746299999,98475.27746299999,2755.0,0.027215177800998934,1,弱,True,False,0,0,0,0,3,1,78
2024-07-17,101187.27746299999,98475.27746299999,2712.0,0.026801788406567877,1,弱,True,False,1,0,0,0,0,1,78
2024-07-18,101168.27746299999,98475.27746299999,2693.0,0.026619016034793157,1,弱,True,False,1,0,0,0,1,1,78
2024-07-19,101199.27746299999,98475.27746299999,2724.0,0.026917188227909394,1,弱,True,False,2,0,0,0,1,1,78
2024-07-22,101176.27746299999,98475.27746299999,2701.0,0.02669598118973839,1,弱,True,False,2,0,0,0,2,1,78
2024-07-23,101101.27746299999,98475.27746299999,2626.0,0.02597395469074104,1,弱,True,False,0,0,0,0,2,1,78
2024-07-24,101085.27746299999,98475.27746299999,2610.0,0.025819783706438677,1,弱,True,False,2,0,0,0,0,1,78
2024-07-25,101066.27746299999,98475.27746299999,2591.0,0.02563664226129785,1,弱,True,False,1,0,0,0,2,1,78
2024-07-26,101085.27746299999,98475.27746299999,2610.0,0.025819783706438677,1,弱,True,False,0,0,0,0,1,1,78
2024-07-29,101078.74257799999,101078.74257799999,0.0,0.0,0,弱,True,False,2,0,0,0,0,1,78
2024-07-30,101080.03057799999,98212.03057799999,2868.0,0.02837355690931319,1,弱,True,False,2,1,0,0,1,1,78
2024-07-31,101086.03057799999,98212.03057799999,2874.0,0.028431228168390336,1,弱,True,False,6,0,0,0,2,1,78
2024-08-01,101056.03057799999,98212.03057799999,2844.0,0.028142803390687917,1,弱,True,False,1,0,0,0,6,1,78
2024-08-02,101044.03057799999,98212.03057799999,2832.0,0.028027385524906037,1,弱,True,False,3,0,0,0,1,1,78
2024-08-05,101038.03057799999,98212.03057799999,2826.0,0.027969666311125952,1,弱,True,False,1,0,0,0,3,1,78
2024-08-06,101038.03057799999,98212.03057799999,2826.0,0.027969666311125952,1,弱,True,False,1,0,0,0,1,1,78
2024-08-07,101032.03057799999,98212.03057799999,2820.0,0.027911940241791625,1,弱,True,False,0,0,0,0,1,1,78
2024-08-08,101038.03057799999,98212.03057799999,2826.0,0.027969666311125952,1,弱,True,False,1,0,0,0,0,1,78
2024-08-09,101026.03057799999,98212.03057799999,2814.0000000000005,0.0278542073156816,1,弱,True,False,3,0,0,0,1,1,78
