代码,名称,买入日,卖出日,持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,买入分数,排序分,卖出原因,卖出后现金
000510,新金路,2024-01-03,2024-01-08,3,500,5.751,5.399,2880.74,2693.24,-187.5,-0.061253799022164664,90,90,绝对止损,99812.5
002345,潮宏基,2024-01-08,2024-01-26,14,500,5.982,6.188,2995.97,3087.25,91.28,0.034380150920938685,86,86,破位防守,99903.78
600390,五矿资本,2024-03-01,2024-03-19,12,2000,4.99,4.83,9984.92,9650.81,-334.11,-0.031992240418761135,75,75,破位防守,27952.79
002791,坚朗五金,2024-03-13,2024-03-25,8,300,39.609,36.367,11887.72,10899.68,-988.04,-0.0818484457848785,82,82,绝对止损,27104.04
001215,千味央厨,2024-03-13,2024-03-26,9,200,49.499,45.609,9904.76,9112.16,-792.6,-0.07859180424575936,72,72,绝对止损,36216.2
600597,光明乳业,2024-03-13,2024-03-29,12,1300,8.928,8.623,11611.17,11198.93,-412.23,-0.03417407609024369,75,75,破位防守,47415.13
600415,小商品城,2024-01-26,2024-04-02,41,400,6.964,7.904,2790.56,3155.08,364.52,0.13501917029250857,82,82,破位防守,50570.21
001338,永顺泰,2024-03-13,2024-04-02,14,1200,9.84,10.16,11812.57,12180.47,367.9,0.032521515014776806,72,72,破位防守,62750.68
600562,国睿科技,2024-03-13,2024-04-08,16,900,13.146,13.353,11836.62,12006.91,170.29,0.015745947130130177,72,72,沉没止损,74757.59
000807,云铝股份,2024-03-19,2024-04-08,12,1000,11.743,13.962,11748.44,13950.04,2201.6,0.18892079322583494,90,90,亢奋止盈,88707.63
600737,中粮糖业,2024-03-13,2024-04-09,17,1500,7.846,8.952,11773.49,13416.38,1642.89,0.1410206407109154,75,75,亢奋止盈,102124.0
000899,赣能股份,2024-04-09,2024-04-18,7,400,7.495,9.122,3002.98,3641.86,638.88,0.217047189044371,90,90,亢奋止盈,102762.88
000563,陕国投Ａ,2024-04-18,2024-05-16,17,1000,2.826,2.894,2830.64,2887.75,57.11,0.02426352967823225,90,90,沉没止损,20508.77
600887,伊利股份,2024-04-30,2024-05-20,11,500,25.29,24.491,12650.24,12234.34,-415.9,-0.031615058314432926,90,90,破位防守,20265.21
000089,深圳机场,2024-04-29,2024-05-23,15,1900,6.693,6.846,12722.38,12996.43,274.04,0.022846522523814774,86,86,沉没止损,20456.09
001213,中铁特货,2024-04-30,2024-05-24,15,3100,4.108,4.002,12740.42,12394.93,-345.49,-0.025855605861447938,90,90,沉没止损,32851.03
001360,南矿集团,2024-05-16,2024-05-24,6,800,15.591,14.541,12477.9,11621.87,-856.02,-0.06736270389811634,80,80,绝对止损,44472.9
002594,比亚迪,2024-04-30,2024-05-27,16,100,72.605,67.944,7265.49,6785.99,-479.51,-0.0641978532584293,90,90,绝对止损,51258.88
603638,艾迪精密,2024-04-30,2024-05-27,16,700,16.693,15.848,11690.32,11083.22,-607.1,-0.050623842351311746,90,90,绝对止损,62342.11
601528,瑞丰银行,2024-04-30,2024-06-04,22,2700,4.589,4.691,12395.73,12653.29,257.56,0.022104263089541484,82,82,沉没止损,74995.39
002110,三钢闽光,2024-05-20,2024-06-04,11,3500,3.657,3.393,12805.55,11865.26,-940.29,-0.07221174090175814,76,76,绝对止损,86860.66
000830,鲁西化工,2024-04-30,2024-06-19,32,1200,10.701,11.387,12846.63,13652.78,806.15,0.06408718144235886,90,90,破位防守,100513.44
601211,国泰海通,2024-06-19,2024-07-09,14,200,13.397,12.695,2684.35,2532.64,-151.71,-0.05241424406236133,82,82,绝对止损,100361.73
000063,中兴通讯,2024-07-12,2024-07-26,10,100,27.294,25.918,2734.45,2585.51,-148.94,-0.050428511552519026,90,90,绝对止损,100212.8
600310,广西能源,2024-07-26,2024-08-15,14,700,3.938,3.852,2761.5,2690.25,-71.25,-0.021732616192551336,90,90,破位防守,100141.54
001339,智微智能,2024-08-26,2024-08-29,3,100,22.936,21.008,2298.58,2094.74,-203.84,-0.08405556732755554,90,90,绝对止损,99937.7
002428,云南锗业,2024-08-29,2024-09-04,4,200,13.617,12.605,2728.44,2514.69,-213.75,-0.07435019585552942,90,90,绝对止损,99723.95
600710,苏美达,2024-09-04,2024-09-27,15,300,7.655,7.565,2301.58,2263.32,-38.27,-0.011814068198681067,90,90,沉没止损,20596.9
002594,比亚迪,2024-09-26,2024-10-08,3,100,86.813,110.718,8686.33,11061.28,2374.95,0.2753592537915857,90,90,亢奋止盈,31658.17
002885,京泉华,2024-09-26,2024-10-08,3,1000,11.383,14.591,11387.72,14578.46,3190.74,0.2818342188861714,90,90,亢奋止盈,46236.64
603127,昭衍新药,2024-09-26,2024-10-08,3,800,14.228,19.74,11387.72,15779.46,4391.74,0.3873970369120914,90,90,亢奋止盈,62016.09
000901,航天科技,2024-09-26,2024-10-09,4,1200,9.8,11.846,11764.47,14203.4,2438.93,0.2088563159978611,90,90,亢奋止盈,76219.5
002589,瑞康医药,2024-09-26,2024-10-09,4,5000,2.465,3.184,12329.6,15905.14,3575.54,0.29157132888694165,90,90,亢奋止盈,92124.64
