代码,名称,买入日,卖出日,持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,买入分数,排序分,卖出原因,卖出后现金
000510,新金路,2024-01-03,2024-01-11,6,800,5.751,5.349,4606.18,4272.28,-333.9,-0.0699298267576345,90,90,破位防守,99666.1
603101,汇嘉时代,2024-01-12,2024-01-26,10,700,6.683,6.537,4683.34,4568.54,-114.8,-0.021911200088578484,86,86,破位防守,99551.3
600390,五矿资本,2024-03-01,2024-03-19,12,2000,4.99,4.83,9984.92,9650.81,-334.11,-0.031992240418761135,75,75,破位防守,25511.15
002791,坚朗五金,2024-03-13,2024-03-28,11,300,39.609,35.11,11887.72,10522.63,-1365.09,-0.11359572784610392,82,82,绝对止损,36033.77
600597,光明乳业,2024-03-13,2024-03-29,12,1300,8.928,8.623,11611.17,11198.93,-412.23,-0.03417407609024369,75,75,破位防守,47232.7
600415,小商品城,2024-01-26,2024-04-02,41,700,6.964,7.904,4879.73,5525.15,645.42,0.13501917029250857,82,82,破位防守,28737.92
001215,千味央厨,2024-03-13,2024-04-02,14,200,49.499,48.024,9904.76,9594.95,-309.81,-0.029799510291158574,72,72,破位防守,38332.87
001338,永顺泰,2024-03-13,2024-04-02,14,1200,9.84,10.16,11812.57,12180.47,367.9,0.032521515014776806,72,72,破位防守,50513.35
600562,国睿科技,2024-03-13,2024-04-08,16,900,13.146,13.353,11836.62,12006.91,170.29,0.015745947130130177,72,72,沉没止损,13608.67
600737,中粮糖业,2024-03-13,2024-04-09,17,1500,7.846,8.952,11773.49,13416.38,1642.89,0.1410206407109154,75,75,亢奋止盈,27025.04
000506,招金黄金,2024-04-01,2024-04-09,4,2900,4.228,5.489,12267.48,15905.14,3637.66,0.2981146711316703,86,86,亢奋止盈,42930.18
000993,闽东电力,2024-04-01,2024-04-11,6,1200,9.79,10.389,11752.45,12455.78,703.33,0.06125313344651546,82,82,亢奋止盈,55385.96
002972,科安达,2024-04-02,2024-04-16,8,1300,9.198,7.884,11962.87,10239.34,-1723.53,-0.1428689462034535,82,82,绝对止损,65625.3
600467,好当家,2024-04-02,2024-04-16,8,5700,2.164,1.936,12341.62,11025.37,-1316.26,-0.10543727360094633,82,82,绝对止损,76650.67
600595,中孚实业,2024-04-02,2024-04-25,15,3600,3.437,3.473,12377.7,12491.69,114.0,0.010527050854559067,90,90,沉没止损,89142.36
600887,伊利股份,2024-04-30,2024-05-20,11,500,25.29,24.491,12650.24,12234.34,-415.9,-0.031615058314432926,90,90,破位防守,20135.61
000089,深圳机场,2024-04-29,2024-05-23,15,1900,6.693,6.846,12722.38,12996.43,274.04,0.022846522523814774,86,86,沉没止损,19960.76
001213,中铁特货,2024-04-30,2024-05-24,15,3100,4.108,4.002,12740.42,12394.93,-345.49,-0.025855605861447938,90,90,沉没止损,32355.69
002594,比亚迪,2024-04-30,2024-05-27,16,100,72.605,67.944,7265.49,6785.99,-479.51,-0.0641978532584293,90,90,破位防守,39141.68
603638,艾迪精密,2024-04-30,2024-05-28,17,700,16.693,15.878,11690.32,11104.17,-586.16,-0.04883031056734068,90,90,破位防守,50245.85
000425,徐工机械,2024-04-02,2024-06-04,40,2000,6.112,6.657,12229.4,13301.66,1072.26,0.08907758253983836,80,80,破位防守,63547.51
601528,瑞丰银行,2024-04-30,2024-06-04,22,2700,4.589,4.691,12395.73,12653.29,257.56,0.022104263089541484,82,82,沉没止损,76200.8
002110,三钢闽光,2024-05-20,2024-06-05,12,3600,3.657,3.383,13171.28,12168.5,-1002.78,-0.07494052989910581,76,76,破位防守,88369.3
000830,鲁西化工,2024-04-30,2024-06-19,32,1100,10.701,11.387,11776.5,12514.64,738.14,0.06408718144235886,90,90,破位防守,100883.93
601211,国泰海通,2024-06-19,2024-07-10,15,300,13.397,12.705,4024.02,3804.46,-219.57,-0.051669286707064534,82,82,破位防守,100664.37
000063,中兴通讯,2024-07-12,2024-07-29,11,100,27.294,26.098,2734.45,2603.47,-130.98,-0.043846960997241946,90,90,破位防守,100533.39
601158,重庆水务,2024-07-30,2024-08-20,15,1000,4.77,4.81,4774.52,4802.95,28.43,0.008562706519733686,90,90,沉没止损,100561.82
002888,惠威科技,2024-08-20,2024-09-18,19,300,15.07,14.481,4526.02,4337.12,-188.9,-0.03909070157557216,86,86,沉没止损,100372.92
601118,海南橡胶,2024-09-18,2024-10-08,9,900,5.02,6.477,4523.02,5821.4,1298.39,0.29023788749845636,86,86,亢奋止盈,20788.93
002594,比亚迪,2024-09-26,2024-10-08,3,100,86.813,110.718,8686.33,11061.28,2374.95,0.2753592537915857,90,90,亢奋止盈,31850.21
002885,京泉华,2024-09-26,2024-10-08,3,1100,11.383,14.591,12525.99,16036.81,3510.82,0.2818342188861714,90,90,亢奋止盈,47887.02
603127,昭衍新药,2024-09-26,2024-10-08,3,800,14.228,19.74,11387.72,15779.46,4391.74,0.3873970369120914,90,90,亢奋止盈,63666.47
000901,航天科技,2024-09-26,2024-10-09,4,1200,9.8,11.846,11764.47,14203.4,2438.93,0.2088563159978611,90,90,亢奋止盈,77869.88
002589,瑞康医药,2024-09-26,2024-10-09,4,5000,2.465,3.184,12329.6,15905.14,3575.54,0.29157132888694165,90,90,亢奋止盈,93775.02
600415,小商品城,2024-09-26,2024-10-09,4,1400,8.377,9.491,11732.41,13275.73,1543.32,0.13301865169183186,90,90,亢奋止盈,107050.75
603399,永杉锂业,2024-09-26,2024-10-09,4,1900,6.553,7.974,12455.85,15138.06,2682.21,0.21683544226531642,86,86,亢奋止盈,122188.81
000017,深中华A,2024-10-09,2024-10-11,2,2200,6.814,6.038,14994.92,13271.74,-1723.18,-0.1138458377362922,65,65,绝对止损,16812.81
600576,祥源文旅,2024-10-09,2024-10-14,3,2500,5.922,5.399,14809.55,13486.2,-1323.35,-0.08825665082694172,80,80,绝对止损,19989.44
002801,微光股份,2024-10-09,2024-10-14,3,700,21.693,19.451,15190.31,13603.91,-1586.4,-0.10336278943268187,70,70,绝对止损,33593.35
000566,海南海药,2024-10-09,2024-10-14,3,3400,4.469,3.892,15199.33,13221.86,-1977.46,-0.12905131441153567,66,66,绝对止损,46815.21
002032,苏 泊 尔,2024-10-11,2024-10-21,6,200,51.523,48.453,10309.57,9680.73,-628.83,-0.05958406019543958,76,76,破位防守,56495.94
600114,东睦股份,2024-10-09,2024-10-23,10,900,16.262,18.663,14641.21,16782.94,2141.73,0.14758775732576723,70,70,亢奋止盈,73278.89
600828,茂业商业,2024-10-09,2024-10-30,15,4900,3.096,3.094,15176.28,15147.04,-29.24,-0.0007686891588990462,80,80,沉没止损,18394.19
001872,招商港口,2024-10-09,2024-10-31,16,700,21.232,19.281,14867.67,13485.2,-1382.46,-0.09188889799447839,80,80,破位防守,31879.4
002229,鸿博股份,2024-10-23,2024-10-31,6,1100,12.816,14.072,14102.14,15466.24,1364.1,0.09802287528149338,76,76,回撤止盈,47345.64
002416,爱施德,2024-10-23,2024-11-01,7,1400,9.8,14.431,13724.38,20188.36,6463.98,0.47262530154415117,86,86,亢奋止盈,67534.0
000099,中信海直,2024-10-23,2024-11-01,7,700,19.339,25.359,13542.02,17737.55,4195.53,0.3113245012565542,76,76,亢奋止盈,85271.55
603201,常润股份,2024-10-23,2024-11-06,10,1100,12.926,17.056,14223.38,18747.02,4523.64,0.3195175540392084,86,86,亢奋止盈,22960.83
002285,世联行,2024-11-05,2024-11-07,2,5600,2.906,3.653,16277.48,20439.67,4162.19,0.25703076605409886,80,80,亢奋止盈,26253.28
603569,长久物流,2024-10-23,2024-11-13,15,2100,6.874,6.906,14439.81,14490.68,50.87,0.004719424125509819,86,86,沉没止损,24327.2
000514,渝 开 发,2024-11-05,2024-11-19,10,3000,5.381,4.84,16147.22,14508.64,-1638.58,-0.10043971647022533,80,80,绝对止损,21901.05
000807,云铝股份,2024-11-07,2024-11-19,8,1100,14.92,13.333,16416.76,14654.27,-1762.48,-0.10633534810835017,90,90,绝对止损,36555.33
002054,德美化工,2024-11-05,2024-11-21,12,3000,5.451,5.589,16357.64,16753.02,395.38,0.025302336503463543,86,86,破位防守,53308.34
600798,宁波海运,2024-11-04,2024-11-25,15,5300,3.076,3.074,16308.54,16278.21,-30.34,-0.0007476902871779323,86,86,沉没止损,69586.55
601609,金田股份,2024-11-04,2024-11-28,18,2700,5.912,5.649,15966.86,15238.81,-728.05,-0.04450759497953257,86,86,破位防守,84825.36
002706,良信股份,2024-11-13,2024-11-28,11,2400,7.054,6.517,16934.79,15627.84,-1306.96,-0.07614600344765014,90,90,破位防守,100453.19
002888,惠威科技,2024-10-09,2024-12-24,54,800,17.204,19.73,13768.47,15771.48,2003.0,0.14683039279623622,70,70,回撤止盈,116224.67
600576,祥源文旅,2024-11-06,2024-12-24,34,2800,6.122,7.196,17147.22,20132.51,2985.3,0.1753220237103533,90,90,回撤止盈,136357.18
600160,巨化股份,2024-12-24,2025-02-10,27,200,23.507,24.132,4706.38,4818.91,112.53,0.026576004002225723,90,90,沉没止损,136469.71
600415,小商品城,2025-02-12,2025-02-19,5,1300,12.765,11.567,16600.12,15024.35,-1575.78,-0.09389854513892155,75,75,绝对止损,18674.03
000878,云南铜业,2025-02-12,2025-02-24,8,1300,12.685,12.255,16495.92,15919.11,-576.81,-0.033887990212308455,82,82,破位防守,17769.57
600362,江西铜业,2025-02-12,2025-02-24,8,800,20.872,19.79,16702.33,15819.36,-882.97,-0.05180804976700472,82,82,破位防守,33588.92
002335,科华数据,2025-02-12,2025-02-24,8,700,24.208,32.684,16950.82,22861.99,5911.17,0.35013499491084055,80,80,亢奋止盈,56450.91
000719,中原传媒,2025-02-12,2025-02-26,10,1600,10.291,9.76,16469.86,15603.9,-865.97,-0.05151333166189538,75,75,破位防守,72054.81
002911,佛燃能源,2025-02-20,2025-02-27,5,1500,11.212,10.469,16823.57,15690.68,-1132.89,-0.06629814544280511,90,90,破位防守,87745.49
002858,力盛体育,2025-02-12,2025-02-28,12,1300,12.765,12.265,16600.12,15932.07,-668.05,-0.03917283173057349,76,76,破位防守,103677.56
002648,卫星化学,2025-02-12,2025-03-05,15,800,19.99,20.469,15996.92,16362.0,365.08,0.023966102881955553,75,75,沉没止损,120039.56
000070,特发信息,2025-02-12,2025-03-25,29,2900,5.862,5.998,17003.93,17380.44,376.51,0.023249228039647234,75,75,破位防守,18920.55
603201,常润股份,2025-03-11,2025-03-25,10,1000,16.022,14.521,16026.98,14508.64,-1518.34,-0.09368879501784413,90,90,绝对止损,33429.19
002551,尚荣医疗,2025-03-11,2025-03-27,12,5100,3.377,3.283,17226.37,16732.07,-494.3,-0.02763612241392594,78,78,破位防守,50161.26
600686,金龙汽车,2025-03-11,2025-03-28,13,1200,14.268,13.503,17127.18,16190.43,-936.75,-0.05365252640785854,76,76,破位防守,66351.68
002885,京泉华,2025-03-11,2025-03-31,14,1200,14.299,13.832,17163.25,16585.44,-577.81,-0.032608923708294706,76,76,破位防守,82937.12
000655,金岭矿业,2025-03-11,2025-04-01,15,2700,6.273,6.587,16940.8,17770.47,829.66,0.050104264314820714,82,82,沉没止损,100707.59
601158,重庆水务,2025-03-11,2025-04-01,15,3700,4.579,4.551,16947.82,16824.84,-122.98,-0.006171464510803618,82,82,沉没止损,117532.42
000510,新金路,2025-03-11,2025-04-11,22,4400,3.878,4.202,17067.06,18472.71,1405.65,0.08351256144042656,82,82,破位防守,136005.13
002007,华兰生物,2025-04-11,2025-04-22,7,400,15.521,15.03,6213.39,6003.95,-209.45,-0.03164104328463792,86,86,破位防守,135795.69
002183,怡 亚 通,2025-04-23,2025-05-19,15,1300,4.87,4.82,6335.64,6258.31,-77.33,-0.010140213400359815,90,90,沉没止损,31700.81
002099,海翔药业,2025-05-12,2025-05-26,10,3200,5.21,6.198,16678.28,19817.34,3139.06,0.18946338093044687,75,75,亢奋止盈,34553.3
