日期,总权益,现金,股票市值,股票仓位,持仓数量,市场环境,允许开仓,风控暂停,当日信号数,当日买入数,高开跳过数,资金不足跳过数,持仓上限跳过数,持仓上限,买入分数门槛
2024-01-02,100000.0,100000.0,0.0,0.0,0,弱,True,False,1,0,0,0,0,1,82
2024-01-03,99939.26,97119.26,2820.0,0.02821713909028344,1,弱,True,False,2,1,0,0,0,1,82
2024-01-04,99929.26,97119.26,2810.0,0.028119892011609013,1,弱,True,False,0,0,0,0,2,1,82
2024-01-05,99839.26,97119.26,2720.0,0.027243791670731536,1,弱,True,False,1,0,0,0,0,1,82
2024-01-08,99726.53020499999,96816.53020499999,2910.0,0.029179797933590407,1,弱,True,False,0,1,0,0,0,1,82
2024-01-09,99836.53020499999,96816.53020499999,3020.0,0.03024944871179781,1,弱,True,False,0,0,0,0,0,1,82
2024-01-10,99856.53020499999,96816.53020499999,3040.0,0.030443677481673422,1,弱,True,False,0,0,0,0,0,1,82
2024-01-11,99916.53020499999,96816.53020499999,3100.0,0.031025897252833855,1,弱,True,False,1,0,0,0,0,1,82
2024-01-12,99976.53020499999,96816.53020499999,3160.0,0.031607418196255455,1,弱,True,False,1,0,0,0,1,1,82
2024-01-15,100081.53020499999,96816.53020499999,3265.0,0.03262340207341158,1,弱,True,False,5,0,0,0,1,1,82
2024-01-16,100051.53020499999,96816.53020499999,3235.0,0.03233333856435445,1,弱,True,False,0,0,0,0,5,1,82
2024-01-17,99996.53020499999,96816.53020499999,3180.0,0.03180110343309687,1,弱,True,False,0,0,0,0,0,1,82
2024-01-18,99951.53020499999,96816.53020499999,3135.0,0.031365202649425515,1,弱,True,False,0,0,0,0,0,1,82
2024-01-19,99986.53020499999,96816.53020499999,3170.0,0.03170427050024263,1,弱,True,False,1,0,0,0,0,1,82
2024-01-22,99826.53020499999,96816.53020499999,3010.0,0.03015230514191746,1,弱,True,False,0,0,0,0,1,1,82
2024-01-23,99811.53020499999,96816.53020499999,2995.0,0.030006553289471237,1,弱,True,False,0,0,0,0,0,1,82
2024-01-24,99861.53020499999,96816.53020499999,3045.0,0.030492222518011636,1,弱,True,False,0,0,0,0,0,1,82
2024-01-25,99921.53020499999,96816.53020499999,3105.0,0.031074384005426576,1,弱,True,False,1,0,0,0,0,1,82
2024-01-26,99829.22330499999,97113.22330499999,2716.0,0.027206462297137475,1,弱,True,False,2,1,0,0,0,1,82
2024-01-29,99841.22330499999,97113.22330499999,2728.0,0.02732338316475118,1,弱,True,False,6,0,0,0,2,1,82
2024-01-30,99821.22330499999,97113.22330499999,2708.0,0.02712849943469244,1,弱,True,False,0,0,0,0,6,1,82
2024-01-31,99837.22330499999,97113.22330499999,2724.0,0.027284412665186553,1,弱,True,False,1,0,0,0,0,1,82
2024-02-01,99905.22330499999,97113.22330499999,2792.0,0.027946486756516443,1,弱,True,False,0,0,0,0,1,1,82
2024-02-02,99813.22330499999,97113.22330499999,2700.0,0.02705052407484718,1,弱,True,False,1,0,0,0,0,1,82
2024-02-05,99769.22330499999,97113.22330499999,2656.0,0.026621436070324637,1,弱,True,False,2,0,0,0,1,1,82
2024-02-06,99917.22330499999,97113.22330499999,2804.0,0.02806322981415041,1,弱,True,False,5,0,0,0,2,1,82
2024-02-07,100069.22330499999,97113.22330499999,2956.0,0.029539551745999235,1,弱,True,False,6,0,0,0,5,1,82
2024-02-08,100049.22330499999,97113.22330499999,2936.0,0.029345555147885616,1,弱,True,False,5,0,0,0,6,1,82
2024-02-19,100013.22330499999,97113.22330499999,2900.0,0.028996165748564763,1,弱,True,False,0,0,0,0,5,1,82
2024-02-20,100033.22330499999,97113.22330499999,2920.0,0.029190302016930497,1,弱,True,False,0,0,0,0,0,1,82
2024-02-21,100025.22330499999,97113.22330499999,2912.0,0.029112656825775234,1,弱,True,False,0,0,0,0,0,1,82
2024-02-22,100021.22330499999,97113.22330499999,2908.0,0.029073829572474657,1,弱,True,False,0,0,0,0,0,1,82
2024-02-23,100049.22330499999,97113.22330499999,2936.0,0.029345555147885616,1,弱,True,False,0,0,0,0,0,1,82
2024-02-26,100001.22330499999,97113.22330499999,2888.0,0.02887964671383777,1,弱,True,False,0,0,0,0,0,1,82
2024-02-27,100061.22330499999,97113.22330499999,2948.0,0.02946196241289297,1,中,True,False,29,0,0,0,0,2,60
2024-02-28,100013.22330499999,97113.22330499999,2900.0,0.028996165748564763,1,弱,True,False,0,0,0,0,29,1,82
2024-02-29,100121.22330499999,97113.22330499999,3008.0,0.03004358017916649,1,中,True,False,27,0,0,0,0,2,60
2024-03-01,100140.303305,87128.303305,13012.0,0.12993769312210893,2,中,True,False,9,1,0,0,26,2,60
2024-03-04,100012.303305,87128.303305,12884.0,0.1288241503718661,2,中,True,False,6,0,0,0,9,2,60
2024-03-05,99876.303305,87128.303305,12748.0,0.12763788384388283,2,中,True,False,15,0,0,0,6,2,60
2024-03-06,99948.303305,87128.303305,12820.0,0.1282663094427804,2,中,True,False,15,0,0,0,15,2,60
2024-03-07,99776.303305,87128.303305,12648.0,0.126763565907399,2,中,True,False,16,0,0,0,15,2,60
2024-03-08,99872.303305,87128.303305,12744.0,0.1276029447431597,2,中,True,False,18,0,0,0,16,2,60
2024-03-11,100132.303305,87128.303305,13004.0,0.12986818010557696,2,中,True,False,21,0,0,0,18,2,60
2024-03-12,100028.303305,87128.303305,12900.0,0.12896349906752025,2,中,True,False,31,0,0,0,21,2,60
2024-03-13,99041.985305,18301.98530499999,80740.0,0.8152098299661604,8,强,True,False,18,6,0,0,25,8,60
2024-03-14,98781.985305,18301.98530499999,80480.0,0.8147234513611905,8,中,True,False,36,0,0,0,18,2,60
2024-03-15,99483.985305,18301.98530499999,81182.0,0.8160308390452051,8,强,True,False,39,0,0,0,36,8,60
2024-03-18,100645.985305,18301.98530499999,82344.0,0.8181548399617012,8,强,True,False,69,0,0,0,39,8,60
2024-03-19,100383.35498499998,16204.35498499999,84179.0,0.8385752798616727,8,强,True,False,33,1,0,0,68,8,60
2024-03-20,100709.35498499998,16204.35498499999,84505.0,0.8390978178004067,8,强,True,False,34,0,0,0,33,8,60
2024-03-21,101456.35498499998,16204.35498499999,85252.0,0.8402825038668524,8,强,True,False,36,0,0,0,34,8,60
2024-03-22,100060.35498499998,16204.35498499999,83856.0,0.8380541925178141,8,弱,True,False,2,0,0,0,36,1,82
2024-03-25,98501.03591699999,27104.035916999994,71397.0,0.7248350165592301,7,弱,True,False,1,0,0,0,2,1,82
2024-03-26,98268.195057,36216.195057,62052.0,0.6314555789287372,6,弱,False,True,0,0,0,0,0,1,82
2024-03-27,96904.195057,36216.195057,60688.0,0.6262680368409512,6,弱,False,True,0,0,0,0,0,1,82
2024-03-28,98846.195057,36216.195057,62630.0,0.6336106307772817,6,弱,False,True,0,0,0,0,0,1,82
2024-03-29,100107.126289,47415.126289,52692.0,0.5263561342065006,5,弱,False,True,0,0,0,0,0,1,82
2024-04-01,101207.126289,47415.126289,53792.0,0.5315040745885355,5,强,False,True,0,0,0,0,0,8,60
2024-04-02,101117.681673,62750.681673,38367.0,0.37942918948709037,3,强,False,True,0,0,0,0,0,8,60
2024-04-03,102209.681673,62750.681673,39459.0,0.38605931800317506,3,强,True,False,81,0,0,0,0,8,60
2024-04-08,102282.627705,88707.627705,13575.000000000002,0.13272048542937853,1,弱,True,False,6,0,0,0,81,1,82
2024-04-09,102137.01966,99121.01966,3016.0,0.0295289603127235,1,弱,True,False,3,1,0,0,5,1,82
2024-04-10,102129.01966,99121.01966,3008.0,0.029452941093667598,1,弱,True,False,1,0,0,0,3,1,82
2024-04-11,102197.01966,99121.01966,3076.0,0.03009872509231254,1,弱,True,False,3,0,0,0,1,1,82
2024-04-12,102121.01966,99121.01966,3000.0,0.029376909964159672,1,弱,True,False,3,0,0,0,3,1,82
2024-04-15,102113.01966,99121.01966,2992.0,0.02930086692140037,1,弱,True,False,1,0,0,0,3,1,82
