代码,名称,买入日,卖出日,持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,买入分数,排序分,卖出原因,卖出后现金
000510,新金路,2024-01-03,2024-01-11,6,800,5.751,5.349,4606.18,4272.28,-333.9,-0.0699298267576345,90,90,破位防守,99666.1
002999,天禾股份,2024-01-11,2024-01-18,5,600,7.275,6.727,4369.71,4028.89,-340.82,-0.07533143080230724,79,79,绝对止损,99325.28
601766,中国中车,2024-01-18,2024-02-28,23,1000,4.86,5.738,4864.7,5730.63,865.93,0.18083420787291418,78,78,亢奋止盈,100191.21
002458,益生股份,2024-02-28,2024-03-05,4,600,7.986,7.375,4796.56,4417.92,-378.64,-0.07647440376461628,82,82,绝对止损,90102.2
000750,国海证券,2024-02-29,2024-03-21,15,2900,3.347,3.383,9710.37,9801.43,91.06,0.010918283194091,78,78,沉没止损,20752.71
002791,坚朗五金,2024-03-13,2024-03-25,8,300,39.609,36.367,11887.72,10899.68,-988.04,-0.0818484457848785,82,82,绝对止损,19819.79
002032,苏 泊 尔,2024-03-05,2024-03-26,15,200,47.134,46.666,9431.82,9323.63,-108.19,-0.009920634920634865,71,71,破位防守,29143.42
001215,千味央厨,2024-03-13,2024-03-28,11,200,49.499,45.409,9904.76,9072.26,-832.5,-0.08262422523374298,72,72,绝对止损,38215.67
601238,广汽集团,2024-03-21,2024-03-28,5,1300,9.098,8.433,11832.61,10952.55,-880.06,-0.07309829679847359,86,86,破位防守,49168.22
600597,光明乳业,2024-03-13,2024-03-29,12,1400,8.928,8.623,12503.95,12060.77,-443.18,-0.03417407609024369,75,75,破位防守,61228.99
001338,永顺泰,2024-03-13,2024-04-02,14,1200,9.84,10.16,11812.57,12180.47,367.9,0.032521515014776806,72,72,破位防守,73409.47
600562,国睿科技,2024-03-13,2024-04-08,16,900,13.146,13.353,11836.62,12006.91,170.29,0.015745947130130177,72,72,沉没止损,85416.37
600737,中粮糖业,2024-03-13,2024-04-09,17,1500,7.846,8.952,11773.49,13416.38,1642.89,0.1410206407109154,75,75,亢奋止盈,98832.75
002348,高乐股份,2024-04-10,2024-04-16,4,1300,3.607,2.974,4694.36,3859.32,-835.04,-0.1755267243291196,82,82,绝对止损,97997.71
603319,美湖股份,2024-04-29,2024-05-17,11,900,12.465,11.976,11223.39,10768.01,-455.38,-0.0392205941814121,80,80,破位防守,27523.64
600422,昆药集团,2024-04-16,2024-05-20,21,200,20.882,21.327,4181.34,4258.32,76.98,0.02133832143773888,90,90,沉没止损,20142.74
000089,深圳机场,2024-04-29,2024-05-23,15,1800,6.693,6.846,12053.05,12312.14,259.09,0.022846522523814774,86,86,沉没止损,20380.79
002594,比亚迪,2024-04-29,2024-05-23,15,100,71.813,69.84,7186.33,6975.51,-210.82,-0.02747818163032098,80,80,沉没止损,27356.3
601138,工业富联,2024-04-29,2024-05-23,15,500,23.276,24.341,11643.23,12159.52,516.29,0.04574406933013008,80,80,沉没止损,39515.83
001213,中铁特货,2024-04-29,2024-05-23,15,3000,4.048,4.082,12149.24,12234.34,85.1,0.008334815517479863,78,78,沉没止损,51750.16
603317,天味食品,2024-04-29,2024-05-23,15,900,12.405,12.435,11169.28,11180.98,11.69,0.00244422302406493,78,78,沉没止损,62931.14
002768,国恩股份,2024-04-29,2024-05-24,16,800,14.539,14.82,11636.22,11845.31,209.1,0.019346558433787193,80,80,沉没止损,74776.45
002110,三钢闽光,2024-05-20,2024-06-04,11,3300,3.657,3.393,12074.09,11186.96,-887.13,-0.07221174090175814,76,76,绝对止损,85963.41
002966,苏州银行,2024-05-17,2024-06-11,16,1700,6.844,6.756,11639.22,11475.24,-163.98,-0.012741720073761726,90,90,沉没止损,97438.65
600757,长江传媒,2024-06-11,2024-07-12,23,600,7.214,7.365,4333.64,4411.93,78.29,0.02090818363273448,90,90,沉没止损,97516.95
000063,中兴通讯,2024-07-12,2024-07-29,11,100,27.294,26.098,2734.45,2603.47,-130.98,-0.043846960997241946,90,90,破位防守,97385.96
601158,重庆水务,2024-07-30,2024-08-20,15,1000,4.77,4.81,4774.52,4802.95,28.43,0.008562706519733686,90,90,沉没止损,97414.4
002888,惠威科技,2024-08-20,2024-09-18,19,300,15.07,14.481,4526.02,4337.12,-188.9,-0.03909070157557216,86,86,沉没止损,97225.5
601118,海南橡胶,2024-09-18,2024-10-08,9,900,5.02,6.477,4523.02,5821.4,1298.39,0.29023788749845636,86,86,亢奋止盈,19681.58
002594,比亚迪,2024-09-26,2024-10-08,3,100,86.813,110.718,8686.33,11061.28,2374.95,0.2753592537915857,90,90,亢奋止盈,30742.86
002885,京泉华,2024-09-26,2024-10-08,3,1000,11.383,14.591,11387.72,14578.46,3190.74,0.2818342188861714,90,90,亢奋止盈,45321.32
603127,昭衍新药,2024-09-26,2024-10-08,3,800,14.228,19.74,11387.72,15779.46,4391.74,0.3873970369120914,90,90,亢奋止盈,61100.78
000901,航天科技,2024-09-26,2024-10-09,4,1200,9.8,11.846,11764.47,14203.4,2438.93,0.2088563159978611,90,90,亢奋止盈,75304.18
002589,瑞康医药,2024-09-26,2024-10-09,4,4900,2.465,3.184,12083.11,15586.94,3503.83,0.29157132888694165,90,90,亢奋止盈,90891.12
600415,小商品城,2024-09-26,2024-10-09,4,1400,8.377,9.491,11732.41,13275.73,1543.32,0.13301865169183186,90,90,亢奋止盈,104166.85
603399,永杉锂业,2024-09-26,2024-10-09,4,1800,6.553,7.974,11800.54,14341.06,2540.52,0.21683544226531642,86,86,亢奋止盈,118507.91
600576,祥源文旅,2024-10-09,2024-10-10,1,2500,5.922,5.419,14809.55,13536.08,-1273.47,-0.08488606543258671,80,80,绝对止损,19436.3
600828,茂业商业,2024-10-09,2024-10-10,1,4700,3.096,2.864,14557.05,13450.29,-1106.76,-0.07490520576969029,80,80,绝对止损,32886.59
002888,惠威科技,2024-10-09,2024-10-10,1,800,17.204,15.549,13768.47,12427.85,-1340.62,-0.09622571978930906,70,70,绝对止损,45314.44
000017,深中华A,2024-10-09,2024-10-10,1,2100,6.814,6.088,14313.56,12772.99,-1540.57,-0.10652224961841031,65,65,绝对止损,58087.43
000566,海南海药,2024-10-09,2024-10-11,2,3300,4.469,4.022,14752.44,13260.77,-1491.67,-0.10001969155858685,66,66,绝对止损,71348.19
002801,微光股份,2024-10-09,2024-10-14,3,600,21.693,19.451,13020.98,11659.78,-1361.2,-0.10336278943268187,70,70,绝对止损,83007.97
600114,东睦股份,2024-10-09,2024-10-23,10,900,16.262,18.663,14641.21,16782.94,2141.73,0.14758775732576723,70,70,亢奋止盈,99790.91
001872,招商港口,2024-10-09,2024-10-28,13,600,21.232,19.681,12744.43,11797.43,-947.0,-0.07308742590326674,80,80,绝对止损,17207.03
