代码,名称,信号日,计划买入日,信号日市场环境,计划买入日市场环境,买入分数,排序分,信号日收盘,计划买入开盘,计划买入执行价,计划买入开盘跳空,若非满仓也会高开跳过,跳过原因,当时持仓数量,当时持仓上限,信号日市场MA20宽度,信号日市场MA60宽度,信号日市场MA60上行宽度,信号日指数站上MA20,信号日指数MA20上行,信号日指数站上MA60,信号日RSI14,信号日量比,信号日20日均成交额,信号日距MA20,信号日距MA60,信号日站上MA20,信号日站上MA60,信号日MA20上行,信号日MA60上行,信号日突破20日新高,信号日前5日阳线数,未来5日日期,未来5日收盘,未来5日收益率,未来10日日期,未来10日收盘,未来10日收益率,未来20日日期,未来20日收盘,未来20日收益率,未来20日最大涨幅,未来20日最大跌幅
000655,金岭矿业,2024-01-02,2024-01-03,弱,弱,80,80,6.86,6.91,6.92382,0.007288629737609353,False,持仓上限,1,1,0.5769230769230769,0.4807692307692308,0.41083916083916083,True,False,False,63.095237043650855,1.78610217018258,30533375.528999995,0.04136622390891831,0.04120816574334074,True,True,False,True,True,4,2024-01-10,6.7,-0.03232608588900343,2024-01-17,6.49,-0.06265616379397498,2024-01-31,5.71,-0.1753107388695836,0.018224043952615787,-0.20564081677455515
000993,闽东电力,2024-01-02,2024-01-03,弱,弱,80,80,10.03,9.89,9.909780000000001,-0.01395812562313048,False,持仓上限,1,1,0.5769230769230769,0.4807692307692308,0.41083916083916083,True,False,False,65.30612218242399,2.3118463509203737,178976344.572,0.07129506008010655,0.09077068078010564,True,True,True,True,True,4,2024-01-10,9.9,-0.0009869038465032398,2024-01-17,9.66,-0.025205403147194105,2024-01-31,8.78,-0.11400656724972724,0.20991586089701264,-0.14528879551311946
002452,长高电气,2024-01-02,2024-01-03,弱,弱,80,80,6.97,6.94,6.953880000000001,-0.00430416068866557,False,持仓上限,1,1,0.5769230769230769,0.4807692307692308,0.41083916083916083,True,False,False,64.16666591805559,1.9897170491377523,49269352.362,0.057502655135791336,0.03761413259229851,True,True,False,True,True,3,2024-01-10,6.85,-0.0149384228660836,2024-01-17,6.88,-0.010624284572066323,2024-01-31,5.21,-0.2507779829390212,0.0109464068980194,-0.2536540751350326
002455,百川股份,2024-01-02,2024-01-03,弱,弱,80,80,7.37,7.34,7.35468,-0.004070556309362261,False,持仓上限,1,1,0.5769230769230769,0.4807692307692308,0.41083916083916083,True,False,False,63.56589078300589,2.3502361534837237,38095103.275,0.05436337625178833,0.03717602908408568,True,True,False,True,True,4,2024-01-10,7.08,-0.03734764802819435,2024-01-17,7.04,-0.042786361881142376,2024-01-31,5.21,-0.2916075206535159,0.031995953596893445,-0.2997655914329379
002588,史丹利,2024-01-02,2024-01-03,弱,弱,80,80,5.94,5.94,5.95188,0.0,False,持仓上限,1,1,0.5769230769230769,0.4807692307692308,0.41083916083916083,True,False,False,65.51723979785976,2.089346935993157,42540788.859,0.0325945241199479,0.054781141791707455,True,True,False,True,True,5,2024-01-10,5.86,-0.015437139189634186,2024-01-17,5.78,-0.028878270395236383,2024-01-31,5.3,-0.10952505762885012,0.024886254427172627,-0.1380874614407549
002972,科安达,2024-01-02,2024-01-03,弱,弱,80,80,12.19,12.12,12.14424,-0.005742411812961423,False,持仓上限,1,1,0.5769230769230769,0.4807692307692308,0.41083916083916083,True,False,False,67.73398991421776,2.3267701496814914,98429371.703,0.08144073811213626,0.12267452569533965,True,True,True,True,True,5,2024-01-10,10.79,-0.11151294770195586,2024-01-17,10.63,-0.12468791789358569,2024-01-31,8.38,-0.3099609362133817,-0.024228770182407433,-0.3165484213091967
600027,华电国际,2024-01-02,2024-01-03,弱,弱,80,80,4.77,4.76,4.76952,-0.002096436058700135,False,持仓上限,1,1,0.5769230769230769,0.4807692307692308,0.41083916083916083,True,False,False,55.384614191715954,1.9265696908646746,254296659.22749996,0.025475653015156308,0.05686853766617417,True,True,True,True,True,3,2024-01-10,5.04,0.05671010919337793,2024-01-17,5.05,0.05880675623542819,2024-01-31,5.44,0.14057599087539208,0.14476928495949282,-0.03134906657273684
601666,平煤股份,2024-01-02,2024-01-03,弱,弱,80,80,10.47,10.42,10.44084,-0.0047755491881567025,False,持仓上限,1,1,0.5769230769230769,0.4807692307692308,0.41083916083916083,True,False,False,56.70498053874727,2.487455910259006,309223677.701,0.04288062154489758,0.11968630246858569,True,True,True,True,True,3,2024-01-10,10.21,-0.02210933219932487,2024-01-17,9.69,-0.07191375406576483,2024-01-31,9.88,-0.05371598453764248,0.022906202949187993,-0.14278927749108317
603712,七一二,2024-01-02,2024-01-03,弱,弱,80,80,32.35,32.24,32.304480000000005,-0.0034003091190107915,False,持仓上限,1,1,0.5769230769230769,0.4807692307692308,0.41083916083916083,True,False,False,62.17870246383088,1.512768783426135,231489513.31149998,0.0639347497204501,0.13716254218222734,True,True,True,True,True,3,2024-01-10,29.16,-0.09733882111707126,2024-01-17,26.38,-0.18339499660728187,2024-01-31,24.74,-0.2341619490547443,-0.02923681173632897,-0.2360192765833099
600027,华电国际,2024-01-03,2024-01-04,弱,弱,90,90,4.93,4.92,4.9298399999999996,-0.0020283975659228792,False,持仓上限,1,1,0.5699300699300699,0.493006993006993,0.458041958041958,True,False,False,64.99999886249995,1.8670128866175801,262950221.49400002,0.05680600214362275,0.09054711694440343,True,True,True,True,True,3,2024-01-11,4.89,-0.008081398179251242,2024-01-18,5.02,0.01828862600003256,2024-02-01,5.36,0.08725638154585158,0.11362640572513527,-0.06284990993622497
601666,平煤股份,2024-01-03,2024-01-04,弱,弱,90,90,10.62,10.58,10.60116,-0.0037664783427494575,False,持仓上限,1,1,0.5699300699300699,0.493006993006993,0.458041958041958,True,False,False,62.45210694470133,1.6297486458544095,323160921.8565,0.05398967844382674,0.1317738583684125,True,True,True,True,True,4,2024-01-11,9.87,-0.06896981085088805,2024-01-18,9.56,-0.09821189379275475,2024-02-01,9.73,-0.08217591282463421,-0.0010527149859071994,-0.15575276667836357
000705,浙江震元,2024-01-03,2024-01-04,弱,弱,80,80,10.99,10.58,10.60116,-0.03730664240218384,False,持仓上限,1,1,0.5699300699300699,0.493006993006993,0.458041958041958,True,False,False,62.71776988187304,1.720930435361504,508285775.3389999,0.14158097018801286,0.2208850212923532,True,True,True,True,True,3,2024-01-11,9.7,-0.08500579181900858,2024-01-18,8.46,-0.20197412358647537,2024-02-01,7.31,-0.31045281837081984,0.060261329892200566,-0.32082904135019186
002347,泰尔股份,2024-01-03,2024-01-04,弱,弱,80,80,6.52,6.36,6.37272,-0.024539877300613355,False,持仓上限,1,1,0.5699300699300699,0.493006993006993,0.458041958041958,True,False,False,65.20146486709871,1.6774028642691545,340148445.179,0.10489747500423663,0.1892023346303502,True,True,True,True,True,3,2024-01-11,6.88,0.07960180268394024,2024-01-18,5.29,-0.1698991953200517,2024-02-01,3.99,-0.3738937219899823,0.2726120086870283,-0.38958560865690006
601609,金田股份,2024-01-03,2024-01-04,弱,弱,80,80,6.54,6.55,6.5630999999999995,0.001529051987767538,False,持仓上限,1,1,0.5699300699300699,0.493006993006993,0.458041958041958,True,False,False,60.86956398235674,1.6061914222241063,38276999.6585,0.028301886792452713,0.014661391668606027,True,True,False,True,True,4,2024-01-11,6.41,-0.023327391019487664,2024-01-18,5.98,-0.08884521034267334,2024-02-01,5.38,-0.18026542335176965,0.0025750026664230763,-0.20007313617040723
