日期,总权益,现金,股票市值,股票仓位,持仓数量,市场环境,允许开仓,风控暂停,当日信号数,当日买入数,高开跳过数,资金不足跳过数,持仓上限跳过数,持仓上限,买入分数门槛
2024-01-02,100000.0,100000.0,0.0,0.0,0,弱,True,False,10,0,0,0,0,1,78
2024-01-03,99928.112,96544.112,3384.0,0.033864344399902206,1,弱,True,False,6,1,0,0,9,1,78
2024-01-04,99916.112,96544.112,3372.0,0.033748310782949605,1,弱,True,False,3,0,0,0,6,1,78
2024-01-05,99808.112,96544.112,3264.0000000000005,0.03270275265802043,1,弱,True,False,4,0,0,0,3,1,78
2024-01-08,99754.112,96544.112,3210.0,0.032179124605910985,1,弱,True,False,0,0,0,0,4,1,78
2024-01-09,99796.112,96544.112,3252.0,0.032586439840461924,1,弱,True,False,5,0,0,0,0,1,78
2024-01-10,99772.112,96544.112,3228.0,0.03235373026883504,1,弱,True,False,2,0,0,0,5,1,78
2024-01-11,99719.815216,96104.815216,3615.0,0.03625157138698724,1,弱,True,False,3,1,0,0,1,1,78
2024-01-12,99644.815216,96104.815216,3540.0,0.035526183598477694,1,弱,True,False,4,0,0,0,3,1,78
2024-01-15,99619.815216,96104.815216,3515.0,0.03528414495026541,1,弱,True,False,6,0,0,0,4,1,78
2024-01-16,99594.815216,96104.815216,3490.0,0.03504198479038222,1,弱,True,False,3,0,0,0,6,1,78
2024-01-17,99479.815216,96104.815216,3375.0,0.03392648038872891,1,弱,True,False,1,0,0,0,3,1,78
2024-01-18,99464.63358600001,95568.63358600001,3896.0,0.03916970142589833,1,弱,True,False,3,1,0,0,0,1,78
2024-01-19,99424.63358600001,95568.63358600001,3856.0,0.03878314519172604,1,弱,True,False,2,0,0,0,3,1,78
2024-01-22,99376.63358600001,95568.63358600001,3808.0,0.038318866946771515,1,弱,True,False,0,0,0,0,2,1,78
2024-01-23,99344.63358600001,95568.63358600001,3776.0,0.038009098868246535,1,弱,True,False,2,0,0,0,0,1,78
2024-01-24,99512.63358600001,95568.63358600001,3944.0,0.039633158704332226,1,弱,True,False,2,0,0,0,2,1,78
2024-01-25,99712.63358600001,95568.63358600001,4144.0,0.04155942783745541,1,弱,True,False,4,0,0,0,2,1,78
2024-01-26,99704.63358600001,95568.63358600001,4136.0,0.041482525447851956,1,弱,True,False,3,0,0,0,4,1,78
2024-01-29,99784.63358600001,95568.63358600001,4216.0,0.04225099445162981,1,弱,True,False,8,0,0,0,3,1,78
2024-01-30,99752.63358600001,95568.63358600001,4184.0,0.04194375476205184,1,弱,True,False,1,0,0,0,8,1,78
2024-01-31,99728.63358600001,95568.63358600001,4160.0,0.04171319560307286,1,弱,True,False,2,0,0,0,1,1,78
2024-02-01,99688.63358600001,95568.63358600001,4120.0,0.0413286836402039,1,弱,True,False,0,0,0,0,2,1,78
2024-02-02,99704.63358600001,95568.63358600001,4136.0,0.041482525447851956,1,弱,True,False,2,0,0,0,0,1,78
2024-02-05,99752.63358600001,95568.63358600001,4184.0,0.04194375476205184,1,弱,True,False,3,0,0,0,2,1,78
2024-02-06,99864.63358600001,95568.63358600001,4296.0,0.04301823223834724,1,弱,True,False,9,0,0,0,3,1,78
2024-02-07,99856.63358600001,95568.63358600001,4288.0,0.04294156378010706,1,弱,True,False,11,0,0,0,9,1,78
2024-02-08,99880.63358600001,95568.63358600001,4312.0,0.04317153230998728,1,弱,True,False,7,0,0,0,11,1,78
2024-02-19,99920.63358600001,95568.63358600001,4352.0,0.04355456769851551,1,弱,True,False,1,0,0,0,7,1,78
2024-02-20,99952.63358600001,95568.63358600001,4384.0,0.043860775276401025,1,弱,True,False,1,0,0,0,1,1,78
2024-02-21,99992.63358600001,95568.63358600001,4424.0,0.04424325914163546,1,弱,True,False,1,0,0,0,1,1,78
2024-02-22,100008.63358600001,95568.63358600001,4440.0,0.044396167018739725,1,弱,True,False,1,0,0,0,1,1,78
2024-02-23,99984.63358600001,95568.63358600001,4416.0,0.044166786851318064,1,弱,True,False,4,0,0,0,1,1,78
2024-02-26,100160.63358600001,95568.63358600001,4592.0,0.04584635535534241,1,弱,True,False,0,0,0,0,4,1,78
2024-02-27,100168.63358600001,95568.63358600001,4600.0,0.04592255914173631,1,中,True,False,6,0,0,0,0,2,70
2024-02-28,99924.16818600001,96154.16818600001,3770.0,0.03772861028957958,1,弱,True,False,1,1,0,0,5,1,78
2024-02-29,100254.796186,86443.796186,13811.0,0.137758995334017,2,中,True,False,7,1,0,0,0,2,70
2024-03-01,100160.796186,86443.796186,13717.0,0.13694978996100768,2,中,True,False,3,0,0,0,7,2,70
2024-03-04,99984.796186,86443.796186,13541.0,0.1354305906150962,2,中,True,False,1,0,0,0,3,2,70
2024-03-05,100006.796186,86443.796186,13563.0,0.1356207829593354,2,中,True,False,3,0,0,0,1,2,70
2024-03-06,99966.796186,86443.796186,13523.0,0.1352749164316406,2,中,True,False,3,0,0,0,3,2,70
2024-03-07,99844.796186,86443.796186,13401.0,0.13421831193921607,2,中,True,False,6,0,0,0,3,2,70
2024-03-08,99843.796186,86443.796186,13400.0,0.13420964057733747,2,中,True,False,7,0,0,0,6,2,70
2024-03-11,99999.796186,86443.796186,13556.0,0.1355602762908215,2,中,True,False,9,0,0,0,7,2,70
2024-03-12,100075.796186,86443.796186,13632.0,0.1362167528966113,2,中,True,False,9,0,0,0,9,2,70
2024-03-13,99437.556501,18212.556501000003,81225.0,0.816844287592517,8,强,True,False,4,7,0,0,2,8,70
2024-03-14,99022.278716,27898.278716,71124.0,0.7182626063775666,7,中,True,False,8,0,0,0,4,2,70
2024-03-15,100351.740716,17603.740716,82748.0,0.8245796177485413,8,强,True,False,12,1,0,0,7,8,70
2024-03-18,101610.740716,17603.740716,84007.0,0.8267531503859212,8,强,True,False,19,0,0,0,12,8,70
2024-03-19,101429.740716,17603.740716,83826.0,0.8264439937267521,8,强,True,False,5,0,0,0,19,8,70
2024-03-20,102329.740716,17603.740716,84726.0,0.827970435644351,8,强,True,False,14,0,0,0,5,8,70
2024-03-21,104017.740716,17603.740716,86414.0,0.8307621315861536,8,强,True,False,9,0,0,0,14,8,70
