代码,名称,买入日,卖出日,买入月份,卖出日市场环境,持仓天数,卖出时连续弱市持仓天数,累计弱市持仓天数,最大连续弱市持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,买入分数,排序分,卖出原因,卖出后现金,信号日,信号日市场环境,信号日市场MA20宽度,信号日市场MA60宽度,信号日市场MA60上行宽度,信号日指数站上MA20,信号日指数MA20上行,信号日指数站上MA60,信号日收盘,信号日RSI14,信号日量比,信号日20日均成交额,信号日距MA20,信号日距MA60,信号日站上MA20,信号日站上MA60,信号日MA20上行,信号日MA60上行,信号日突破20日新高,信号日前5日阳线数,买入日市场环境,买入日市场MA20宽度,买入日市场MA60宽度,买入日开盘跳空,买入日开盘距MA20
000902,新洋丰,2024-01-03,2024-01-17,2024-01,弱,10,10,10,10,300,10.782,10.798,3239.46,3232.89,-6.57,0.0015619318982852313,90,90,沉没止损,99993.43,2024-01-02,弱,0.5632582322357019,0.4662045060658579,0.44194107452339687,True,False,False,10.77,61.87050297396617,1.6998551257660364,54028710.815,0.04542807221898659,0.02765541260476123,True,True,False,True,True,5,弱,0.5805892547660312,0.4783362218370884,-0.0009285051067781103,0.04228217174407911
600860,京城股份,2024-01-17,2024-01-23,2024-01,弱,4,4,4,4,300,13.236,10.928,3975.93,3271.79,-704.14,-0.17439156509086307,86,86,绝对止损,99289.3,2024-01-16,弱,0.3477508650519031,0.32698961937716264,0.5224913494809689,False,False,False,13.31,63.76021774042425,1.601386700123466,145559532.76099998,0.02360993616857643,0.04115875519862344,True,True,False,True,False,3,弱,0.2041522491349481,0.2231833910034602,-0.007513148009015702,0.017210179802102044
000037,深南电A,2024-01-24,2024-02-02,2024-01,弱,7,7,7,7,400,9.088,8.363,3640.26,3338.62,-301.63,-0.0797632958999311,80,80,回撤止盈,98987.66,2024-01-23,弱,0.05536332179930796,0.0847750865051903,0.2577854671280277,False,False,False,9.22,61.960783973548686,2.4413563205004136,133447382.64650002,0.08636738541298472,0.08451449744162809,True,True,True,True,True,4,弱,0.11764705882352941,0.12629757785467127,-0.01626898047722347,0.057725947521866106
002249,大洋电机,2024-03-01,2024-03-19,2024-03,强,12,0,0,0,2100,4.669,4.591,9810.57,9630.86,-179.71,-0.01681615310152231,72,72,沉没止损,37511.67,2024-02-29,中,0.8307426597582038,0.3005181347150259,0.15716753022452504,True,True,True,4.5,66.66666615664846,1.527386897887747,107260684.81099999,0.0897203051216855,0.03487926408585662,True,True,True,False,True,3,中,0.8825561312607945,0.3177892918825561,0.03555555555555556,0.12370388232457197
600560,金自天正,2024-02-21,2024-03-25,2024-02,弱,23,1,6,4,200,14.359,16.277,2876.73,3248.85,372.12,0.13362806835735347,80,80,回撤止盈,29982.02,2024-02-20,弱,0.3765112262521589,0.17962003454231434,0.11917098445595854,True,True,True,14.81,67.03567024126698,2.2124253404284397,176818176.649,0.1403711403711403,0.06302038472581106,True,True,False,True,True,4,弱,0.46113989637305697,0.19689119170984457,-0.03241053342336264,0.09909495321368311
600197,伊力特,2024-03-13,2024-03-27,2024-03,弱,10,3,3,3,500,19.89,20.389,9949.85,10184.47,234.62,0.025110484321030475,82,82,沉没止损,40166.49,2024-03-12,中,0.92573402417962,0.4421416234887737,0.22279792746113988,True,True,True,19.96,62.913906993114345,2.2942444967339615,111593552.926,0.05224313353366017,0.03797951082528739,True,True,True,False,True,4,强,0.8963730569948186,0.46459412780656306,-0.005511022044088154,0.03970249319086516
600600,青岛啤酒,2024-03-13,2024-03-27,2024-03,弱,10,3,3,3,100,75.771,75.549,7582.12,7546.08,-36.04,-0.0029383180214550848,78,78,沉没止损,47712.57,2024-03-12,中,0.92573402417962,0.4421416234887737,0.22279792746113988,True,True,True,75.61,62.054874438484056,1.7581535772279129,439822415.9555,0.05115354404598893,0.13320660550092045,True,True,True,True,True,2,强,0.8963730569948186,0.46459412780656306,0.00013225763787860778,0.045529332061332584
001338,永顺泰,2024-03-13,2024-03-27,2024-03,弱,10,3,3,3,1100,9.84,9.79,10828.6,10759.03,-69.57,-0.005006280717587259,72,72,沉没止损,58471.61,2024-03-12,中,0.92573402417962,0.4421416234887737,0.22279792746113988,True,True,True,9.84,60.888888510024685,1.5071007647498542,76295444.546,0.05116974682192055,-0.04032769298288397,True,False,True,False,True,4,强,0.8963730569948186,0.46459412780656306,-0.00203252032520318,0.04113655640373204
002791,坚朗五金,2024-03-13,2024-03-28,2024-03,弱,11,4,4,4,200,39.609,35.11,7926.81,7013.42,-913.39,-0.11359572784610392,82,82,绝对止损,65485.02,2024-03-12,中,0.92573402417962,0.4421416234887737,0.22279792746113988,True,True,True,39.61,61.97458447041602,1.6759077786095942,139909616.4995,0.08800747129594022,0.06425567929927323,True,True,True,False,True,3,强,0.8963730569948186,0.46459412780656306,-0.0020196919969703853,0.07750807517751768
002790,瑞尔特,2024-03-13,2024-03-29,2024-03,弱,12,5,5,5,1100,10.09,10.818,11104.15,11889.2,785.05,0.07216748231441784,82,82,转弱持仓退出,77374.23,2024-03-12,中,0.92573402417962,0.4421416234887737,0.22279792746113988,True,True,True,10.19,63.36088129833268,1.580515346411121,42791111.1455,0.1252829771961792,0.07720497551006011,True,True,True,False,True,5,强,0.8963730569948186,0.46459412780656306,-0.011776251226692791,0.09898504856488044
001205,盛航股份,2024-03-19,2024-03-29,2024-03,弱,8,5,5,5,700,15.391,15.728,10778.5,10999.43,220.93,0.021945691949434427,82,82,转弱持仓退出,88373.66,2024-03-18,强,0.9256055363321799,0.5709342560553633,0.25432525951557095,True,True,True,15.38,58.79917167221774,1.7321566672816173,30311052.881,0.0856981505012,0.037156922246948554,True,True,True,False,True,3,强,0.8875432525951558,0.6003460207612457,-0.0013003901170351995,0.07495276086500113
000560,我爱我家,2024-03-13,2024-04-01,2024-03,强,13,6,6,6,5700,1.934,2.086,11028.0,11878.23,850.23,0.07857859410712259,72,72,转弱持仓退出,100251.89,2024-03-12,中,0.92573402417962,0.4421416234887737,0.22279792746113988,True,True,True,1.94,65.21738998109643,2.436170886753312,100654538.218,0.1243117936829905,-0.03602484472049705,True,False,False,False,True,4,强,0.8963730569948186,0.46459412780656306,-0.005154639175257714,0.1063341931785613
