日期,开盘,最高,最低,收盘,成交量,amount,outstanding_share,turnover,MA5,MA10,MA20,MA60,RSI14,Vol_MA20,MA60_prev5,MA20_break_1,MA20_break_2,High_20
2021-04-12,7.36,7.45,7.25,7.29,2337684.0,23893253.0,118887120.0,0.019663055173680714,7.388,7.244,7.114,7.148,56.296295712482845,2375229.45,7.199333333333333,False,False,7.46
2021-04-13,7.26,7.32,7.15,7.22,1843464.0,18487931.0,118887120.0,0.015506002668749987,7.362,7.2700000000000005,7.1290000000000004,7.143,58.461537831952654,2382630.65,7.186166666666667,False,False,7.46
2021-04-14,7.16,7.33,7.14,7.29,1809043.0,18229055.0,118887120.0,0.015216475931118526,7.328,7.311999999999999,7.141499999999999,7.139833333333334,64.34108457304248,2398076.5,7.1754999999999995,False,False,7.46
2021-04-15,7.23,7.31,7.22,7.27,1190902.0,12029081.0,118887120.0,0.010017081749477992,7.297999999999999,7.340000000000001,7.1515,7.1418333333333335,67.47967402868659,2399872.4,7.167,False,False,7.46
2021-04-16,7.27,7.45,7.24,7.44,2504034.0,25723257.0,118887120.0,0.021062281599554266,7.302,7.356,7.1745,7.140833333333333,69.23076848520708,2466757.1,7.1575,False,False,7.46
2021-04-19,7.44,7.58,7.44,7.55,3452888.0,36024918.0,118887120.0,0.029043415300160354,7.354000000000001,7.3709999999999996,7.2015,7.141166666666667,71.22302086537961,2568516.5,7.148,False,False,7.46
2021-04-20,7.5,7.62,7.39,7.4,3009491.0,31287939.0,118887120.0,0.02531385233320481,7.390000000000001,7.376,7.2155000000000005,7.138166666666666,68.27586140975029,2652228.55,7.143,False,False,7.55
2021-04-21,7.44,7.44,7.24,7.29,2126970.0,21590652.0,118887120.0,0.017890668055547145,7.390000000000001,7.359,7.230000000000001,7.129666666666667,60.416666079282386,2682215.85,7.139833333333334,False,False,7.55
2021-04-22,7.29,7.59,7.28,7.5,5211504.0,54121696.0,118887120.0,0.043835732583983864,7.436,7.367,7.259,7.126500000000001,58.0882346961505,2888333.65,7.1418333333333335,False,False,7.55
2021-04-23,7.47,7.48,7.09,7.1,5791232.0,57985295.0,118887120.0,0.04871202195830802,7.368,7.335000000000001,7.272,7.118833333333333,40.85365818783461,3107967.25,7.140833333333333,False,False,7.55
2021-04-26,7.04,7.08,6.81,6.86,4203426.0,40339996.0,118887120.0,0.03535644567721045,7.2299999999999995,7.292,7.267999999999999,7.109666666666667,36.61202157783156,3253381.8,7.141166666666667,True,False,7.55
2021-04-27,7.04,7.55,6.99,7.55,4229901.0,43855879.0,118887120.0,0.035579135906395915,7.26,7.325,7.297499999999999,7.116,51.8672196157091,3408113.05,7.138166666666666,True,True,7.55
2021-04-28,8.19,8.19,7.42,7.64,19667711.0,213676897.0,118887120.0,0.16543180623771525,7.33,7.360000000000001,7.336,7.120666666666667,54.47154440544649,4337293.15,7.129666666666667,False,True,7.55
2021-04-29,7.47,7.68,7.35,7.36,7994463.0,82956844.0,118887120.0,0.06724414722133062,7.302,7.369,7.3545,7.1226666666666665,48.90510923917098,4634710.05,7.126500000000001,False,False,7.64
2021-04-30,7.33,7.33,7.05,7.15,6211682.0,61797308.0,118887120.0,0.05224856990395595,7.312,7.340000000000001,7.348000000000001,7.120333333333333,47.51773026055028,4607232.95,7.118833333333333,False,False,7.64
2021-05-06,7.06,7.31,7.04,7.2,4444848.0,44270343.0,118887120.0,0.03738712822717886,7.38,7.305,7.337999999999999,7.121333333333334,49.64285689464287,4559372.15,7.109666666666667,True,False,7.64
2021-05-07,7.13,7.19,7.06,7.13,3025042.0,29991442.0,118887120.0,0.02544465708312221,7.296000000000001,7.2780000000000005,7.327,7.123333333333334,47.14285690714286,4558617.6,7.116,True,True,7.64
2021-05-10,7.12,7.19,6.97,6.99,3464155.0,33876739.0,118887120.0,0.029138185869083212,7.1659999999999995,7.248,7.3035,7.126166666666667,45.2054792353162,4499745.1,7.120666666666667,True,True,7.64
2021-05-11,6.96,7.06,6.89,7.02,1739082.0,16939481.0,118887120.0,0.0146280101662821,7.098000000000001,7.2,7.283500000000001,7.1335,42.446042951710545,4388125.5,7.1226666666666665,True,True,7.64
2021-05-12,6.94,7.09,6.94,7.06,2229763.0,21796576.0,118887120.0,0.018755294938593854,7.08,7.196,7.2655,7.143833333333333,40.959409382497505,4324364.25,7.120333333333333,True,True,7.64
2021-05-13,7.08,7.18,7.04,7.1,2575180.0,25515351.0,118887120.0,0.021660714802410892,7.06,7.219999999999999,7.256,7.150166666666666,44.23076899260354,4336239.05,7.121333333333334,True,True,7.64
