日期,开盘,最高,最低,收盘,成交量,amount,outstanding_share,turnover,MA5,MA10,MA20,MA60,RSI14,Vol_MA20,MA60_prev5,MA20_break_1,MA20_break_2,High_20
2021-04-12,3.91,4.15,3.89,4.11,26102558.0,108425721.0,1300390827.0,0.020072856142963242,3.9820000000000007,4.0,3.975,4.033,60.29411640570937,7507972.1,4.0714999999999995,True,True,4.08
2021-04-13,4.12,4.16,4.02,4.08,18248259.0,76427060.0,1300390827.0,0.014032903509553902,4.0040000000000004,4.0,3.9825000000000004,4.029333333333333,58.57142740000002,8222775.05,4.0616666666666665,False,True,4.11
2021-04-14,4.05,4.1,4.03,4.06,7230193.0,30098815.0,1300390827.0,0.0055600153814373224,4.0200000000000005,4.002000000000001,3.9880000000000004,4.025833333333334,62.12121080348942,8332127.85,4.052833333333334,False,False,4.11
2021-04-15,4.07,4.16,4.04,4.14,10373488.0,43797741.0,1300390827.0,0.007977207916739634,4.062,4.014,3.9945,4.025666666666667,66.21621496347697,8499976.25,4.045,False,False,4.11
2021-04-16,4.15,4.27,4.11,4.25,19759335.0,85600515.0,1300390827.0,0.015194920319135719,4.128,4.043,4.008,4.027,67.94871672912555,9252633.65,4.038166666666666,False,False,4.14
2021-04-19,4.28,4.39,4.2,4.37,16817454.0,73900663.0,1300390827.0,0.012932615065270681,4.18,4.081,4.03,4.029833333333333,68.35442916840248,9707670.5,4.033,False,False,4.25
2021-04-20,4.35,4.36,4.22,4.24,13437198.0,59146400.0,1300390827.0,0.010333199620455336,4.212000000000001,4.108,4.0435,4.030166666666667,61.3636353873967,10012950.3,4.029333333333333,False,False,4.37
2021-04-21,4.22,4.4,4.22,4.29,16354978.0,72573530.0,1300390827.0,0.012576971215439063,4.258,4.139,4.06,4.032,64.83516383770078,10545372.25,4.025833333333334,False,False,4.37
2021-04-22,4.28,4.31,4.21,4.28,7922171.0,34591976.0,1300390827.0,0.006092146172913599,4.286,4.174,4.079,4.033166666666667,68.6046500459708,10647208.45,4.025666666666667,False,False,4.37
2021-04-23,4.28,4.39,4.24,4.27,14144451.0,62532480.0,1300390827.0,0.010877076880518475,4.29,4.209,4.0975,4.0345,66.66666555555551,11096018.05,4.027,False,False,4.37
2021-04-26,4.24,4.32,4.21,4.26,8596326.0,37667059.0,1300390827.0,0.006610571084872779,4.268,4.224,4.112,4.037333333333334,67.4698783800261,11157275.6,4.029833333333333,False,False,4.37
2021-04-27,4.25,4.31,4.22,4.24,8346120.0,36553655.0,1300390827.0,0.006418162775920597,4.268,4.24,4.12,4.041833333333334,65.47618938492064,10813886.5,4.030166666666667,False,False,4.37
2021-04-28,4.23,4.37,4.16,4.21,11923640.0,52264509.0,1300390827.0,0.009169274153915575,4.252,4.255,4.1285,4.048,67.0731695865556,10789209.25,4.032,False,False,4.37
2021-04-29,4.2,4.34,4.18,4.31,15426698.0,67750408.0,1300390827.0,0.011863124285173075,4.258,4.272,4.143,4.055833333333333,71.4285703296703,11306392.75,4.033166666666667,False,False,4.37
